subject_number,FromM1_ToM2,FromM1_ToM4,FromM1_ToM3,FromM1_ToM5,FromM2_ToM1,FromM2_ToM4,FromM2_ToM3,FromM2_ToM5,FromM4_ToM1,FromM4_ToM2,FromM4_ToM3,FromM4_ToM5,FromM3_ToM1,FromM3_ToM2,FromM3_ToM4,FromM3_ToM5,FromM5_ToM1,FromM5_ToM2,FromM5_ToM4,FromM5_ToM3
S1,1.052620256,0.908368865,1.027844014,1.049631633,0.808310701,0.897067151,1.268823698,0.853571797,1.159233175,0.662419996,1.107019299,1.112869315,0.954544313,1.124999013,1.108280335,0.839999576,0.829091914,1.121902892,1.239235353,0.958559422
S2,0.982457594,0.771653863,1.052847348,1.009010211,1.294604156,0.787771342,1.089362622,0.836945214,0.79106447,1.094400331,0.982626547,1.26447783,0.983031872,1.27813617,0.949489543,0.882663742,0.700874732,0.742371804,1.618354731,1.068941251
S3,1.076474435,0.927810559,1.065109936,0.995014782,1.076247839,0.861202365,1.216794653,0.825035662,0.923076014,0.666669661,1.264573898,1.135139174,0.742877851,1.023629795,1.013838575,1.125607063,1.093846566,1.033857783,0.930788544,1.016821673
S4,0.83114355,0.975689066,1.321815182,0.693536404,0.891842783,0.597937737,1.254534434,1.092917094,0.815598478,0.768416928,1.154164303,1.156859036,1.082803157,0.985427923,1.077236259,0.931750729,1.025136819,0.990063998,0.983444983,1.069895112
S5,1.247932263,0.662139313,1.268289064,0.735102625,0.816121004,1.140465849,1.11191702,0.730461774,0.920084531,1.229414936,0.860520112,1.221485938,0.82550149,0.908943576,0.975765011,1.166618266,0.784542674,0.883933259,1.318905629,1.090704786
S6,0.941820033,0.876865317,1.245404728,0.768490427,1.02916153,0.796002472,1.231494533,1.033013342,0.971277762,0.803401274,1.066136682,1.144458242,0.86581771,1.093099103,1.114637829,0.686095311,1.08124052,0.946967593,0.811690476,1.317521739
S7,1.292153397,1.165344123,1.052071383,0.450569879,1.0639992,0.771554399,1.24818576,0.98433643,1.087763866,0.874622011,0.942505847,1.247631871,0.877718156,1.120490594,0.964976238,1.035581168,0.969144609,0.639224315,1.200568157,1.142958003
S8,0.962253272,0.931023388,1.043564636,0.989097415,0.759147327,0.921465755,1.354631222,0.738324198,1.083940152,0.598368608,1.102763437,1.211490747,1.035292006,1.038961334,0.908879567,0.996412205,0.958433211,0.925902506,1.267603415,1.121344184
S9,1.241952886,0.922361422,1.060598896,0.754657487,1.167345398,0.756615403,1.104244903,0.972790312,0.629632508,0.786138481,1.304638818,1.20678976,0.957476205,1.15723196,0.923576019,1.031528499,0.979196424,0.658322346,1.122869816,1.119834398
S10,1.006369229,0.818287672,1.128939075,1.078701125,1.168052314,0.716911953,1.130370585,0.972857244,0.569721905,1.02550233,1.091969879,1.092748686,1.147325324,0.903516598,1.082835531,1.005084668,0.886455562,0.904189723,1.151207682,1.108077326
S11,0.990336667,0.499070239,1.365091231,0.663047324,1.223806208,0.748276901,1.076448849,0.866010482,1.036317088,0.544947743,1.086339803,1.883718054,0.86489496,1.211695158,1.077249673,0.828188527,0.8404303,1.028470912,1.151446636,0.954410969
S12,1.274292984,0.927727017,1.061730026,0.808119115,1.073068083,0.991939518,0.981145627,0.745455237,1.022408165,0.891030151,1.13312749,0.913191998,1.084864293,0.743094785,1.069702431,1.177135268,0.636921187,0.970816647,0.724636608,1.400921742
S13,0.939021815,1.099482705,1.233348788,0.855152679,0.716749213,1.04005504,1.058374539,1.04005504,0.989549976,0.853094288,1.050242213,1.114906923,1.294153438,0.885179826,0.935675637,0.935675637,0.871706146,0.975976011,0.792309572,1.241223176
S14,0.934619126,0.846949328,1.235341894,0.90046743,1.245789589,1.019670084,1.02671367,0.807156646,0.879167906,0.934964107,1.049644714,1.19551443,0.905776669,1.108520675,1.094852601,0.920703839,0.896862418,1.030324877,1.000372139,1.055058768
S15,0.980598941,1.119568778,0.997579517,0.801471016,1.177337887,0.877374486,1.025382578,1.108393633,1.011297539,0.875810038,1.185046445,0.943581952,0.882385422,1.051426276,0.986355135,1.057270082,0.836732423,0.947875825,0.961311192,1.246040652
S16,1.083024487,1.041979866,0.933614917,1.074883985,1.410627655,0.813466397,1.045066746,0.542981502,0.704248756,0.807666812,1.294577491,1.33265971,0.80278821,1.221816405,0.873233062,0.796872632,0.907802667,0.898772488,1.210596425,1.196354135
S17,0.982582444,0.80062292,1.221290053,0.476401659,1.054496245,0.634304988,1.175324496,1.126759889,0.72511895,0.930117634,1.315036803,0.78919107,1.046805906,1.011164148,0.954000265,0.993420843,0.701634983,0.893740015,1.737836896,0.980844055
S18,0.765001683,0.918207421,1.252633089,0.953818818,0.784877769,1.009788844,1.209637626,1.021699398,0.834782803,0.924227079,1.158309004,1.051446599,0.922046875,1.003928571,0.996809414,1.027247137,1.162721079,0.996615565,1.159411737,0.898683808
S19,1.041676229,0.891743129,1.144677706,0.756037091,1.165313553,0.855053534,0.991428674,1.051157539,1.07412822,0.833284623,1.232492566,0.893813781,1.196080321,0.91361353,0.885731469,1.034421572,0.82298488,1.032272335,1.386488916,0.906549369
S20,1.30427489,0.791992604,1.037087266,0.824636311,0.697581037,1.022705365,1.18770087,1.073806461,0.85511277,0.673920445,1.191803882,1.204170831,1.089492309,0.98556328,0.912428942,1.026749554,0.989089497,1.016750902,1.238016487,0.888793298
S21,1.205746145,0.787249989,1.188715228,0.816704061,0.736359868,0.62771947,1.271605925,1.157139551,0.958295142,0.61609311,1.309020559,0.930908967,1.071118729,1.003905269,1.059228308,0.881084566,0.848213522,0.62922028,1.181939488,1.194226977
S22,1.155375873,1.264214047,0.881118355,0.842809365,0.743040006,1.095596537,1.243569386,0.657352722,0.862319517,0.786060033,1.130434783,1.204155918,1.195735021,0.941204061,0.933317542,0.933320996,1.028426652,1.121512278,0.823490352,1.196125762
S23,1.152578983,1.03896,1.108172166,0.817363212,0.734053079,1.166328309,1.185304995,0.954269576,0.981683245,1.021852538,0.895571651,1.139455864,1.143358914,1.003880657,0.773576385,1.041269949,1.126826414,0.970700414,0.876932167,1.035327921
S24,0.902501972,0.612615269,1.318499993,0.985453813,1.116601446,0.736862658,1.21275063,0.956772521,0.468420946,0.633169725,1.203882932,1.152274144,0.960429848,1.046398119,1.137760335,0.963347227,1.187032315,1.103103998,1.232114893,0.890278835
S25,1.169577585,0.634379662,1.229937746,0.941613578,0.944812444,1.118652824,0.864113491,1.02100858,1.066642646,1.107982342,1.077655798,1.080397168,1.282277878,0.785545049,1.052953009,0.771071637,0.517588349,0.994257263,1.184793894,1.296160207
