subject_number,FromM3_ToM1,FromM3_ToM2,FromM3_ToM4,FromM3_ToM5,FromM1_ToM3,FromM1_ToM2,FromM1_ToM4,FromM1_ToM5,FromM2_ToM3,FromM2_ToM1,FromM2_ToM4,FromM2_ToM5,FromM4_ToM3,FromM4_ToM1,FromM4_ToM2,FromM4_ToM5,FromM5_ToM3,FromM5_ToM1,FromM5_ToM2,FromM5_ToM4
S1,1.05547793,0.937148986,1.022556982,0.998404126,1.071646487,0.985292667,1.040084932,0.93864491,1.204905893,0.984019542,0.909545268,0.904595011,1.088527775,0.796128211,1.090289148,1.013352393,1.069414574,0.849394822,0.854785708,1.242068129
S2,1.07986341,1.211363999,0.962312692,0.996318313,1.206112897,1.012519065,0.791160186,0.762009945,1.112720066,0.992530313,0.942781128,0.908046039,1.007871385,0.894866024,1.039992585,1.068853439,1.056137078,0.775179665,0.755836708,1.479472201
S3,0.798793964,1.106821002,1.038260661,1.052141498,1.311228578,0.969948187,0.596020425,0.861138111,1.035638452,1.271327161,0.878521615,0.868868542,1.189755434,0.917505634,0.852588136,1.058663459,1.079440812,1.049375372,0.890738688,1.12224674
S4,1.05774541,1.200200931,1.021270948,0.907583907,1.373134186,0.4713372,0.787334558,1.168002708,1.161251916,1.063966785,0.709309409,0.906342815,1.178952305,0.833650236,0.871971381,0.957764262,1.037075262,0.865734146,0.928681952,1.193305913
S5,0.908275256,0.953519121,0.930097852,1.259777271,1.110338193,1.124715744,0.719247922,0.914650043,1.283631165,1.064580603,0.874365416,0.628908065,1.020595904,0.816951524,1.157251935,1.085901272,1.024086181,0.690855807,0.867421758,1.35178855
S6,0.976447365,0.98479089,1.102182932,0.898103422,1.133630118,1.19983461,0.832535112,0.65624864,1.226069998,1.094374146,0.695783684,1.011410011,1.390379788,0.810467027,0.705499506,0.93135398,1.117196958,0.788784044,1.128997858,0.933729439
S7,1.006066672,1.104691604,1.064377447,1.011038861,1.041915339,1.114704334,0.995343483,0.643781262,1.004008866,1.197848664,0.930461251,0.912911782,1.06949793,0.989134221,0.924172021,1.156436452,1.278309959,0.546919745,0.697271724,1.206550091
S8,1.104354392,1.040884337,1.068588266,0.910771944,1.19876575,0.763822938,0.941639296,0.844225352,1.235993413,0.944785891,0.780775392,0.982820352,1.071705474,0.952540319,0.934444451,1.130267487,1.026666529,0.935991927,0.985986119,1.14401911
S9,1.025207731,1.153640678,0.798417371,0.911421663,1.073010093,1.041504611,0.836864903,1.082082929,1.132857876,1.154104308,0.728811781,0.828659168,1.366651562,0.697386092,0.96916743,1.082006862,1.016555125,0.982143026,0.767005899,1.45009263
S10,0.983020064,0.762952231,1.162976535,1.0364093,1.091004361,1.153302771,0.755010736,1.118422059,1.199580725,0.973241124,0.921127374,0.982435636,0.960919443,0.895041769,1.041505822,1.077342091,1.08862298,0.936193819,0.953944469,1.046179825
