subject_number,FromM2_ToM1,FromM2_ToM3,FromM2_ToM5,FromM2_ToM4,FromM1_ToM2,FromM1_ToM3,FromM1_ToM5,FromM1_ToM4,FromM3_ToM2,FromM3_ToM1,FromM3_ToM5,FromM3_ToM4,FromM5_ToM2,FromM5_ToM1,FromM5_ToM3,FromM5_ToM4,FromM4_ToM2,FromM4_ToM1,FromM4_ToM3,FromM4_ToM5
S1,1.755466328,0.985688965,0.79793924,0.470364037,1.094599476,0.680672539,1.377545707,1.218043382,1.137959145,1.079602993,0.925372517,1.193244072,0.312741769,0.275509141,1.616599067,1.116541898,0.864864032,0.666664857,1.35294019,0.761903469
S2,1.035772334,1.028394614,0.544443065,1.207244327,1.22357473,1.068202721,1.398373168,0.455992671,1.371602195,0.821141055,0.872841127,0.975843459,0.779311228,0.3801539,1.010216039,1.863564901,0.989132489,1.224812793,0.929949483,0.760872761
S3,1.140354266,1.104746066,0.523738837,1.241688962,0.549569687,1.35695914,1.437328979,0.654806472,1.223437806,0.9,0.948076631,0.740426288,0.941103784,0.951921952,1.177351013,0.96112774,1.326460295,0.975789401,0.908328435,0.870703722
S4,0.824091733,1.295001295,1.324433143,0.259000259,0.790745056,1.242590791,0.924243601,1.084443534,1.300315361,1.144770687,0.93323976,1.094997613,0.724428323,1.053721614,0.869318671,1.275002805,0.497998668,0.995997899,1.058250463,0.792271953
S5,0.915578312,1.243384463,0.645610007,0.671427766,1.177487731,1.221099149,0,0.989087388,0.9481472,1.089416987,1.063633466,0.884940013,0.797143039,0,1.10222063,2.232005848,1.384284726,0.618180694,1.133333543,0.980767156
S6,0.977126261,1.333333333,0.958331736,0.784092335,1.327776583,0.679168557,1.041393366,0.745545899,0.960871919,0.879229879,0.800725616,1.383068384,0.725717551,0.853785355,1.577635522,0.824676149,1.21136768,1.096258387,1.053360572,0.621213467
S7,1.650489902,1.422649376,0.586842986,0.640191861,1.474360865,0.871210669,1.15000161,0.653410279,1.14219017,0.742424892,0.950302232,1.187878637,0.543590524,0.795002087,1.220605099,1.310545264,0.772029553,0.940914295,0.798344629,1.354909624
S8,0.847252004,1.29541319,1.273511124,0.507197147,0.482030372,1.190420291,1.013833679,1.110384288,1.182274879,1.094594595,0.63983764,1.08301394,1.028313142,0.893281627,1.0622782,1.052792441,0.913215338,0.764965709,1.28872782,1.09756
S9,1.100454212,1.185031473,0.85902602,0.825338814,1.387028798,0.769475285,1.16206619,0.697806343,1.04719276,1.044512769,1.147548091,0.609303644,0.938463098,0.697712137,0.824323478,1.794121024,0.703169765,1.045558653,1.75000175,0.466385466
S10,0.988705369,1.123526494,1.249616633,0.655392038,0.667535016,1.23970415,1.101429349,1.001302524,0.824970315,1.196657063,1.023807647,0.88842957,0.966665788,0.662857446,1.154975791,1.142427039,1.024794413,0.805192413,1.171190786,0.939396945
S11,0.80496793,1.198944928,1.125993125,0.750662083,1.265958266,1.05723595,0.67021267,1.021275957,0.995240493,0.970214417,0.98877507,1.085711494,1.145091395,1.015577822,0.794517782,0.929842629,0.849865789,1.171736503,1.120388033,1.092685143
S12,1.323380181,1.142244736,0.967595451,0.656789204,1.398558839,0.985076652,0.876599321,0.587397254,0.683553424,0.771290066,1.186447819,1.476470162,0.785714635,0.985074156,1.366458273,0.733331378,0.679009391,1.27695004,1.15136962,0.982144611
S13,0.760214855,1.456415719,0.484055846,0.732059277,1.260217418,0.825406217,1.188777936,0.995724025,0.870831428,1.500510442,0.682448283,1.032100877,1.053572087,0.64835095,1.204080936,1.070292902,0.401045276,0.822649573,1.182019064,1.396825397
S14,1.192146814,1.00375889,0.82125675,1.149758317,0.809218595,1.113539915,0.763571578,0.859015114,1.043475811,1.064516508,1.066668467,0.933336933,1.078261467,0.4000009,1.454318122,1.102225804,1.168115579,0.8000018,1.071603008,1.102225804
S15,0.513469899,1.448243825,1.023060314,0.945735686,1.496636845,0.962121483,0.435677966,1.073996846,1.201328146,1.02564,1.170778178,0.524744826,0.523506406,1.284962582,1.026874645,1.533992365,0.76873421,0.808668842,1.064400651,1.118911871
S16,1.391605347,0.877268973,0.829664117,0.96794147,0.845314717,1.098710393,1.454723044,0.935178402,1.128930584,0.957096866,1.046128321,0.821959269,0.963966986,0.867274366,0.835283304,1.303431458,0.807041186,0.847108266,1.468547292,0.694428547
S17,0.661109818,1.290522719,1.724638731,0.604676407,1.115740322,0.953728067,0.582126148,0.914368343,0.729454365,1.296803113,0.824598772,0.996327044,1.11111,0.829632,1.022829564,1.300814245,0.995937076,0.663957141,1.391580721,1.039237304
S18,1.287883151,1.176922188,1.02000053,0.693878287,0.721152737,1.269232331,1.35000216,0.612243898,0.86154,0.872729336,0.831998669,1.306120716,1.029230136,0.54060629,1.029230136,1.274285376,1.318678573,0.554116521,1.05494195,1.097144444
S19,1.079998429,1.388571746,0.51428689,1.157139551,0.730911284,1.09636219,1.044157833,0.652599011,0.797143973,1.304414286,0.885716057,1.043875965,1.401190909,0.833768467,1.019045989,0.727891104,1.266662487,0.767676223,0.603173104,2.01057483
S20,0.66272804,0.968366776,1.019578302,1.248621236,1.172728893,1.060272985,1.091538394,0.560868224,1.064759209,0.924658844,1.090619581,0.938061278,0.992895633,1.001170824,1.147045212,0.949727745,0.79683763,1.095652996,1.125668403,1.011370994
S21,0.686653947,1.423794593,1.101995969,0.697787679,1.283044582,1.369835152,0.722885017,0.457731404,0.724558101,1.187043875,1.10156423,0.789834749,0.454546019,1.06382923,1.029411499,1.486486636,1.198195003,0.841288687,1.162955382,0.964403687
S22,1.046316406,0.978472603,0.923646552,1.030221154,1.215401569,0.932362682,0.651938082,1.163461717,0.911938355,1.097175602,1.100607405,0.982085887,0.85283381,1.641700606,1.17761006,0.734746386,1.067228492,0.700367902,1.091589481,0.858688131
