subject_number,FromM4_ToM2,FromM4_ToM5,FromM4_ToM3,FromM4_ToM1,FromM2_ToM4,FromM2_ToM5,FromM2_ToM3,FromM2_ToM1,FromM5_ToM4,FromM5_ToM2,FromM5_ToM3,FromM5_ToM1,FromM3_ToM4,FromM3_ToM2,FromM3_ToM5,FromM3_ToM1,FromM1_ToM4,FromM1_ToM2,FromM1_ToM5,FromM1_ToM3
S1,0.777669,1.254305251,1.122620387,0.572580515,0.820287878,1.013870717,1.202046307,0.919639718,1.320099092,0.931613603,0.965200406,1.004274303,1.022414738,1.063308393,0.893233929,1.201025005,0.971730831,0.89831401,0.784818436,1.282043943
S2,0.999154751,1.030875933,1.30896946,0.817827218,1.140600041,0.998504638,0.950902027,0.87369411,1.570719718,0.930799168,0.712303291,0.831898532,0.866725128,1.189623951,0.810076317,1.0825575,0.675214862,1.312913779,0.696646896,1.224805027
S3,1.124931274,1.029055174,0.892257631,1.016063997,0.756074602,1.07806572,1.023774022,1.036559452,1.176026294,0.886362553,0.991931128,1.148985303,0.993011195,0.8657024,1.303468944,0.733054256,0.624920815,1.214132138,0.764582382,1.337508041
S4,0.710227273,1.276553922,1.008064516,0.989585,0.962122174,0.792337153,1.154546766,0.981366523,1.261233353,0.990642086,1.031118831,0.774903793,1.103694754,1.106406543,0.982619448,1.088182504,0.56833447,0.62000124,0.972549782,1.376
S5,1.183272369,1.223322694,1.029707711,0.775763697,1.001151868,0.97664639,1.217883096,0.774173969,1.400604137,0.814103378,0.983952314,1.270795517,0.835903179,0.89654732,1.204290045,0.948038922,0.859167371,1.426829927,0.393998527,0.928584378
S6,0.984934913,0.691797624,1.044569287,1.277167291,0.75545073,1.085956086,1.44460561,0.566584724,1.04345886,0.962264954,1.266475397,0.919415253,1.150792664,0.884746962,0.966670637,0.987915581,0.690735663,1.244643097,0.906592338,0.900587115
S7,0.860476794,1.324170199,1.065965,0.951627515,0.968158496,0.677708687,1.051968245,1.303948598,1.399658303,0.609252776,1.169860257,0.512082601,1.010259991,1.112119027,1.082769972,0.942281371,0.987409605,1.122027798,0.330712521,1.216226106
S8,0.891753791,1.330771005,1.023667114,0.85305677,0.925192308,0.916377778,1.297671329,1.013303419,0.803374803,0.998379686,1.155262701,0.925093925,1.017572145,0.981905493,0.88189449,1.193951317,1.157132308,0.845890055,0.729344,1.061500351
S9,0.818680574,1.131673517,1.207758654,0.901097011,0.682558946,0.835287389,1.240279419,1.138899561,1.479175315,0.927527998,0.966759952,0.834386724,0.981593402,1.155316842,0.870465565,1.023664143,0.787396408,1.093778287,1.075305607,0.979773128
S10,1.395673519,1.219048,0.944762069,0.590476781,0.936749004,0.847872495,1.129240069,1.314201822,0.981894596,0.657077675,1.207846836,0.963707846,0.909685177,0.890302532,1.190755132,0.904000768,1.046462955,0.963922601,0.78931416,1.218001364
S11,0.473578129,1.348381293,1.204686538,1.332518594,0.467384044,1.023796723,1.169676698,1.099724,1.790509867,0.998192475,0.851378426,0.722224389,0.802617007,1.096254521,0.955498191,0.944252043,0.673198575,1.083689506,0.617102605,1.38571652
S12,0.827032483,1.551552045,0.839940663,0.85870623,0.985107716,0.796776697,1.076169466,1.117134361,1.116244017,0.698791546,1.226636916,0.902905769,1.039249938,0.861433657,1.082550193,1.138353931,0.892657874,1.160339225,0.62765684,1.115827071
S13,0.637033385,1.005094323,1.1963887,1.152067346,1.113497635,1.361538357,0.978801104,0.50094428,0.912726593,1.167686759,0.962777075,1.094982087,1.005384502,0.812354804,0.961290569,1.061049356,0.987363372,0.922665828,0.879857728,1.2679232
S14,0.887413949,1.460820422,0.937038163,0.908246384,0.709932108,0.913014595,1.218148944,1.11466662,0.964325455,0.964325455,1.228366548,0.811787655,1.053305467,1.167177264,0.790804106,1.033009904,1.106738318,0.942775701,0.759110577,1.067634868
S15,1.073780778,0.745909291,1.144244571,0.844192277,1.07195636,1.042985361,1.034106458,1.117792995,0.968518312,0.748746036,1.346165721,0.887519787,0.913653914,1.021152089,1.142951104,0.751809605,1.173212493,1.056379874,0.80576525,1.077589836
S16,0.643517208,0.995445572,1.339864257,0.80643765,1.133330689,0.557811594,1.027613106,1.549370697,1.199000071,0.655865007,1.090252272,0.756528335,0.993471948,1.275567671,0.952075082,0.838371492,0.720813166,0.961085437,0.810913657,1.316835409
S17,0.652186183,1.077881953,1.283192422,1.081206611,0.579999304,0.985998817,1.216494383,0.958608648,1.743527155,0.782575947,0.962337325,0.823333265,0.907563852,1.131542835,0.971426434,0.833337407,1.023533024,0.646038235,1.014997051,1.271104573
S18,1.113752751,1.035788086,1.028926953,1.138230635,0.782796348,0.74365827,1.512641166,0.758830906,0.871473097,1.152043568,1.161058111,0.642198889,1.10147322,0.843869988,1.191730831,0.958239905,1.090110269,0.703296,0.872086621,1.082891258
S19,0.902985403,1.730724437,0.80265375,0.902983946,0.549693175,0.767284162,1.286109673,1.221388089,1.414796303,1.131034554,0.842593435,0.592446192,0.880372288,0.811400316,1.002487336,1.30276974,0.643519853,1.024449256,0.775762648,1.422685575
S20,0.599282749,1.15417289,1.16176836,0.990478712,0.765421264,1.227103705,1.123770197,0.858975053,1.340672657,0.801232372,0.965893517,0.890253945,1.017198373,1.093695892,0.968252892,0.987852411,0.611828542,1.290221773,0.931827658,1.161556749
S21,1.035149894,1.046221298,1.152777618,0.790479879,0.777877584,1.361291219,1.181676982,0.756271393,1.411765714,0.672266667,1.143791667,0.784315556,0.947218176,0.864525767,0.835782514,1.131402266,0.752379878,1.044973479,0.826144338,1.371527635
S22,0.959614619,1.336605409,0.956854891,0.981895787,1.1558,1.061890625,1.075127517,0.922731405,0.883930592,1.054685269,1.132550032,1.115702848,0.872482872,0.998324372,0.811138996,1.135669001,0.912397477,0.959553411,0.686079771,1.2323454
S23,0.841527293,1.138375767,0.981780589,0.918910029,0.778945922,0.884826069,1.332412471,0.931156115,1.312065659,0.918444978,0.936574421,1.214041059,0.894838857,1.182292899,0.981418133,0.87143073,0.802954421,0.88747851,0.982258325,1.257262626
S24,0.613432955,1.248608322,1.152045036,0.552089659,0.605456765,0.936710355,1.019283747,1.204882671,1.367092764,0.816168363,1.201380434,0.489699729,1.11977548,1.242763645,0.908612906,1.157053077,0.927761128,1.087991465,0.587192572,1.204886023
S25,1.172410114,0.944445536,0.952002263,1.133332987,1.262910102,1.385696306,0.758254692,0.821636636,1.151755367,0.770628567,1.302579451,0.507058251,0.962430136,1.201655007,0.739199113,1.229932074,0.584360323,0.884384663,0.797909138,1.518306784
S26,1.10347298,1.145686115,1.048303259,0.867160079,0.894338391,0.817945171,1.164209242,1.063930712,1.335606558,0.613631502,0.999342988,1.040983576,0.843270101,0.970317117,0.915842978,1.191276781,0.968272577,0.945337284,0.683541788,1.176049304
S27,0.654546371,1.25619435,1.215738849,0.840402602,0.794641516,1.074572826,0.747200489,1.483334734,1.418834172,1.179405242,0.926476343,0.662121874,1.183576989,1.212684014,0.701556002,0.914618623,0.376626311,0.664582291,1.098482939,1.623134207
S28,0.664620155,0.96672384,1.404464616,0.53554061,0.438218103,0.980769118,1.286042143,1.136802958,1.252044748,0.754435519,1.130158431,0.802447306,1.122411435,0.989741331,0.857774171,1.198939376,0.868471584,1.177447487,1.046621268,0.979905026
S29,0.760113652,1.354655343,1.070581472,0.723913172,0.898876586,0.554456151,1.126760706,1.428571429,0.937193254,0.658501251,1.329367901,0.888452212,1.039245499,0.980982262,0.999022733,1.034374926,0.670946586,0.904764438,1.074964671,1.185110018
