subject_number,FromM2_ToM1,FromM2_ToM3,FromM2_ToM5,FromM2_ToM4,FromM1_ToM2,FromM1_ToM3,FromM1_ToM5,FromM1_ToM4,FromM3_ToM2,FromM3_ToM1,FromM3_ToM5,FromM3_ToM4,FromM5_ToM2,FromM5_ToM1,FromM5_ToM3,FromM5_ToM4,FromM4_ToM2,FromM4_ToM1,FromM4_ToM3,FromM4_ToM5
S1,0.939379154,1.298556769,0.792448415,1.043566496,1.4452052,0.901126943,0.7856,0.928432104,0.986764955,1.182277785,1.005738929,0.832019336,1.079823125,0.541189134,0.841626731,1.618647813,0.636709448,1.076984589,1.178612979,0.973427006
S2,1.421634869,0.755553893,0.898499452,1.133330689,0.780895899,1.306221215,0.832147525,0.777511212,1.125691201,1.362679932,0.962162942,0.882643897,1.036426155,0.418206295,1.252088293,1.284194646,1.054017391,0,1.322312727,1.1466
S3,1.040102221,1.194903035,0.856347836,0.7477489,1.487885285,1.089961098,0.72105417,0.584636689,0.917682172,0.760708211,1.313951342,0.781268897,0.881356,0.786795231,1.142294957,1.500691299,1.061774579,1.36912912,1.037083463,0.743241881
S4,0.512496771,1.266178139,1.002716694,0.488092449,0.926043519,1.419410362,0.690218772,0.302381557,1.036705636,1.057438293,0.973602428,1.184805705,1.235507471,1.617397235,0.761126445,1.155277376,0.5,0.45000315,1.482351127,1.173912567
S5,0.903896506,1.406057513,0.674911956,0.843637988,1.166666667,0.972221088,0.46666536,1.020837289,0.979351276,0.824453308,1.692882178,0.577120611,1.292724546,0.90285811,0.710998756,1.422003128,1.010454839,0.735121148,0.823333265,1.482001097
S6,1.057516565,1,0.909088182,1.247474588,1.363635351,1.25,0.657896094,0.555557068,0.825758376,0.995163967,1.207753913,0.876460899,1.429024138,0.274975706,1.329640421,0.561400889,0.558440898,1.50437548,1.260902184,0.77594085
S7,0.739128973,1.101852307,1.243903622,0.910712172,1.138797337,1.096622318,0.481444161,1.145575932,1.091878893,1.146134656,0.890243837,1.013886934,0.87054404,0.984092881,1.152664344,1.010452442,0.910491547,1.200785916,0.94983283,1.15476871
S8,1.209676436,0.60000072,1.090906413,0.548777757,0.777777025,1.386668489,0.872725256,0.878047764,1.026667693,1.04322685,1.063999664,1.201950543,0.887377463,0.956892783,1.216967588,1.00176924,0.538620086,1.042485532,0.947968158,1.057649593
S9,1.23911866,1.064516535,0.821729024,0.459201685,1.341392304,1.147390487,0.505429072,1.129783054,0.987011248,1.17501339,1.168827662,0.783802633,0.334584984,1.115288932,1.186258192,1.239938433,1.265176021,0.506069548,1.035141993,1.048765877
S10,0.751460841,1.219223572,1.427775718,0.768804211,0.463154498,1.327025015,0.935223638,0.935223638,1.010484314,0.944704155,0.920485313,1.104583195,1.068377778,1.138664474,1.188418539,0.6471875,0.544661111,0.773993421,1.321876404,0.942682692
S11,1.084667216,1.111255412,1.080777192,0.559462794,0.895750644,1.426896124,0.538034853,0.946937147,1.210212244,0.707484177,0.919191824,1.155559438,1.601352823,0.879405662,0.516500713,0.861819216,0.276756278,1.880818783,0.981918669,1.396363636
S12,0.913725992,0.887619921,0.635455224,1.487232112,1.273727827,1.155303588,0.72370884,0.871091783,0.488887813,1.369436368,1.031745,1.114489131,1.222791042,0.762883748,1.499817905,0.473031177,1.104685081,0.787651202,0.797028646,1.597674331
S13,1.295736926,1.039246117,0.825282731,0.916981352,1.230518868,0.869566667,0.97826,1.086955,1.167547192,1.217098657,1.001869663,0.884001344,0.757796581,0.436558783,1.405713105,0.903671305,0.742642042,0.855651579,1.246400199,0.984000157
S14,1.043139014,1.123111844,0.950001425,0.929570153,0.97589293,1.298823503,0.676469574,1.134723422,1.046558127,1.054115752,0.72000072,1.138063341,1.031324969,1.138656266,1.096902292,0.858585903,1.051027634,0.670459801,0.797847494,1.526497603
S15,1.030173798,1.275453532,0.915712509,0.756859053,0.7044476,1.187501781,0.615739281,1.187496946,0.863598609,0.955354337,1.132276013,1.091836556,1.072190998,0.706019154,1.129630921,1.014361119,1.291937472,0.794006879,0.967932319,0.941046817
S16,1.56589613,0.95546068,0.569414688,0.587208363,0.982705593,0.984787436,0.800310873,0.924356895,1.24635462,0.970015786,1.337444129,0.630506756,0.298801952,0.658896946,1.197738428,2.409091632,0.855694235,0.943456824,1.425465159,0.637138455
S17,0.682703759,1.207304232,1.172999796,0.702208433,0.716772756,1.183055893,0.95786697,0.860126132,1.110632053,1.060154541,0.843303033,1.161113802,0.663261911,0.773807821,1.026314997,1.326529659,0.702208433,0.546164345,1.509131029,0.782001993
S18,1.121046677,1.329182823,0.491887718,1.136911835,0.413235721,1.027020233,1.096345953,1.216325179,1.182553349,1.144046604,0.815718226,0.986198024,1.059653961,0.640721884,1.283013811,0.953021787,0.855341671,0.969722979,0.858491608,1.446673492
S19,1.110440226,1.194813586,0.845202318,0.933012352,1.092317943,1.187421269,1.017359933,0.838552923,0.980859489,1.374813904,0.791743709,0.658862191,1.140346388,1.136610656,0.582091718,1.313130772,0.381179401,0.356184618,1.72953074,1.136066058
S20,1.008329623,1.021959874,1.28333326,0.720237654,1,1.102703895,0.959998604,0.979590237,0.986301986,0.828495643,1.075965126,1.026559166,1.335228024,1.110910578,0.635134363,1.220774923,0.614796405,1.082041172,1.595146131,0.536548708
S21,0.857145,1.440000224,0.947372784,0.57143,1.104759474,1.031110437,1.144739091,1.035713423,1.036190633,0.971427878,0.835090749,1.079365658,0.959073112,0.79922523,1.268106282,0.932429435,0.552379737,1.035713423,1.224444998,0.89035322
S22,0.807527775,1.301021595,1.007238687,0.938440573,0.952145471,1.060346922,0.410455815,1.112494808,0.925860571,1.417720688,0.548792208,0.976138454,1.078339935,0.607340883,1.541130904,0.866207489,0.975576009,0.686827298,0.995902411,1.670546828
S23,0.605067096,1.284889299,0.934136513,1.072723271,1.282991935,1.2285,0.797447368,0.437064103,0.911073814,1.283785,0.990991582,1.143451061,1.274194103,1.039471275,0.955194148,0.533061492,0.632754373,0.743006334,1.060290287,1.376519378
S24,1.837836919,1.340088787,0.571770082,0.677096903,0.71524987,1.592758784,0.39206635,0.77380844,0.838214478,0.604164401,1.127777151,1.286062795,0.988941381,1.306820329,0.943816025,0.825357307,0.826931801,0.273185923,1.221736432,1.359845365
S25,1.428567318,0.588235497,0.8653814,1.022725573,1.214067233,1.25870582,1.097331254,0.432284303,0.803506871,1.15606275,0.78676165,1.358961514,0.479764911,0.64425961,1.525374427,1.127451595,1.611219421,0.883117514,0.875000875,1.040212919
S26,1.099134876,1.236007518,0.636603077,0.962308907,1.120232291,0.858359275,1.03565984,1.195492379,1.270523694,1.03612013,0.813184499,0.737539624,0.790959929,0.937498477,1.125539415,0.930229465,0.403624783,0.837208,1.546360974,1.221229586
S27,1.096899682,1.127368473,1.234010737,0.724736657,1.370655685,1.096522695,1.089114554,0.411196706,0.989416694,1.123121788,0.561560894,1.130761936,0.548262274,0.777938967,1.096522695,1.644786822,1.061226309,0.803086264,1.179137296,1.070781685
S28,0.663888291,1.05837487,0.647696272,1.448480398,0.956754688,1.282608175,1.295120561,0.536363285,1.216214251,0.824997283,1.097557405,1.090910802,0.774552707,1.146340174,0.830680785,1.354763868,0.651596873,0.904091273,1.106458008,0.980045278
S29,1.555553333,1.176470796,1.021278334,0.551721998,0.891431691,1.278154013,0.71124443,1.15270936,0.891175975,1.072708705,0.758450701,1.229207081,1.107092151,0.790782668,1.325717453,0.899853897,0.365517388,0.609194928,1.075051051,1.477622712
S30,0.792150006,1.090055003,1.01219411,0.995599641,0.388120191,1.224079682,1.473427725,0.95652,1.458411756,1.00446122,0.754986426,1.024800512,0.531009745,0.788820665,1.209523685,1.18969674,0.732510794,1.142552757,1.058850125,0.834248275
S31,0.78000234,0.972789166,1.204629395,0.866667013,1.183807664,1.076190715,0.977296188,0.803555734,1.287981215,0.743808096,0.639638706,0.976716777,0.461390071,1.291890729,1.230373523,1.291887299,0.733332233,1.437334257,1.059260726,1.248649897
S32,1.681918526,1.104671337,0.887683852,0.274893622,1.147818274,0.899121159,0.674339942,1.392183574,1.191489362,0.828949855,0.729170604,0.903225806,1.164892923,0.960528136,0.675928217,1.766122936,0.291008489,0.899829842,0.886497564,1.709667161
S33,1.290305895,1.052786251,0.678233102,0.979675683,1.146939879,0.789588789,1.017351971,0.559813856,0.715078291,1.191795404,1.252914909,0.775611854,0.970919046,0.755156765,1.320321726,1.15842045,1.114983639,0.696867701,1.194027231,1.208790448
S34,1.286773879,0.996893945,0.77536499,0.612130427,1.379279688,0.906383315,0.503544085,1.431128226,0.778199542,1.113167427,1.147339477,0.869565,1.217392151,0.661940416,1.1555552,0.982457278,0.635012331,0.870101836,1.502256474,1.298244965
S35,0.911630088,1.227396844,0.988235062,0.933333333,0.918866593,1.051927266,1.158232356,0.984497502,1.159209131,1.070403826,1.022830388,0.767122009,0.750326633,0.785225147,0.660755928,1.607846594,1.07118969,0.560503762,1.485719944,0.866401784
S36,0.577474738,1.493250852,0.395444241,0.593170513,1.305684067,1.104958413,0.596072257,0.953715612,0.766880622,1.297796152,0.861779523,0.861779523,0.652175,1.304346667,0.953925428,1.587898543,0.434785,0.724636667,1.226473759,2.381852379
S37,0.982481076,1.267657779,1.210963239,0.351832027,0.911725429,1.303793095,0.647654136,1.254456242,1.095504881,1.068475836,0.768223596,1.020347352,1.063122286,0.561650188,1.137184458,1.126339678,1.039683728,0.82390133,0.981271435,1.015506757
S38,1.215501848,1.487500744,0.55250145,0.356452866,0.738501791,1.514872805,0.633001535,1.089035455,1.0694806,0.855583697,1.188311777,0.766651515,0.828752175,1.215501848,0.779167056,1.425811465,0.556450639,0.890322046,1.04632147,1.298384825
S39,0.829336231,1.134668894,0.86063332,1.066981996,0.963637152,1.093080579,0.945456,0.811476965,0.826445455,1.322312727,1.086335849,0.637957895,1.10120278,0.880961367,1.205293148,1.062566875,0.889955416,0.23732268,1.168891883,1.477651958
S40,1.050465204,1.08310446,1.188408834,0.521740957,1.099381782,1.226942219,0.702378351,0.925084471,1.113649624,0.866635477,1.148382185,0.789134907,0.862321952,1.18055709,0.948429352,1.397471396,0.798512553,1.093201499,1.162397019,0.793589261
