subject_number,FromM4_ToM2,FromM4_ToM5,FromM4_ToM3,FromM4_ToM1,FromM2_ToM4,FromM2_ToM5,FromM2_ToM3,FromM2_ToM1,FromM5_ToM4,FromM5_ToM2,FromM5_ToM3,FromM5_ToM1,FromM3_ToM4,FromM3_ToM2,FromM3_ToM5,FromM3_ToM1,FromM1_ToM4,FromM1_ToM2,FromM1_ToM5,FromM1_ToM3
S1,0.673669468,0.995102007,1.222980355,1.049804928,0.82469992,0.829994132,1.12681117,0.972280263,1.112803292,1.099709933,1.361896318,0.484689851,1.071544709,0.918325252,0.999514877,1.105814753,1.147720332,1.095861093,1.022358945,0.851288645
S2,0.837927485,0.888205069,1.100253169,0.959479759,1.066635489,0.612832852,1.104199357,1.229445583,1.548861034,0.824528061,0.997354383,0.719338567,1.00604547,1.329168227,1.107869242,0.847402163,0.606186748,1.054155485,1.064195984,1.054608781
S3,0.826877686,1.05509772,1.125090242,1.06544155,0.98588462,0.450400478,1.267806666,1.240412916,1.065313367,0.965050046,1.006491487,1.088047127,0.910857487,1.12592435,1.126152958,0.76694229,0.634072359,0.806650673,1.090234834,1.287984748
S4,0.526755612,1.12426096,1.313319032,0.673075638,0.584091911,1.226589788,1.263985712,0.724803983,1.065089331,0.994982823,0.919323322,1.162585193,1.096409669,1.112295127,0.871504181,1.046571357,0.923454904,0.791622234,0.800323972,1.366407441
S5,1.035794236,1.351768953,0.96246073,0.989605177,0.760527246,0.673935922,1.254973158,0.997594428,1.492254842,1.021827096,0.999456991,0.807430949,0.893715818,1.050296052,1.271373729,0.668972232,0.87852685,0.98943222,0.449135032,1.279132321
S6,1.052392741,0.998820724,1.009995097,0.90909,0.965072151,1.01332184,1.309786485,0.830061853,0.946608393,0.942529223,1.376500779,0.872341762,0.953005696,0.961546037,0.74715142,1.092915553,0.688447917,1.163239883,1.139070775,1.005436005
S7,0.81072966,1.288254406,0.889999608,1.045938877,0.547369881,1.338989021,1.341053781,0.904677405,1.076397443,1.034525224,1.140043068,0.818992876,1.068570665,1.037896649,0.767740284,1.133331759,1.070896912,1.12982152,0.659496275,1.06311203
S8,0.674494862,0.987084754,1.07211973,0.959915952,0.767284246,1.025456886,1.309058518,0.930754335,1.100997252,0.833295963,1.2075456,0.815647212,1.085692349,1.106141044,1.006637541,1.058302713,0.744951106,0.805454067,1.06673178,1.079668704
S9,1.080747821,0.74718377,1.134783843,1.099220123,0.804776107,0.930388672,1.165126275,1.017024298,1.186261032,0.582009403,1.298611842,0.699588513,0.858875778,1.041281845,1.097453907,1.105127053,0.76328227,1.225595985,0.8502686,1.012818728
S10,0.795918367,0.948471815,0.97002366,0.9161337,0.93242981,1.285000193,1.150152058,0.832874659,0.948555394,0.932691641,1.150754277,1.094620538,0.914681933,0.985040299,0.960415514,1.100478768,0.973853969,0.932235907,0.972051613,1.25188047
S11,0.669988222,1.425248383,1.204918205,0.87978104,0.683948338,0.93069643,1.116280116,1.176746047,0.946232176,1.127076125,0.868695123,1.035998481,1.157521664,1.131550264,1.00029232,0.751852938,0.826958716,1.125296846,0.75666927,1.133169937
S12,0.754807799,1.304480616,1.09098468,1.021367541,1.008225624,0.870258754,0.787373285,1.218919917,0.835684798,1.252143869,1.233965316,0.894230425,1.084650507,0.603283917,1.053249466,1.104635582,0.855531767,1.223615559,0.876923003,1.068518767
S13,0.807160648,1.261189782,1.275445581,0.646590026,0.802467593,0.625,1.199039568,1.246107477,1.15499623,0.931387952,1.148679477,0.559579554,1.023887189,0.716134358,0.822765609,1.535419884,0.890964558,1.224678015,0.911216411,1.038389409
S14,1.075178532,0.745689865,1.183481723,0.912198489,1.149693128,0.939764815,0.961641922,1.028223053,1.113236654,0.870476994,1.12291616,0.981187368,0.967306252,1.01479814,1.16883,0.938093884,0.801472173,1.081057897,0.80703903,1.166303419
S15,1.080700234,1.095652211,0.926715435,0.857145,0.751880952,1.144165217,1.082492908,1.18152551,1.113042286,0.483293502,1.213691915,1.149955674,0.950622195,0.982905697,1.287942551,0.887102229,1.159181703,1.281202425,0.440995212,1.043059266
S16,0.770913018,0.871034098,1.537113893,0.898535589,0.616279275,0.633887361,1.242916696,1.089838746,1.837503445,0.8689673,0.635296341,1.127365147,0.640524192,1.325219993,1.129416311,0.936223679,1.09473818,0.805321921,1.126018459,0.956743038
