subject_number,time,duration
S1,1,120.676783
S2,1,122.215402
S3,1,101.299904
S4,1,111.153586
S5,1,101.414903
S6,1,109.100049
S7,1,103.65537
S8,1,106.592583
S9,1,98.048073
S10,1,106.926406
S11,1,112.58158
S12,1,101.051836
S13,1,110.986769
S14,1,96.925549
S15,1,115.192143
S16,1,117.05063
S17,1,101.592085
S18,1,104.870877
S19,1,108.279031
S20,1,107.545936
S21,1,136.500661
S22,1,106.917852
S23,1,96.076168
S24,1,119.720194
S25,1,108.407538
S26,1,105.494173
S27,1,120.799977
S28,1,111.945095
S29,1,129.903215
S30,1,107.071811
S31,1,106.412792
S32,1,116.302368
S33,1,120.336479
S34,1,146.157364
S35,1,99.85971
S36,1,132.35524
S37,1,105.269877
S38,1,119.698388
S39,1,120.538727
S40,1,113.184977
S41,1,117.907636
S42,1,111.751091
S43,1,118.258657
S44,1,109.103267
S45,1,102.680084
S46,1,114.333238
S47,1,106.645376
S48,1,104.611634
S49,1,116.133556
S50,1,113.374784
S51,1,106.47584
S52,1,131.624893
S53,1,111.395682
S54,1,114.381812
S55,1,117.076962
S1,2,113.728916
S2,2,112.636495
S3,2,101.604775
S4,2,111.315444
S5,2,108.718506
S6,2,115.227727
S7,2,107.767564
S8,2,100.646075
S9,2,97.234481
S10,2,99.902149
S11,2,113.650244
S12,2,104.002103
S13,2,106.839066
S14,2,99.852369
S15,2,106.208692
S16,2,125.979354
S17,2,109.306938
S18,2,103.218368
S19,2,108.691003
S20,2,108.740019
S21,2,136.566471
S22,2,114.24297
S23,2,109.295594
S24,2,119.243298
S25,2,115.321832
S26,2,109.835282
S27,2,118.217403
S28,2,115.343119
S29,2,125.341332
S30,2,106.452246
S31,2,113.408584
S32,2,107.787385
S33,2,115.960796
S34,2,132.425147
S35,2,102.875968
S36,2,133.796547
S37,2,106.108576
S38,2,124.45245
S39,2,113.18264
S40,2,111.338968
S41,2,114.255222
S42,2,111.440407
S43,2,119.812116
S44,2,109.597707
S45,2,106.534439
S46,2,107.877481
S47,2,107.08687
S48,2,105.568294
S49,2,118.045546
S50,2,112.363112
S51,2,110.357206
S52,2,125.271379
S53,2,100.638228
S54,2,112.63988
S55,2,117.411001
S1,3,110.589375
S2,3,110.72085
S3,3,101.553026
S4,3,107.612923
S5,3,104.050951
S6,3,117.41103
S7,3,107.144059
S8,3,103.182864
S9,3,100.685316
S10,3,98.901024
S11,3,122.424986
S12,3,108.656488
S13,3,105.388409
S14,3,100.744775
S15,3,103.742576
S16,3,124.35332
S17,3,106.832076
S18,3,114.478548
S19,3,108.027278
S20,3,108.728224
S21,3,131.209872
S22,3,111.627655
S23,3,106.80022
S24,3,117.345395
S25,3,112.767328
S26,3,108.020483
S27,3,113.041622
S28,3,120.238942
S29,3,127.873907
S30,3,108.811819
S31,3,115.710762
S32,3,106.509416
S33,3,119.104426
S34,3,131.503415
S35,3,101.251788
S36,3,137.254586
S37,3,107.385219
S38,3,132.866649
S39,3,117.209803
S40,3,112.633152
S41,3,112.736881
S42,3,114.557896
S43,3,112.633816
S44,3,113.483268
S45,3,106.526266
S46,3,109.931138
S47,3,106.739033
S48,3,109.13779
S49,3,115.504994
S50,3,110.645455
S51,3,111.335215
S52,3,121.725967
S53,3,104.77769
S54,3,113.897745
S55,3,118.488093
S1,4,107.582027
S2,4,115.281538
S3,4,104.419196
S4,4,107.672168
S5,4,108.120077
S6,4,119.906734
S7,4,110.112089
S8,4,102.422308
S9,4,103.088932
S10,4,100.747982
S11,4,126.418309
S12,4,109.361817
S13,4,107.885259
S14,4,104.284291
S15,4,105.858746
S16,4,122.657271
S17,4,109.325795
S18,4,120.040225
S19,4,109.126689
S20,4,115.157594
S21,4,136.293054
S22,4,116.67737
S23,4,109.009608
S24,4,118.603548
S25,4,111.254902
S26,4,108.20555
S27,4,115.466171
S28,4,116.009797
S29,4,128.805843
S30,4,110.847932
S31,4,115.150423
S32,4,107.183844
S33,4,118.225337
S34,4,130.687425
S35,4,100.418404
S36,4,136.807926
S37,4,106.795569
S38,4,129.224868
S39,4,115.381871
S40,4,114.909478
S41,4,117.810728
S42,4,116.472297
S43,4,113.122105
S44,4,109.002402
S45,4,106.243251
S46,4,108.784519
S47,4,107.308396
S48,4,112.236533
S49,4,117.096943
S50,4,113.461963
S51,4,111.576711
S52,4,119.733981
S53,4,104.401892
S54,4,116.045267
S55,4,117.278497
S1,5,108.299374
S2,5,114.476232
S3,5,101.509967
S4,5,109.587295
S5,5,107.144244
S6,5,116.068738
S7,5,109.463515
S8,5,104.75
S9,5,105.376506
S10,5,99.215553
S11,5,128.54865
S12,5,104.195057
S13,5,107.075138
S14,5,101.960741
S15,5,108.585222
S16,5,119.951782
S17,5,103.999383
S18,5,118.82582
S19,5,110.368099
S20,5,113.447069
S21,5,137.179857
S22,5,114.307771
S23,5,109.485225
S24,5,118.983107
S25,5,110.800249
S26,5,105.930621
S27,5,114.874521
S28,5,115.336692
S29,5,125.671077
S30,5,108.787425
S31,5,115.252859
S32,5,111.628921
S33,5,118.299978
S34,5,127.773786
S35,5,101.079217
S36,5,132.58545
S37,5,108.08623
S38,5,126.157792
S39,5,114.374803
S40,5,114.747463
S41,5,118.345575
S42,5,115.608027
S43,5,113.020358
S44,5,112.74613
S45,5,104.900267
S46,5,108.335921
S47,5,105.944019
S48,5,109.043359
S49,5,113.262938
S50,5,111.010279
S51,5,110.370923
S52,5,118.132574
S53,5,107.273358
S54,5,120.060235
S55,5,117.325064
