subject_number,time,occurrence
S1,1,1.921733
S2,1,1.379066
S3,1,1.456513
S4,1,1.601323
S5,1,1.685141
S6,1,1.416832
S7,1,1.943413
S8,1,1.482355
S9,1,1.199041
S10,1,1.634791
S11,1,1.136981
S12,1,1.614964
S13,1,1.774777
S14,1,1.838235
S15,1,1.603681
S16,1,1.466224
S17,1,1.646904
S18,1,1.769236
S19,1,1.057559
S20,1,1.636215
S21,1,1.352462
S22,1,1.96051
S23,1,1.449575
S24,1,1.883411
S25,1,1.530289
S26,1,1.634783
S27,1,1.596814
S28,1,1.828705
S29,1,1.804358
S30,1,1.857881
S31,1,1.575744
S32,1,1.317473
S33,1,1.507021
S34,1,1.207146
S35,1,1.871337
S36,1,0.968255
S37,1,1.375138
S38,1,1.17379
S39,1,0.608696
S40,1,1.588766
S41,1,1.359342
S42,1,1.549622
S43,1,1.551418
S44,1,1.632479
S45,1,1.596155
S46,1,1.567564
S47,1,1.842124
S48,1,1.995047
S49,1,1.681535
S50,1,1.830161
S51,1,1.821168
S52,1,1.713918
S53,1,1.353276
S54,1,1.642449
S55,1,1.681334
S1,2,1.88732
S2,2,1.489288
S3,2,1.401724
S4,2,1.644505
S5,2,1.722588
S6,2,1.260794
S7,2,1.8975
S8,2,1.464738
S9,2,1.266473
S10,2,1.799454
S11,2,0.92688
S12,2,1.595479
S13,2,1.879568
S14,2,1.896982
S15,2,1.85153
S16,2,1.309758
S17,2,1.521279
S18,2,1.713766
S19,2,1.166462
S20,2,1.762431
S21,2,1.177163
S22,2,1.887591
S23,2,1.506911
S24,2,1.860431
S25,2,1.463432
S26,2,1.695205
S27,2,1.473198
S28,2,1.65668
S29,2,1.527104
S30,2,1.80827
S31,2,1.607162
S32,2,1.154151
S33,2,1.649742
S34,2,1.264605
S35,2,1.938396
S36,2,0.733343
S37,2,1.479745
S38,2,0.981755
S39,2,0.814304
S40,2,1.607579
S41,2,1.454329
S42,2,1.521628
S43,2,1.526148
S44,2,1.677433
S45,2,1.647165
S46,2,1.578781
S47,2,1.786362
S48,2,2.035465
S49,2,1.83568
S50,2,1.834719
S51,2,1.680252
S52,2,1.775644
S53,2,1.330262
S54,2,1.59778
S55,2,1.619505
S1,3,1.885851
S2,3,1.508889
S3,3,1.423941
S4,3,1.653953
S5,3,1.745256
S6,3,1.446696
S7,3,1.995552
S8,3,1.586157
S9,3,1.185059
S10,3,1.863873
S11,3,0.825178
S12,3,1.629693
S13,3,1.822022
S14,3,1.924178
S15,3,1.937621
S16,3,1.329885
S17,3,1.565466
S18,3,1.891109
S19,3,1.245402
S20,3,1.828667
S21,3,1.367918
S22,3,1.942806
S23,3,1.511116
S24,3,1.833861
S25,3,1.560267
S26,3,1.770829
S27,3,1.562796
S28,3,1.787067
S29,3,1.668892
S30,3,1.792429
S31,3,1.682768
S32,3,1.293929
S33,3,1.64506
S34,3,1.452724
S35,3,2.006515
S36,3,0.851679
S37,3,1.414876
S38,3,1.097362
S39,3,0.88251
S40,3,1.648681
S41,3,1.446661
S42,3,1.604357
S43,3,1.528567
S44,3,1.555145
S45,3,1.618065
S46,3,1.661631
S47,3,1.730019
S48,3,2.032615
S49,3,1.847834
S50,3,1.852712
S51,3,1.538315
S52,3,1.888127
S53,3,1.469218
S54,3,1.642517
S55,3,1.677534
S1,4,1.916614
S2,4,1.466056
S3,4,1.403809
S4,4,1.64365
S5,4,1.779343
S6,4,1.590722
S7,4,2.015232
S8,4,1.606102
S9,4,1.211128
S10,4,1.866131
S11,4,0.77185
S12,4,1.649585
S13,4,1.765067
S14,4,1.812472
S15,4,1.869558
S16,4,1.372495
S17,4,1.500046
S18,4,1.82533
S19,4,1.293923
S20,4,1.767729
S21,4,1.349855
S22,4,1.839183
S23,4,1.497006
S24,4,1.820288
S25,4,1.59521
S26,4,1.718774
S27,4,1.559723
S28,4,1.808051
S29,4,1.645345
S30,4,1.733095
S31,4,1.786916
S32,4,1.319916
S33,4,1.706201
S34,4,1.437068
S35,4,2.060318
S36,4,0.859955
S37,4,1.433586
S38,4,1.146304
S39,4,0.887065
S40,4,1.648437
S41,4,1.410032
S42,4,1.510911
S43,4,1.512994
S44,4,1.44938
S45,4,1.620027
S46,4,1.703771
S47,4,1.694135
S48,4,1.998345
S49,4,1.743206
S50,4,1.72924
S51,4,1.516697
S52,4,1.852019
S53,4,1.454245
S54,4,1.668626
S55,4,1.750318
S1,5,1.916138
S2,5,1.49897
S3,5,1.459844
S4,5,1.647417
S5,5,1.752504
S6,5,1.494593
S7,5,1.949049
S8,5,1.660314
S9,5,1.302361
S10,5,1.957617
S11,5,0.874486
S12,5,1.788835
S13,5,1.734349
S14,5,1.818522
S15,5,1.90589
S16,5,1.463199
S17,5,1.489829
S18,5,1.872015
S19,5,1.327217
S20,5,1.775499
S21,5,1.452781
S22,5,1.789049
S23,5,1.567146
S24,5,1.891403
S25,5,1.623471
S26,5,1.798089
S27,5,1.535836
S28,5,1.905132
S29,5,1.658334
S30,5,1.78834
S31,5,1.821798
S32,5,1.392423
S33,5,1.700253
S34,5,1.529365
S35,5,2.031828
S36,5,0.927181
S37,5,1.505626
S38,5,1.150908
S39,5,0.945745
S40,5,1.669391
S41,5,1.428904
S42,5,1.580008
S43,5,1.582558
S44,5,1.50609
S45,5,1.667813
S46,5,1.726669
S47,5,1.718036
S48,5,1.95329
S49,5,1.775156
S50,5,1.771982
S51,5,1.610433
S52,5,1.854908
S53,5,1.368102
S54,5,1.715757
S55,5,1.748504
