subject_number,time,coverage
S1,1,13.661775
S2,1,17.51768
S3,1,13.323623
S4,1,15.126346
S5,1,12.207909
S6,1,17.164919
S7,1,14.125639
S8,1,19.002715
S9,1,20.799831
S10,1,10.954859
S11,1,14.037469
S12,1,20.73543
S13,1,15.65284
S14,1,18.217427
S15,1,10.654023
S16,1,19.368287
S17,1,13.929147
S18,1,11.676958
S19,1,24.694868
S20,1,14.719116
S21,1,15.442032
S22,1,21.159501
S23,1,13.826189
S24,1,12.82914
S25,1,17.948357
S26,1,21.885217
S27,1,15.831778
S28,1,13.791634
S29,1,13.495901
S30,1,15.811452
S31,1,17.749765
S32,1,15.892494
S33,1,13.526428
S34,1,15.961923
S35,1,13.530118
S36,1,26.122138
S37,1,20.723322
S38,1,17.9797
S39,1,23.401739
S40,1,19.516195
S41,1,17.576293
S42,1,13.677542
S43,1,11.586197
S44,1,13.989637
S45,1,17.975163
S46,1,17.042412
S47,1,15.196615
S48,1,12.355531
S49,1,14.047012
S50,1,18.517744
S51,1,12.041137
S52,1,12.86153
S53,1,23.411681
S54,1,10.8904
S55,1,16.598698
S1,2,13.270656
S2,2,17.411601
S3,2,15.104004
S4,2,14.995779
S5,2,12.840773
S6,2,17.447936
S7,2,14.198176
S8,2,19.94575
S9,2,19.764064
S10,2,14.455909
S11,2,17.126674
S12,2,20.602822
S13,2,18.141316
S14,2,16.782309
S15,2,11.981919
S16,2,17.601688
S17,2,12.251864
S18,2,13.654169
S19,2,23.087178
S20,2,14.096027
S21,2,14.65568
S22,2,19.013513
S23,2,14.646482
S24,2,12.242367
S25,2,18.583821
S26,2,23.243151
S27,2,17.42989
S28,2,15.830102
S29,2,14.335579
S30,2,16.798391
S31,2,17.393673
S32,2,16.406983
S33,2,12.545368
S34,2,14.202764
S35,2,15.032749
S36,2,25.18159
S37,2,19.857671
S38,2,17.914857
S39,2,22.062442
S40,2,21.443554
S41,2,19.258377
S42,2,14.207557
S43,2,12.409279
S44,2,13.494415
S45,2,17.476148
S46,2,18.878715
S47,2,15.582155
S48,2,14.206858
S49,2,13.80859
S50,2,18.990644
S51,2,11.786787
S52,2,13.134414
S53,2,21.562746
S54,2,11.92499
S55,2,15.031144
S1,3,13.151054
S2,3,16.78683
S3,3,15.121556
S4,3,14.99741
S5,3,13.160614
S6,3,17.285296
S7,3,13.457397
S8,3,19.947128
S9,3,20.527588
S10,3,14.894518
S11,3,16.498938
S12,3,18.827137
S13,3,18.380373
S14,3,15.814912
S15,3,13.22734
S16,3,17.042236
S17,3,12.432512
S18,3,12.679772
S19,3,24.30048
S20,3,13.849717
S21,3,14.628065
S22,3,17.71744
S23,3,14.339972
S24,3,12.595373
S25,3,17.927585
S26,3,22.003826
S27,3,17.328092
S28,3,14.852774
S29,3,13.109877
S30,3,15.841099
S31,3,17.210237
S32,3,16.70645
S33,3,11.859163
S34,3,12.169401
S35,3,14.576743
S36,3,23.55802
S37,3,19.79441
S38,3,16.203596
S39,3,20.834204
S40,3,20.249954
S41,3,18.272176
S42,3,13.700413
S43,3,12.151543
S44,3,12.39072
S45,3,18.375487
S46,3,17.608645
S47,3,13.455166
S48,3,13.219008
S49,3,13.049284
S50,3,17.133233
S51,3,12.440077
S52,3,12.27822
S53,3,20.473494
S54,3,11.031603
S55,3,13.37048
S1,4,13.027725
S2,4,16.647002
S3,4,14.43743
S4,4,14.19613
S5,4,12.463894
S6,4,16.420647
S7,4,12.990017
S8,4,20.235984
S9,4,18.897161
S10,4,13.978381
S11,4,16.777813
S12,4,18.444922
S13,4,18.223546
S14,4,16.138353
S15,4,12.908855
S16,4,16.400403
S17,4,12.292071
S18,4,12.779065
S19,4,24.116259
S20,4,13.039804
S21,4,14.128478
S22,4,17.540649
S23,4,14.667177
S24,4,11.736261
S25,4,18.038212
S26,4,21.297331
S27,4,17.80128
S28,4,14.078567
S29,4,12.881201
S30,4,16.193685
S31,4,16.285034
S32,4,16.772673
S33,4,12.035637
S34,4,12.125773
S35,4,13.57323
S36,4,23.120888
S37,4,19.178773
S38,4,17.670711
S39,4,20.943419
S40,4,20.19487
S41,4,17.948982
S42,4,13.433374
S43,4,12.000542
S44,4,12.375897
S45,4,17.852876
S46,4,16.595603
S47,4,14.031857
S48,4,13.002447
S49,4,13.447336
S50,4,16.127902
S51,4,12.240954
S52,4,11.95566
S53,4,21.230184
S54,4,10.682999
S55,4,13.458198
S1,5,13.53884
S2,5,16.782822
S3,5,14.847101
S4,5,13.678207
S5,5,11.950265
S6,5,16.516719
S7,5,13.491189
S8,5,20.273158
S9,5,18.754003
S10,5,13.222907
S11,5,17.363175
S12,5,18.497827
S13,5,18.024535
S14,5,16.31751
S15,5,12.389002
S16,5,15.998606
S17,5,12.976266
S18,5,12.788705
S19,5,23.459868
S20,5,13.057175
S21,5,13.964772
S22,5,18.091491
S23,5,15.167465
S24,5,11.220359
S25,5,17.872049
S26,5,20.692178
S27,5,17.929465
S28,5,13.610548
S29,5,13.231463
S30,5,15.19594
S31,5,16.532633
S32,5,16.36415
S33,5,12.837648
S34,5,11.750501
S35,5,13.312909
S36,5,22.975537
S37,5,18.797725
S38,5,18.551353
S39,5,20.558824
S40,5,19.567205
S41,5,18.061076
S42,5,13.407297
S43,5,12.035591
S44,5,12.189188
S45,5,17.12434
S46,5,16.701852
S47,5,13.664998
S48,5,13.073647
S49,5,14.252788
S50,5,16.485733
S51,5,11.835607
S52,5,12.027842
S53,5,22.02752
S54,5,10.595662
S55,5,13.238057
