subject_number,time,gev
S1,1,0.05076
S2,1,0.095739
S3,1,0.054298
S4,1,0.058663
S5,1,0.041132
S6,1,0.064282
S7,1,0.052615
S8,1,0.09499
S9,1,0.091793
S10,1,0.02896
S11,1,0.094401
S12,1,0.121082
S13,1,0.064015
S14,1,0.08851
S15,1,0.047132
S16,1,0.113473
S17,1,0.060688
S18,1,0.043488
S19,1,0.131657
S20,1,0.059535
S21,1,0.039624
S22,1,0.091956
S23,1,0.061283
S24,1,0.049616
S25,1,0.075226
S26,1,0.102272
S27,1,0.072839
S28,1,0.058796
S29,1,0.051503
S30,1,0.067981
S31,1,0.083808
S32,1,0.07563
S33,1,0.048295
S34,1,0.057187
S35,1,0.048424
S36,1,0.171948
S37,1,0.103687
S38,1,0.107086
S39,1,0.102016
S40,1,0.091775
S41,1,0.078751
S42,1,0.049547
S43,1,0.041756
S44,1,0.065709
S45,1,0.095912
S46,1,0.06988
S47,1,0.050523
S48,1,0.051611
S49,1,0.037347
S50,1,0.071076
S51,1,0.038781
S52,1,0.050008
S53,1,0.111422
S54,1,0.047361
S55,1,0.072469
S1,2,0.047511
S2,2,0.088147
S3,2,0.059596
S4,2,0.057398
S5,2,0.047937
S6,2,0.06532
S7,2,0.053003
S8,2,0.094344
S9,2,0.085118
S10,2,0.062976
S11,2,0.083425
S12,2,0.11032
S13,2,0.078976
S14,2,0.078022
S15,2,0.049606
S16,2,0.077376
S17,2,0.050201
S18,2,0.05102
S19,2,0.126308
S20,2,0.056266
S21,2,0.041747
S22,2,0.076384
S23,2,0.068952
S24,2,0.047795
S25,2,0.089989
S26,2,0.118991
S27,2,0.085127
S28,2,0.064445
S29,2,0.045067
S30,2,0.077157
S31,2,0.087281
S32,2,0.075125
S33,2,0.042765
S34,2,0.04903
S35,2,0.060535
S36,2,0.138347
S37,2,0.090015
S38,2,0.090388
S39,2,0.100125
S40,2,0.103887
S41,2,0.087318
S42,2,0.051896
S43,2,0.045091
S44,2,0.051255
S45,2,0.076129
S46,2,0.080746
S47,2,0.053455
S48,2,0.055608
S49,2,0.043986
S50,2,0.075913
S51,2,0.037683
S52,2,0.047249
S53,2,0.102869
S54,2,0.045727
S55,2,0.051434
S1,3,0.046932
S2,3,0.074456
S3,3,0.057999
S4,3,0.055589
S5,3,0.04756
S6,3,0.060592
S7,3,0.045444
S8,3,0.092369
S9,3,0.090885
S10,3,0.064819
S11,3,0.06556
S12,3,0.08852
S13,3,0.083623
S14,3,0.066919
S15,3,0.059926
S16,3,0.072671
S17,3,0.053481
S18,3,0.045262
S19,3,0.133577
S20,3,0.054
S21,3,0.04089
S22,3,0.071153
S23,3,0.062306
S24,3,0.047733
S25,3,0.086659
S26,3,0.114943
S27,3,0.082873
S28,3,0.055458
S29,3,0.042706
S30,3,0.068889
S31,3,0.083477
S32,3,0.078807
S33,3,0.041643
S34,3,0.036897
S35,3,0.054565
S36,3,0.118207
S37,3,0.088918
S38,3,0.076462
S39,3,0.099248
S40,3,0.097567
S41,3,0.083873
S42,3,0.052524
S43,3,0.04677
S44,3,0.043767
S45,3,0.084319
S46,3,0.075483
S47,3,0.043588
S48,3,0.050107
S49,3,0.039721
S50,3,0.063767
S51,3,0.044102
S52,3,0.043279
S53,3,0.09735
S54,3,0.040676
S55,3,0.048252
S1,4,0.045427
S2,4,0.07436
S3,4,0.050822
S4,4,0.051652
S5,4,0.042858
S6,4,0.058346
S7,4,0.057496
S8,4,0.093224
S9,4,0.080045
S10,4,0.058592
S11,4,0.06501
S12,4,0.086765
S13,4,0.080029
S14,4,0.06673
S15,4,0.06097
S16,4,0.068719
S17,4,0.049598
S18,4,0.04253
S19,4,0.127836
S20,4,0.047827
S21,4,0.041643
S22,4,0.072359
S23,4,0.061449
S24,4,0.046786
S25,4,0.084978
S26,4,0.100707
S27,4,0.080615
S28,4,0.052836
S29,4,0.041047
S30,4,0.073474
S31,4,0.077997
S32,4,0.079458
S33,4,0.046615
S34,4,0.043859
S35,4,0.049958
S36,4,0.114278
S37,4,0.082423
S38,4,0.088988
S39,4,0.098846
S40,4,0.097559
S41,4,0.079714
S42,4,0.050683
S43,4,0.047479
S44,4,0.042714
S45,4,0.079431
S46,4,0.071874
S47,4,0.048223
S48,4,0.049326
S49,4,0.045094
S50,4,0.061552
S51,4,0.045588
S52,4,0.04247
S53,4,0.096016
S54,4,0.038444
S55,4,0.047292
S1,5,0.047665
S2,5,0.07811
S3,5,0.052517
S4,5,0.048071
S5,5,0.04012
S6,5,0.060638
S7,5,0.060975
S8,5,0.093957
S9,5,0.077329
S10,5,0.052264
S11,5,0.069717
S12,5,0.086578
S13,5,0.078352
S14,5,0.066769
S15,5,0.055811
S16,5,0.066363
S17,5,0.052163
S18,5,0.042367
S19,5,0.121361
S20,5,0.049268
S21,5,0.041951
S22,5,0.076222
S23,5,0.061607
S24,5,0.04044
S25,5,0.084051
S26,5,0.093867
S27,5,0.078545
S28,5,0.050069
S29,5,0.042386
S30,5,0.066955
S31,5,0.076071
S32,5,0.076837
S33,5,0.047693
S34,5,0.041788
S35,5,0.048709
S36,5,0.111275
S37,5,0.080903
S38,5,0.093892
S39,5,0.097532
S40,5,0.092814
S41,5,0.082441
S42,5,0.05018
S43,5,0.047074
S44,5,0.042426
S45,5,0.073839
S46,5,0.070892
S47,5,0.048004
S48,5,0.04933
S49,5,0.047594
S50,5,0.063317
S51,5,0.043704
S52,5,0.042251
S53,5,0.098419
S54,5,0.039125
S55,5,0.046659
