subject_number,time,gev
S1,1,0.059516
S2,1,0.057466
S3,1,0.115166
S4,1,0.059594
S5,1,0.078848
S6,1,0.054821
S7,1,0.093741
S8,1,0.097239
S9,1,0.046664
S10,1,0.095548
S11,1,0.06575
S12,1,0.055968
S13,1,0.082165
S14,1,0.076029
S15,1,0.084634
S16,1,0.042476
S17,1,0.075686
S18,1,0.103264
S19,1,0.090245
S20,1,0.152596
S21,1,0.031633
S22,1,0.048718
S23,1,0.097311
S24,1,0.096337
S25,1,0.081584
S26,1,0.027478
S27,1,0.076535
S28,1,0.075731
S29,1,0.098243
S30,1,0.064091
S31,1,0.083252
S32,1,0.044201
S33,1,0.085123
S34,1,0.056004
S35,1,0.095139
S36,1,0.019187
S37,1,0.04938
S38,1,0.050404
S39,1,0.088668
S40,1,0.065383
S41,1,0.114813
S42,1,0.087665
S43,1,0.118548
S44,1,0.093836
S45,1,0.07845
S46,1,0.057563
S47,1,0.096996
S48,1,0.103912
S49,1,0.041301
S50,1,0.066508
S51,1,0.116816
S52,1,0.054467
S53,1,0.050334
S54,1,0.106124
S55,1,0.057983
S1,2,0.066754
S2,2,0.049145
S3,2,0.118939
S4,2,0.072142
S5,2,0.089211
S6,2,0.041211
S7,2,0.083954
S8,2,0.088081
S9,2,0.069694
S10,2,0.097574
S11,2,0.032851
S12,2,0.069213
S13,2,0.089303
S14,2,0.082209
S15,2,0.103478
S16,2,0.037968
S17,2,0.063825
S18,2,0.093649
S19,2,0.086518
S20,2,0.144946
S21,2,0.043689
S22,2,0.039697
S23,2,0.084405
S24,2,0.07419
S25,2,0.081313
S26,2,0.025959
S27,2,0.103512
S28,2,0.074061
S29,2,0.099563
S30,2,0.069065
S31,2,0.073692
S32,2,0.049351
S33,2,0.092129
S34,2,0.063153
S35,2,0.081483
S36,2,0.020504
S37,2,0.047961
S38,2,0.030615
S39,2,0.09466
S40,2,0.055349
S41,2,0.087994
S42,2,0.085238
S43,2,0.130605
S44,2,0.097775
S45,2,0.088739
S46,2,0.063169
S47,2,0.116652
S48,2,0.082227
S49,2,0.042617
S50,2,0.073381
S51,2,0.117426
S52,2,0.060224
S53,2,0.05063
S54,2,0.110917
S55,2,0.05685
S1,3,0.0657
S2,3,0.063157
S3,3,0.113618
S4,3,0.068949
S5,3,0.077265
S6,3,0.031187
S7,3,0.072961
S8,3,0.070141
S9,3,0.074002
S10,3,0.089577
S11,3,0.031551
S12,3,0.069994
S13,3,0.078899
S14,3,0.082428
S15,3,0.085055
S16,3,0.041148
S17,3,0.056242
S18,3,0.072721
S19,3,0.074337
S20,3,0.134287
S21,3,0.037785
S22,3,0.041031
S23,3,0.07897
S24,3,0.068738
S25,3,0.081002
S26,3,0.02309
S27,3,0.103146
S28,3,0.078721
S29,3,0.088981
S30,3,0.064211
S31,3,0.074259
S32,3,0.052649
S33,3,0.079461
S34,3,0.054877
S35,3,0.071391
S36,3,0.020069
S37,3,0.048604
S38,3,0.027751
S39,3,0.087967
S40,3,0.055956
S41,3,0.078997
S42,3,0.071449
S43,3,0.117352
S44,3,0.090437
S45,3,0.083766
S46,3,0.06235
S47,3,0.108214
S48,3,0.070518
S49,3,0.041716
S50,3,0.06957
S51,3,0.104266
S52,3,0.06313
S53,3,0.047102
S54,3,0.105379
S55,3,0.047042
S1,4,0.064802
S2,4,0.080256
S3,4,0.111276
S4,4,0.066823
S5,4,0.079869
S6,4,0.028065
S7,4,0.069595
S8,4,0.068348
S9,4,0.070558
S10,4,0.096908
S11,4,0.031386
S12,4,0.069612
S13,4,0.078394
S14,4,0.077062
S15,4,0.076566
S16,4,0.050623
S17,4,0.063252
S18,4,0.062719
S19,4,0.07588
S20,4,0.121341
S21,4,0.035783
S22,4,0.03698
S23,4,0.073686
S24,4,0.069101
S25,4,0.082104
S26,4,0.04047
S27,4,0.100579
S28,4,0.087576
S29,4,0.089206
S30,4,0.069596
S31,4,0.073507
S32,4,0.052146
S33,4,0.083602
S34,4,0.058933
S35,4,0.0727
S36,4,0.022704
S37,4,0.050447
S38,4,0.026728
S39,4,0.09603
S40,4,0.057413
S41,4,0.059951
S42,4,0.076786
S43,4,0.116757
S44,4,0.087656
S45,4,0.086363
S46,4,0.065181
S47,4,0.095221
S48,4,0.063015
S49,4,0.045971
S50,4,0.070418
S51,4,0.107107
S52,4,0.070138
S53,4,0.054127
S54,4,0.099824
S55,4,0.053571
S1,5,0.068024
S2,5,0.078109
S3,5,0.110995
S4,5,0.075669
S5,5,0.080662
S6,5,0.03126
S7,5,0.068336
S8,5,0.069
S9,5,0.064032
S10,5,0.104386
S11,5,0.030332
S12,5,0.069295
S13,5,0.074829
S14,5,0.087748
S15,5,0.07975
S16,5,0.057339
S17,5,0.062366
S18,5,0.065908
S19,5,0.071107
S20,5,0.112864
S21,5,0.032285
S22,5,0.033593
S23,5,0.069155
S24,5,0.06465
S25,5,0.087053
S26,5,0.043139
S27,5,0.101319
S28,5,0.089089
S29,5,0.088409
S30,5,0.068946
S31,5,0.073189
S32,5,0.053691
S33,5,0.084699
S34,5,0.058532
S35,5,0.072169
S36,5,0.02432
S37,5,0.05038
S38,5,0.026643
S39,5,0.10036
S40,5,0.063972
S41,5,0.058075
S42,5,0.074238
S43,5,0.112815
S44,5,0.085137
S45,5,0.089615
S46,5,0.063048
S47,5,0.100148
S48,5,0.067271
S49,5,0.049141
S50,5,0.070162
S51,5,0.117928
S52,5,0.074985
S53,5,0.051533
S54,5,0.088871
S55,5,0.056612
