subject_number,time,coverage
S1,1,21.698113
S2,1,16.244696
S3,1,12.311
S4,1,17.385796
S5,1,16.918814
S6,1,12.248512
S7,1,26.045241
S8,1,14.373482
S9,1,10.97475
S10,1,16.376037
S11,1,9.231605
S12,1,16.178036
S13,1,19.070156
S14,1,13.970588
S15,1,14.684144
S16,1,17.18485
S17,1,14.112136
S18,1,23.485742
S19,1,12.038835
S20,1,14.903191
S21,1,14.175169
S22,1,18.855903
S23,1,14.820184
S24,1,23.932124
S25,1,18.419757
S26,1,15.547826
S27,1,19.735898
S28,1,25.147362
S29,1,19.122696
S30,1,20.751646
S31,1,19.713106
S32,1,15.553715
S33,1,15.702419
S34,1,12.554322
S35,1,21.177883
S36,1,8.589806
S37,1,12.376238
S38,1,10.812677
S39,1,5.613913
S40,1,17.37734
S41,1,12.363216
S42,1,14.419999
S43,1,15.527823
S44,1,18.049542
S45,1,15.154704
S46,1,16.619698
S47,1,17.429051
S48,1,21.106219
S49,1,20.851034
S50,1,20.002789
S51,1,19.640051
S52,1,21.288295
S53,1,15.641026
S54,1,18.325862
S55,1,18.58768
S1,2,20.299175
S2,2,18.418394
S3,2,12.297096
S4,2,16.469678
S5,2,18.626423
S6,2,12.328568
S7,2,23.730938
S8,2,14.994575
S9,2,11.616126
S10,2,18.264014
S11,2,7.840714
S12,2,17.269617
S13,2,19.422207
S14,2,16.901938
S15,2,18.198887
S16,2,14.887579
S17,2,13.587622
S18,2,22.06911
S19,2,13.8923
S20,2,18.312173
S21,2,11.882422
S22,2,19.249903
S23,2,15.096823
S24,2,24.236676
S25,2,17.356654
S26,2,16.143836
S27,2,17.089102
S28,2,21.251322
S29,2,17.243185
S30,2,19.328205
S31,2,19.071659
S32,2,11.898579
S33,2,19.309308
S34,2,14.715731
S35,2,21.593202
S36,2,6.628021
S37,2,13.972903
S38,2,9.640313
S39,2,6.60106
S40,2,17.49596
S41,2,12.740262
S42,2,14.207557
S43,2,14.745981
S44,2,18.241193
S45,2,15.49595
S46,2,15.780795
S47,2,17.986942
S48,2,22.148623
S49,2,23.411157
S50,2,19.35237
S51,2,17.749893
S52,2,20.904419
S53,2,17.266624
S54,2,17.730578
S55,2,19.612031
S1,3,20.153653
S2,3,17.763791
S3,3,12.692753
S4,3,17.394171
S5,3,18.511051
S6,3,14.956054
S7,3,24.679307
S8,3,16.392694
S9,3,11.29361
S10,3,17.987253
S11,3,7.70012
S12,3,18.229368
S13,3,19.208987
S14,3,16.850304
S15,3,18.650338
S16,3,15.579362
S17,3,14.54281
S18,3,23.094882
S19,3,15.082173
S20,3,18.736099
S21,3,14.22173
S22,3,19.795295
S23,3,15.4956
S24,3,23.792351
S25,3,18.4707
S26,3,18.769644
S27,3,17.856128
S28,3,23.175062
S29,3,18.729066
S30,3,20.058852
S31,3,19.60001
S32,3,12.676955
S33,3,20.354547
S34,3,18.616385
S35,3,25.586611
S36,3,7.421939
S37,3,12.956803
S38,3,10.784497
S39,3,8.074967
S40,3,19.131618
S41,3,12.909887
S42,3,14.76694
S43,3,14.628954
S44,3,16.862811
S45,3,15.702993
S46,3,17.053219
S47,3,18.274854
S48,3,23.022289
S49,3,24.48201
S50,3,20.422813
S51,3,16.773593
S52,3,22.173204
S53,3,18.798825
S54,3,20.11001
S55,3,21.415531
S1,4,20.872716
S2,4,17.58563
S3,4,12.376186
S4,4,17.876476
S5,4,19.162151
S6,4,16.418814
S7,4,25.383917
S8,4,16.683557
S9,4,11.772878
S10,4,19.152495
S11,4,7.482093
S12,4,17.999962
S13,4,18.258584
S14,4,16.257743
S15,4,18.642167
S16,4,15.329856
S17,4,14.141974
S18,4,22.563887
S19,4,15.571087
S20,4,18.513728
S21,4,14.474595
S22,4,18.791648
S23,4,14.909135
S24,4,23.093754
S25,4,20.098729
S26,4,20.336536
S27,4,17.445787
S28,4,24.46566
S29,4,18.602073
S30,4,19.621264
S31,4,21.22838
S32,4,13.28597
S33,4,20.887594
S34,4,18.668287
S35,4,26.745053
S36,4,7.514685
S37,4,13.590394
S38,4,11.521233
S39,4,8.09142
S40,4,18.704787
S41,4,12.670575
S42,4,14.446371
S43,4,15.040092
S44,4,15.868904
S45,4,15.579408
S46,4,17.032468
S47,4,17.886014
S48,4,22.657887
S49,4,22.363232
S50,4,18.998004
S51,4,16.392856
S52,4,22.121485
S53,4,18.328875
S54,4,20.607532
S55,4,21.924186
S1,5,21.025763
S2,5,18.022911
S3,5,12.799128
S4,5,17.933617
S5,5,19.067547
S6,5,15.548164
S7,5,25.440529
S8,5,17.179198
S9,5,12.814381
S10,5,20.041762
S11,5,8.430617
S12,5,19.397099
S13,5,18.424986
S14,5,16.812148
S15,5,19.698484
S16,5,16.184501
S17,5,13.697579
S18,5,22.190222
S19,5,15.77812
S20,5,18.738774
S21,5,16.159931
S22,5,18.167044
S23,5,15.841792
S24,5,24.859065
S25,5,20.536731
S26,5,21.675088
S27,5,17.10182
S28,5,25.410861
S29,5,18.993029
S30,5,20.358799
S31,5,21.587214
S32,5,14.081142
S33,5,20.944158
S34,5,21.335011
S35,5,25.272683
S36,5,8.424506
S37,5,14.188353
S38,5,11.929535
S39,5,8.606278
S40,5,19.111413
S41,5,13.309027
S42,5,15.497875
S43,5,15.811995
S44,5,16.115158
S45,5,16.151449
S46,5,17.268088
S47,5,17.935126
S48,5,22.249175
S49,5,22.222381
S50,5,19.431565
S51,5,17.243798
S52,5,21.670494
S53,5,17.118152
S54,5,22.082448
S55,5,21.457472
