subject_number,time,coverage
S1,1,13.948288
S2,1,13.387553
S3,1,18.275766
S4,1,14.774407
S5,1,15.74296
S6,1,12.156418
S7,1,19.483157
S8,1,19.102729
S9,1,12.596981
S10,1,21.621432
S11,1,18.347814
S12,1,17.122169
S13,1,17.782572
S14,1,15.516767
S15,1,19.041975
S16,1,15.44658
S17,1,16.95213
S18,1,19.128564
S19,1,18.377254
S20,1,22.525225
S21,1,13.668424
S22,1,10.054614
S23,1,20.383792
S24,1,17.37127
S25,1,18.637867
S26,1,10.135652
S27,1,17.841252
S28,1,15.645196
S29,1,20.376988
S30,1,14.73565
S31,1,17.843947
S32,1,15.267635
S33,1,18.929648
S34,1,14.202939
S35,1,19.468964
S36,1,8.071098
S37,1,12.80253
S38,1,13.381206
S39,1,17.968696
S40,1,13.994807
S41,1,20.16584
S42,1,17.287651
S43,1,21.972177
S44,1,19.589751
S45,1,17.027994
S46,1,15.196562
S47,1,22.404611
S48,1,20.528343
S49,1,14.811668
S50,1,16.86537
S51,1,24.539352
S52,1,13.904163
S53,1,11.908832
S54,1,23.867677
S55,1,15.117693
S1,2,15.11953
S2,2,13.457586
S3,2,21.015471
S4,2,15.780217
S5,2,17.993559
S6,2,11.392497
S7,2,17.697236
S8,2,18.799277
S9,2,14.885929
S10,2,21.614722
S11,2,15.667697
S12,2,16.073969
S13,2,19.126349
S14,2,16.447346
S15,2,19.72879
S16,2,13.726988
S17,2,17.431635
S18,2,18.963346
S19,2,18.063498
S20,2,21.850724
S21,2,14.191739
S22,2,10.249444
S23,2,18.817335
S24,2,16.214935
S25,2,18.597927
S26,2,8.527397
S27,2,20.550231
S28,2,15.53049
S29,2,20.94663
S30,2,15.507021
S31,2,16.914248
S32,2,15.335786
S33,2,20.229497
S34,2,15.684668
S35,2,17.932377
S36,2,8.964241
S37,2,12.813056
S38,2,10.25543
S39,2,17.311757
S40,2,12.984423
S41,2,17.700289
S42,2,17.339716
S43,2,23.224581
S44,2,21.435455
S45,2,18.743474
S46,2,15.296635
S47,2,24.142184
S48,2,18.043193
S49,2,14.140082
S50,2,16.10031
S51,2,23.884599
S52,2,16.089657
S53,2,12.516963
S54,2,23.562954
S55,2,13.667912
S1,3,15.165723
S2,3,14.041474
S3,3,20.613568
S4,3,15.816735
S5,3,16.70909
S6,3,10.026392
S7,3,16.982678
S8,3,17.080029
S9,3,14.72317
S10,3,20.720149
S11,3,12.992798
S12,3,15.585788
S13,3,18.303779
S14,3,17.33822
S15,3,18.767415
S16,3,13.61655
S17,3,15.578236
S18,3,16.219182
S19,3,16.711672
S20,3,21.430373
S21,3,13.598375
S22,3,9.789845
S23,3,18.39509
S24,3,16.545227
S25,3,18.551691
S26,3,8.477201
S27,3,20.640746
S28,3,15.338004
S29,3,19.377884
S30,3,14.892921
S31,3,17.200552
S32,3,15.252996
S33,3,19.389609
S34,3,14.362236
S35,3,16.883056
S36,3,8.608416
S37,3,12.612613
S38,3,8.69017
S39,3,16.953482
S40,3,12.753643
S41,3,17.328159
S42,3,16.456939
S43,3,21.909464
S44,3,21.147565
S45,3,18.492513
S46,3,15.163839
S47,3,23.910819
S48,3,17.571609
S49,3,14.789824
S50,3,16.001859
S51,3,23.158196
S52,3,16.469262
S53,3,11.875582
S54,3,23.313555
S55,3,12.64019
S1,4,15.303158
S2,4,15.757682
S3,4,21.177455
S4,4,15.77189
S5,4,17.35921
S6,4,9.817548
S7,4,16.758902
S8,4,16.869955
S9,4,15.554091
S10,4,21.529172
S11,4,12.52073
S12,4,15.602122
S13,4,18.50035
S14,4,17.209399
S15,4,18.179228
S16,4,15.439656
S17,4,16.791286
S18,4,15.764532
S19,4,17.014647
S20,4,20.517729
S21,4,13.751211
S22,4,9.670369
S23,4,18.667317
S24,4,17.285381
S25,4,18.654356
S26,4,9.540915
S27,4,20.629221
S28,4,15.862391
S29,4,19.557605
S30,4,16.370944
S31,4,16.894313
S32,4,15.514767
S33,4,20.168222
S34,4,15.313616
S35,4,17.780896
S36,4,8.800649
S37,4,13.027386
S38,4,8.785976
S39,4,18.27179
S40,4,13.841681
S41,4,15.811219
S42,4,17.291348
S43,4,22.560138
S44,4,20.945358
S45,4,18.873765
S46,4,16.158739
S47,4,22.762177
S48,4,17.048436
S49,4,15.727397
S50,4,16.840612
S51,4,23.21844
S52,4,17.817231
S53,4,12.659114
S54,4,22.401305
S55,4,13.576378
S1,5,15.979468
S2,5,15.688045
S3,5,20.970063
S4,5,16.451299
S5,5,17.364899
S6,5,10.429915
S7,5,16.535764
S8,5,17.078136
S9,5,14.328821
S10,5,22.146818
S11,5,11.750821
S12,5,16.07487
S13,5,18.365764
S14,5,17.449497
S15,5,18.359364
S16,5,15.654409
S17,5,16.363046
S18,5,16.423153
S19,5,16.554139
S20,5,20.301489
S21,5,13.183467
S22,5,9.233204
S23,5,17.473858
S24,5,16.570747
S25,5,19.49479
S26,5,10.520721
S27,5,20.848976
S28,5,16.872996
S29,5,19.918316
S30,5,16.396177
S31,5,17.062478
S32,5,15.049477
S33,5,19.999409
S34,5,15.507325
S35,5,18.084337
S36,5,9.146281
S37,5,13.021406
S38,5,8.701291
S39,5,19.21531
S40,5,14.488377
S41,5,15.29236
S42,5,17.592593
S43,5,22.343272
S44,5,20.277178
S45,5,19.056954
S46,5,15.665851
S47,5,23.429906
S48,5,17.660001
S49,5,16.086639
S50,5,17.565731
S51,5,24.618864
S52,5,18.661022
S53,5,12.603775
S54,5,20.821424
S55,5,14.139765
