subject_number,time,occurrence
S1,1,1.415094
S2,1,1.184583
S3,1,1.924677
S4,1,1.583726
S5,1,1.404284
S6,1,1.32828
S7,1,1.593249
S8,1,1.803829
S9,1,1.516434
S10,1,1.968781
S11,1,1.696986
S12,1,1.739192
S13,1,1.722578
S14,1,1.735157
S15,1,1.830289
S16,1,1.342566
S17,1,1.646904
S18,1,1.7172
S19,1,1.612344
S20,1,2.028225
S21,1,1.352462
S22,1,1.050273
S23,1,1.86374
S24,1,1.609128
S25,1,1.723774
S26,1,1.304348
S27,1,1.471221
S28,1,1.491371
S29,1,1.769322
S30,1,1.503999
S31,1,1.485184
S32,1,1.392758
S33,1,1.856208
S34,1,1.189901
S35,1,1.836029
S36,1,0.968255
S37,1,1.598597
S38,1,1.294621
S39,1,1.73913
S40,1,1.554599
S41,1,1.903079
S42,1,1.788025
S43,1,2.182215
S44,1,1.845411
S45,1,1.789097
S46,1,1.426659
S47,1,2.060991
S48,1,1.960649
S49,1,1.416029
S50,1,1.551279
S51,1,2.142551
S52,1,1.285439
S53,1,1.19302
S54,1,1.91297
S55,1,1.377263
S1,2,1.529079
S2,2,1.201881
S3,2,2.05067
S4,2,1.69727
S5,2,1.563436
S6,2,1.269864
S7,2,1.566743
S8,2,1.772152
S9,2,1.585305
S10,2,2.154026
S11,2,1.441813
S12,2,1.557034
S13,2,1.83606
S14,2,1.708993
S15,2,1.973227
S16,2,1.218802
S17,2,1.706801
S18,2,1.731253
S19,2,1.613752
S20,2,2.027651
S21,2,1.315653
S22,2,1.120206
S23,2,1.853327
S24,2,1.495641
S25,2,1.542775
S26,2,1.087329
S27,2,1.650692
S28,2,1.480437
S29,2,1.780167
S30,2,1.561287
S31,2,1.543602
S32,2,1.550891
S33,2,1.888038
S34,2,1.282417
S35,2,1.708267
S36,2,0.97779
S37,2,1.411318
S38,2,1.05126
S39,2,1.784539
S40,2,1.452839
S41,2,1.751999
S42,2,1.795179
S43,2,2.043343
S44,2,1.962954
S45,2,1.944194
S46,2,1.605094
S47,2,2.0856
S48,2,1.733596
S49,2,1.381215
S50,2,1.539077
S51,2,1.948377
S52,2,1.552573
S53,2,1.187415
S54,2,1.970915
S55,2,1.26357
S1,3,1.479668
S2,3,1.232944
S3,3,2.008567
S4,3,1.683383
S5,3,1.537337
S6,3,1.131934
S7,3,1.580056
S8,3,1.664263
S9,3,1.499099
S10,3,2.116701
S11,3,1.188718
S12,3,1.462214
S13,3,1.700167
S14,3,1.815371
S15,3,1.92006
S16,3,1.212905
S17,3,1.540813
S18,3,1.593435
S19,3,1.530565
S20,3,1.97198
S21,3,1.281341
S22,3,1.119483
S23,3,1.783233
S24,3,1.502662
S25,3,1.601953
S26,3,1.030611
S27,3,1.710788
S28,3,1.485277
S29,3,1.65718
S30,3,1.523856
S31,3,1.591971
S32,3,1.536171
S33,3,1.730996
S34,3,1.249462
S35,3,1.658326
S36,3,0.928036
S37,3,1.374451
S38,3,0.852206
S39,3,1.776632
S40,3,1.406567
S41,3,1.690607
S42,3,1.68429
S43,3,2.004121
S44,3,1.921414
S45,3,1.898689
S46,3,1.620962
S47,3,2.095517
S48,3,1.717209
S49,3,1.394817
S50,3,1.521663
S51,3,1.985499
S52,3,1.618395
S53,3,1.122817
S54,3,1.909903
S55,3,1.232958
S1,4,1.527165
S2,4,1.298758
S3,4,1.979283
S4,4,1.661515
S5,4,1.566954
S6,4,1.104795
S7,4,1.539228
S8,4,1.683014
S9,4,1.558437
S10,4,2.117003
S11,4,1.173212
S12,4,1.511723
S13,4,1.703749
S14,4,1.825449
S15,4,1.851753
S16,4,1.31302
S17,4,1.629281
S18,4,1.535734
S19,4,1.531582
S20,4,1.841025
S21,4,1.293611
S22,4,1.083963
S23,4,1.810333
S24,4,1.5261
S25,4,1.613493
S26,4,1.035561
S27,4,1.684145
S28,4,1.453619
S29,4,1.658543
S30,4,1.588304
S31,4,1.568667
S32,4,1.514803
S33,4,1.743092
S34,4,1.282935
S35,4,1.713971
S36,4,0.943746
S37,4,1.416209
S38,4,0.881772
S39,4,1.856748
S40,4,1.445087
S41,4,1.564321
S42,4,1.734114
S43,4,2.021563
S44,4,1.906841
S45,4,1.90059
S46,4,1.686296
S47,4,2.011785
S48,4,1.615402
S49,4,1.478813
S50,4,1.54975
S51,4,1.959626
S52,4,1.640231
S53,4,1.166987
S54,4,1.82506
S55,4,1.271331
S1,5,1.590954
S2,5,1.287351
S3,5,2.018636
S4,5,1.672432
S5,5,1.590095
S6,5,1.194209
S7,5,1.492581
S8,5,1.696408
S9,5,1.448254
S10,5,2.172778
S11,5,1.123324
S12,5,1.639454
S13,5,1.727298
S14,5,1.842769
S15,5,1.827371
S16,5,1.350645
S17,5,1.615211
S18,5,1.555915
S19,5,1.491806
S20,5,1.834222
S21,5,1.244248
S22,5,1.058461
S23,5,1.682326
S24,5,1.479268
S25,5,1.634416
S26,5,1.15271
S27,5,1.749147
S28,5,1.513322
S29,5,1.728751
S30,5,1.572749
S31,5,1.600424
S32,5,1.540854
S33,5,1.689164
S34,5,1.269593
S35,5,1.765882
S36,5,0.980672
S37,5,1.425651
S38,5,0.894359
S39,5,1.905398
S40,5,1.492754
S41,5,1.487157
S42,5,1.70765
S43,5,1.99348
S44,5,1.875371
S45,5,1.861659
S46,5,1.667249
S47,5,2.011718
S48,5,1.650072
S49,5,1.538946
S50,5,1.6249
S51,5,2.093563
S52,5,1.711395
S53,5,1.167016
S54,5,1.685187
S55,5,1.293315
