subject_number,time,occurrence
S1,1,1.554857
S2,1,1.396747
S3,1,1.664586
S4,1,1.654114
S5,1,1.404284
S6,1,1.77104
S7,1,1.365642
S8,1,1.893128
S9,1,2.010157
S10,1,1.265645
S11,1,1.629107
S12,1,2.076382
S13,1,1.687778
S14,1,1.924134
S15,1,1.32478
S16,1,1.536885
S17,1,1.592007
S18,1,1.318254
S19,1,2.011096
S20,1,1.550995
S21,1,1.52366
S22,1,2.135555
S23,1,1.553117
S24,1,1.188561
S25,1,1.706184
S26,1,2.347826
S27,1,1.471221
S28,1,1.615652
S29,1,1.278817
S30,1,1.663246
S31,1,1.666304
S32,1,1.543326
S33,1,1.341616
S34,1,1.465821
S35,1,1.571217
S36,1,2.143993
S37,1,2.148652
S38,1,1.726162
S39,1,2.069565
S40,1,2.067104
S41,1,1.852104
S42,1,1.617737
S43,1,1.363884
S44,1,1.508269
S45,1,1.841718
S46,1,1.655629
S47,1,1.495586
S48,1,1.375894
S49,1,1.398329
S50,1,1.899881
S51,1,1.32124
S52,1,1.231879
S53,1,1.958689
S54,1,1.159375
S55,1,1.591901
S1,2,1.502866
S2,2,1.471869
S3,2,1.68726
S4,2,1.644505
S5,2,1.460455
S6,2,1.678035
S7,2,1.470998
S8,2,2.034358
S9,2,1.912994
S10,2,1.560118
S11,2,1.647786
S12,2,1.931875
S13,2,1.853463
S14,2,1.854257
S15,2,1.503825
S16,2,1.582624
S17,2,1.465623
S18,2,1.512661
S19,2,1.982108
S20,2,1.548544
S21,2,1.523387
S22,2,1.922873
S23,2,1.610836
S24,2,1.212928
S25,2,1.710276
S26,2,2.226027
S27,2,1.588569
S28,2,1.674304
S29,2,1.457293
S30,2,1.772987
S31,2,1.679802
S32,2,1.776311
S33,2,1.228141
S34,2,1.344756
S35,2,1.628607
S36,2,1.999232
S37,2,1.975845
S38,2,1.668115
S39,2,2.079074
S40,2,2.037413
S41,2,2.126212
S42,2,1.658403
S43,2,1.365055
S44,2,1.49006
S45,2,1.809181
S46,2,1.83314
S47,2,1.523395
S48,2,1.543849
S49,2,1.407949
S50,2,1.826023
S51,2,1.340626
S52,2,1.409808
S53,2,1.794515
S54,2,1.262916
S55,2,1.503826
S1,3,1.514483
S2,3,1.51476
S3,3,1.655476
S4,3,1.677497
S5,3,1.486933
S6,3,1.688821
S7,3,1.404494
S8,3,1.97068
S9,3,1.919795
S10,3,1.622804
S11,3,1.604192
S12,3,1.758522
S13,3,1.856838
S14,3,1.74665
S15,3,1.568829
S16,3,1.520749
S17,3,1.479181
S18,3,1.400822
S19,3,2.060152
S20,3,1.496182
S21,3,1.512213
S22,3,1.830265
S23,3,1.574803
S24,3,1.214396
S25,3,1.667461
S26,3,2.146631
S27,3,1.621993
S28,3,1.538534
S29,3,1.340969
S30,3,1.663981
S31,3,1.634343
S32,3,1.796138
S33,3,1.184689
S34,3,1.171744
S35,3,1.534394
S36,3,1.938303
S37,3,2.021252
S38,3,1.61102
S39,3,2.037901
S40,3,1.919618
S41,3,2.013979
S42,3,1.547263
S43,3,1.319097
S44,3,1.284946
S45,3,1.815099
S46,3,1.783639
S47,3,1.425439
S48,3,1.466053
S49,3,1.269641
S50,3,1.765594
S51,3,1.407141
S52,3,1.288722
S53,3,1.74395
S54,3,1.145942
S55,3,1.393005
S1,4,1.457152
S2,4,1.461654
S3,4,1.569475
S4,4,1.581119
S5,4,1.382884
S6,4,1.613643
S7,4,1.312348
S8,4,2.054001
S9,4,1.825598
S10,4,1.522834
S11,4,1.596627
S12,4,1.782692
S13,4,1.843903
S14,4,1.782192
S15,4,1.500098
S16,4,1.518895
S17,4,1.440044
S18,4,1.377773
S19,4,2.072917
S20,4,1.401249
S21,4,1.479648
S22,4,1.85251
S23,4,1.540524
S24,4,1.158365
S25,4,1.613493
S26,4,2.118389
S27,4,1.644152
S28,4,1.462592
S29,4,1.332993
S30,4,1.649731
S31,4,1.545932
S32,4,1.714119
S33,4,1.180507
S34,4,1.146935
S35,4,1.403147
S36,4,1.887491
S37,4,1.950546
S38,4,1.684185
S39,4,2.065469
S40,4,1.886401
S41,4,1.915758
S42,4,1.45511
S43,4,1.2799
S44,4,1.263679
S45,4,1.769359
S46,4,1.751826
S47,4,1.45935
S48,4,1.399722
S49,4,1.295081
S50,4,1.663573
S51,4,1.378002
S52,4,1.270728
S53,4,1.790876
S54,4,1.104517
S55,4,1.410103
S1,5,1.479062
S2,5,1.488389
S3,5,1.623989
S4,5,1.500901
S5,5,1.329486
S6,5,1.670428
S7,5,1.311442
S8,5,2.028471
S9,5,1.811207
S10,5,1.467331
S11,5,1.581896
S12,5,1.848588
S13,5,1.833051
S14,5,1.811594
S15,5,1.470462
S16,5,1.521291
S17,5,1.508268
S18,5,1.380303
S19,5,1.996078
S20,5,1.392075
S21,5,1.466683
S22,5,1.86389
S23,5,1.591579
S24,5,1.166488
S25,5,1.62712
S26,5,2.008614
S27,5,1.674488
S28,5,1.434241
S29,5,1.408352
S30,5,1.615161
S31,5,1.578649
S32,5,1.706955
S33,5,1.264101
S34,5,1.112266
S35,5,1.436109
S36,5,1.911419
S37,5,1.908981
S38,5,1.792281
S39,5,2.041001
S40,5,1.849492
S41,5,1.912059
S42,5,1.459265
S43,5,1.29729
S44,5,1.285245
S45,5,1.737305
S46,5,1.723174
S47,5,1.387645
S48,5,1.420895
S49,5,1.367157
S50,5,1.691437
S51,5,1.320555
S52,5,1.313146
S53,5,1.806182
S54,5,1.077603
S55,5,1.36918
