subject_number,time,coverage
S1,1,33.612858
S2,1,28.74116
S3,1,33.132196
S4,1,38.88928
S5,1,31.351108
S6,1,34.421933
S7,1,25.414945
S8,1,34.533505
S9,1,31.302017
S10,1,37.554493
S11,1,32.195221
S12,1,27.777383
S13,1,33.825167
S14,1,30.566245
S15,1,37.233301
S16,1,30.207744
S17,1,37.351779
S18,1,29.834177
S19,1,30.56172
S20,1,30.76084
S21,1,44.504554
S22,1,33.580731
S23,1,29.260717
S24,1,34.179345
S25,1,30.57764
S26,1,33.530435
S27,1,28.59911
S28,1,32.909594
S29,1,38.497653
S30,1,34.000991
S31,1,30.225313
S32,1,31.393511
S33,1,36.219951
S34,1,40.642892
S35,1,31.212485
S36,1,41.52431
S37,1,34.715347
S38,1,41.048125
S39,1,33.57913
S40,1,37.611043
S41,1,32.60382
S42,1,38.124106
S43,1,36.538462
S44,1,36.26943
S45,1,36.280081
S46,1,31.555587
S47,1,32.953965
S48,1,32.41607
S49,1,29.396771
S50,1,32.726766
S51,1,30.338523
S52,1,39.18446
S53,1,28.084046
S54,1,34.495285
S55,1,35.021822
S1,2,32.297637
S2,2,24.33374
S3,2,31.419375
S4,2,37.543971
S5,2,31.025315
S6,2,36.147595
S7,2,28.761925
S8,2,33.023508
S9,2,29.672665
S10,2,30.74141
S11,2,32.269138
S12,2,28.695552
S13,2,32.03968
S14,2,30.902006
S15,2,33.056328
S16,2,35.552645
S17,2,38.818597
S18,2,30.79183
S19,2,29.949132
S20,2,30.306971
S21,2,46.93072
S22,2,35.998306
S23,2,32.805626
S24,2,33.983876
S25,2,31.888709
S26,2,34.589041
S27,2,30.046148
S28,2,35.149806
S29,2,38.640092
S30,2,34.210712
S31,2,31.162605
S32,2,35.555075
S33,2,32.719874
S34,2,37.806355
S35,2,32.20747
S36,2,41.171951
S37,2,33.683454
S38,2,43.961772
S39,2,34.703212
S40,2,37.378357
S41,2,34.101038
S42,2,38.317661
S43,2,36.31554
S44,2,34.35169
S45,2,34.621062
S46,2,31.256359
S47,2,29.521219
S48,2,31.73946
S49,2,28.294422
S50,2,32.951897
S51,2,33.780209
S52,2,37.329574
S53,2,25.851725
S54,2,35.227708
S55,2,35.137925
S1,3,32.965834
S2,3,25.262441
S3,3,31.373003
S4,3,36.132693
S5,3,31.528012
S6,3,36.541488
S7,3,28.036049
S8,3,32.583514
S9,3,29.979617
S10,3,30.054799
S11,3,34.881359
S12,3,31.205071
S13,3,31.923684
S14,3,30.951781
S15,3,31.868312
S16,3,34.653368
S17,3,38.155462
S18,3,33.064064
S19,3,29.235532
S20,3,30.902754
S21,3,45.636515
S22,3,36.271235
S23,3,32.299676
S24,3,33.431466
S25,3,31.002859
S26,3,32.931718
S27,3,29.278746
S28,3,34.136527
S29,3,38.804956
S30,3,33.933534
S31,3,31.93143
S32,3,33.72486
S33,3,32.839815
S34,3,37.110814
S35,3,28.789953
S36,3,41.618307
S37,3,33.811504
S38,3,46.33668
S39,3,36.958592
S40,3,35.526194
S41,3,34.225157
S42,3,37.910795
S43,3,35.714124
S44,3,34.679124
S45,3,32.958372
S46,3,32.526145
S47,3,31.069688
S48,3,32.096631
S49,3,26.673184
S50,3,32.884191
S51,3,33.726061
S52,3,36.870624
S53,3,26.142526
S54,3,33.624488
S55,3,33.553053
S1,4,31.754533
S2,4,26.633794
S3,4,32.754953
S4,4,35.802976
S5,4,30.52729
S6,4,38.010452
S7,4,28.186558
S8,4,32.129284
S9,4,30.566737
S10,4,30.048238
S11,4,36.549522
S12,4,32.560041
S13,4,32.761037
S14,4,32.437623
S15,4,33.05379
S16,4,33.873181
S17,4,37.136527
S18,4,34.33551
S19,4,28.476868
S20,4,32.010555
S21,4,46.222138
S22,4,37.304309
S23,4,32.60862
S24,4,33.734164
S25,4,29.971661
S26,4,30.595899
S27,4,29.464984
S28,4,33.413492
S29,4,39.606173
S30,4,33.126239
S31,4,31.251478
S32,4,32.815407
S33,4,31.174604
S34,4,35.198651
S35,4,28.119783
S36,4,42.371536
S37,4,34.472093
S38,4,43.723547
S39,4,36.46183
S40,4,35.140701
S41,4,36.144826
S42,4,38.35139
S43,4,35.615115
S44,4,34.574969
S45,4,32.610506
S46,4,32.392619
S47,4,31.606666
S48,4,33.137314
S49,4,26.97892
S50,4,33.590166
S51,4,34.820502
S52,4,36.171593
S53,4,25.504946
S54,4,34.225795
S55,4,31.668666
S1,5,30.888976
S2,5,27.211422
S3,5,31.946132
S4,5,35.70285
S5,5,30.603859
S6,5,38.043255
S7,5,27.741711
S8,5,31.833276
S9,5,30.816858
S10,5,29.205525
S11,5,36.397116
S12,5,30.718671
S13,5,32.708686
S14,5,31.587552
S15,5,33.673586
S16,5,33.962182
S17,5,35.252902
S18,5,34.261028
S19,5,28.310688
S20,5,32.286456
S21,5,45.892592
S22,5,37.109581
S23,5,32.504502
S24,5,33.677269
S25,5,29.085311
S26,5,29.463817
S27,5,29.122582
S28,5,32.449065
S29,5,38.032533
S30,5,32.540715
S31,5,30.935722
S32,5,33.334747
S33,5,30.696217
S34,5,32.494256
S35,5,28.212984
S36,5,40.940019
S37,5,34.62036
S38,5,42.411847
S39,5,36.005063
S40,5,34.62082
S41,5,36.237287
S42,5,37.337859
S43,5,35.437071
S44,5,35.488683
S45,5,32.585256
S46,5,32.901783
S47,5,31.00395
S48,5,32.792711
S49,5,26.623051
S50,5,32.656292
S51,5,33.421132
S52,5,35.38318
S53,5,26.175634
S54,5,34.938783
S55,5,31.948499
