subject_number,time,occurrence
S1,1,1.554857
S2,1,1.874116
S3,1,2.184769
S4,1,1.548532
S5,1,2.303026
S6,1,2.178379
S7,1,1.558232
S8,1,1.410916
S9,1,2.257018
S10,1,1.546899
S11,1,2.46063
S12,1,1.792433
S13,1,1.478981
S14,1,2.23337
S15,1,1.969739
S16,1,1.377897
S17,1,1.774996
S18,1,1.561091
S19,1,1.352288
S20,1,1.755522
S21,1,1.181264
S22,1,1.820473
S23,1,2.277904
S24,1,1.279988
S25,1,1.600647
S26,1,1.86087
S27,1,1.632697
S28,1,1.313827
S29,1,0.98101
S30,1,1.68094
S31,1,1.44896
S32,1,1.750358
S33,1,1.451886
S34,1,1.431331
S35,1,1.677141
S36,1,1.469673
S37,1,2.079895
S38,1,1.639854
S39,1,1.669565
S40,1,1.31543
S41,1,1.767145
S42,1,1.856141
S43,1,1.687807
S44,1,1.34857
S45,1,1.578615
S46,1,1.743695
S47,1,1.258481
S48,1,1.530682
S49,1,2.088643
S50,1,1.254968
S51,1,1.410513
S52,1,1.249732
S53,1,1.923077
S54,1,1.294636
S55,1,1.502468
S1,2,1.756256
S2,2,1.916043
S3,2,1.894923
S4,2,1.574152
S5,2,1.994083
S6,2,2.122487
S7,2,1.531927
S8,2,1.537071
S9,2,2.169831
S10,2,1.577846
S11,2,2.154137
S12,2,1.710815
S13,2,1.270449
S14,2,2.016611
S15,2,1.912378
S16,2,1.50986
S17,2,1.94798
S18,2,1.538892
S19,2,1.508507
S20,2,1.616988
S21,2,1.151196
S22,2,1.69354
S23,2,1.896629
S24,2,1.285886
S25,2,1.436984
S26,2,1.763699
S27,2,1.384452
S28,2,1.374692
S29,2,1.038431
S30,2,1.517183
S31,2,1.452802
S32,2,1.911563
S33,2,1.429776
S34,2,1.513964
S35,2,1.478138
S36,2,1.667481
S37,2,1.984399
S38,2,1.754996
S39,2,1.81919
S40,2,1.298098
S41,2,1.751999
S42,2,1.78663
S43,2,1.424405
S44,2,1.258075
S45,2,1.584158
S46,2,1.850682
S47,2,1.414581
S48,2,1.517974
S49,2,1.844591
S50,2,1.339084
S51,2,1.447876
S52,2,1.267043
S53,2,2.044497
S54,2,1.215078
S55,2,1.53942
S1,3,1.787206
S2,3,1.949226
S3,3,1.979625
S4,3,1.606865
S5,3,2.053983
S6,3,2.027796
S7,3,1.632725
S8,3,1.532084
S9,3,2.139031
S10,3,1.781556
S11,3,2.060059
S12,3,1.571719
S13,3,1.288181
S14,3,1.987172
S15,3,1.961037
S16,3,1.594631
S17,3,2.040036
S18,3,1.575925
S19,3,1.454909
S20,3,1.58217
S21,3,1.137046
S22,3,1.794726
S23,3,1.974294
S24,3,1.367729
S25,3,1.459028
S26,3,1.770829
S27,3,1.402965
S28,3,1.396516
S29,3,1.141873
S30,3,1.617273
S31,3,1.355899
S32,3,2.038381
S33,3,1.387252
S34,3,1.542398
S35,3,1.563902
S36,3,1.738599
S37,3,2.061677
S38,3,1.692739
S39,3,1.683736
S40,3,1.377744
S41,3,1.798398
S42,3,1.901249
S43,3,1.619149
S44,3,1.507109
S45,3,1.606124
S46,3,1.789449
S47,3,1.449805
S48,3,1.524461
S49,3,1.841873
S50,3,1.422929
S51,3,1.52639
S52,3,1.282728
S53,3,1.935068
S54,3,1.235071
S55,3,1.647896
S1,4,1.846601
S2,4,1.791846
S3,4,1.944406
S4,4,1.69278
S5,4,2.029489
S6,4,1.838269
S7,4,1.601509
S8,4,1.547287
S9,4,2.052684
S10,4,1.654871
S11,4,2.028863
S12,4,1.506969
S13,4,1.313945
S14,4,1.873032
S15,4,1.891815
S16,4,1.564645
S17,4,2.086218
S18,4,1.50502
S19,4,1.478769
S20,4,1.590956
S21,4,1.120552
S22,4,1.839183
S23,4,1.90172
S24,4,1.383603
S25,4,1.384953
S26,4,1.757447
S27,4,1.413082
S28,4,1.345943
S29,4,1.038239
S30,4,1.544429
S31,4,1.354964
S32,4,2.055171
S33,4,1.434131
S34,4,1.518668
S35,4,1.523036
S36,4,1.6273
S37,4,1.959234
S38,4,1.745909
S39,4,1.591498
S40,4,1.362881
S41,4,1.774326
S42,4,1.768453
S43,4,1.54266
S44,4,1.594318
S45,4,1.620027
S46,4,1.847936
S47,4,1.463954
S48,4,1.478951
S49,4,1.90005
S50,4,1.466571
S51,4,1.485379
S52,4,1.266222
S53,4,1.871667
S54,4,1.279912
S55,4,1.68317
S1,5,1.825226
S2,5,1.767021
S3,5,1.941802
S4,5,1.686726
S5,5,2.062214
S6,5,1.90121
S7,5,1.58315
S8,5,1.519548
S9,5,2.049618
S10,5,1.707183
S11,5,1.983591
S12,5,1.598375
S13,5,1.332487
S14,5,1.880871
S15,5,1.766696
S16,5,1.524922
S17,5,2.205242
S18,5,1.51728
S19,5,1.533828
S20,5,1.55788
S21,5,1.073946
S22,5,1.878145
S23,5,1.888254
S24,5,1.354156
S25,5,1.357149
S26,5,1.718711
S27,5,1.454067
S28,5,1.279673
S29,5,1.070347
S30,5,1.611626
S31,5,1.368163
S32,5,2.025021
S33,5,1.423038
S34,5,1.511071
S35,5,1.616952
S36,5,1.676057
S37,5,1.926367
S38,5,1.760212
S39,5,1.582036
S40,5,1.392314
S41,5,1.716741
S42,5,1.738698
S43,5,1.494261
S44,5,1.5966
S45,5,1.61295
S46,5,1.835023
S47,5,1.475749
S48,5,1.48436
S49,5,1.878946
S50,5,1.442799
S51,5,1.402866
S52,5,1.298794
S53,5,1.802591
S54,5,1.230454
S55,5,1.715991
