subject_number,time,duration
S1,1,79.957258
S2,1,96.205946
S3,1,73.503043
S4,1,83.24236
S5,1,78.668161
S6,1,84.259844
S7,1,88.813619
S8,1,86.284777
S9,1,91.877651
S10,1,77.040905
S11,1,73.736847
S12,1,87.814303
S13,1,82.358643
S14,1,84.234967
S15,1,73.552181
S16,1,102.887372
S17,1,80.072329
S18,1,79.572542
S19,1,100.654441
S20,1,85.349309
S21,1,90.246243
S22,1,88.402021
S23,1,79.434327
S24,1,92.028283
S25,1,88.110984
S26,1,82.785284
S27,1,92.097481
S28,1,77.92874
S29,1,91.800597
S30,1,82.668797
S31,1,96.078383
S32,1,88.631099
S33,1,87.016696
S34,1,94.455082
S35,1,78.13592
S36,1,103.125289
S37,1,83.652021
S38,1,87.589694
S39,1,95.117744
S40,1,82.364474
S41,1,84.09728
S42,1,77.552891
S43,1,75.601062
S44,1,82.6728
S45,1,86.418681
S46,1,91.91615
S47,1,90.936355
S48,1,79.025387
S49,1,87.07145
S50,1,84.292566
S51,1,79.795278
S52,1,86.42506
S53,1,100.101761
S54,1,78.978118
S55,1,93.292563
S1,2,80.344647
S2,2,95.349294
S3,2,79.680641
S4,2,80.6187
S5,2,78.857785
S6,2,91.127211
S7,2,83.821824
S8,2,84.161581
S9,2,90.566837
S10,2,79.998947
S11,2,85.106027
S12,2,93.835694
S13,2,86.688272
S14,2,81.363517
S15,2,74.116632
S16,2,92.505362
S17,2,76.87723
S18,2,81.133748
S19,2,96.771829
S20,2,81.246125
S21,2,85.08458
S22,2,87.194624
S23,2,80.832865
S24,2,88.677438
S25,2,92.397521
S26,2,89.233271
S27,2,93.519667
S28,2,83.227545
S29,2,86.380031
S30,2,83.563785
S31,2,91.154286
S32,2,81.670174
S33,2,89.129706
S34,2,90.497648
S35,2,82.714259
S36,2,104.730634
S37,2,87.764762
S38,2,90.312217
S39,2,91.371127
S40,2,90.642271
S41,2,79.703863
S42,2,76.563782
S43,2,81.040987
S44,2,80.286833
S45,2,84.776662
S46,2,91.249622
S47,2,91.790367
S48,2,82.177226
S49,2,86.560081
S50,2,90.179687
S51,2,77.199665
S52,2,81.119896
S53,2,102.03605
S54,2,81.481528
S55,2,88.455023
S1,3,79.66349
S2,3,92.009801
S3,3,80.858005
S4,3,80.646292
S5,3,79.579238
S6,3,89.52312
S7,3,83.661133
S8,3,88.332998
S9,3,92.768267
S10,3,80.757922
S11,3,87.04208
S12,3,92.219317
S13,3,87.623912
S14,3,80.969002
S15,3,75.786766
S16,3,93.226069
S17,3,76.555608
S18,3,81.902963
S19,3,97.673685
S20,3,82.447367
S21,3,85.888725
S22,3,85.575167
S23,3,80.840089
S24,3,91.309875
S25,3,92.1769
S26,3,88.357844
S27,3,90.970242
S28,3,84.407244
S29,3,86.308809
S30,3,83.869284
S31,3,92.415933
S32,3,81.918383
S33,3,88.408499
S34,3,90.306011
S35,3,85.121254
S36,3,102.842002
S37,3,86.321085
S38,3,86.475748
S39,3,89.415455
S40,3,92.183901
S41,3,80.325934
S42,3,79.084169
S43,3,81.324762
S44,3,85.267166
S45,3,86.984283
S46,3,87.228439
S47,3,84.306048
S48,3,81.111922
S49,3,89.962133
S50,3,85.374948
S51,3,77.373954
S52,3,83.280973
S53,3,97.964107
S54,3,84.920156
S55,3,85.547903
S1,4,81.045945
S2,4,94.636608
S3,4,81.357585
S4,4,80.438043
S5,4,81.120757
S6,4,89.359257
S7,4,85.965455
S8,4,86.327286
S9,4,89.351699
S10,4,80.943391
S11,4,90.408959
S12,4,89.486385
S13,4,87.536262
S14,4,81.144391
S15,4,76.161218
S16,4,91.490461
S17,4,77.529799
S18,4,83.689445
S19,4,97.351675
S20,4,82.758045
S21,4,83.876689
S22,4,83.898982
S23,4,82.876844
S24,4,89.27433
S25,4,95.823571
S26,4,87.560798
S27,4,92.396841
S28,4,85.113693
S29,4,85.035388
S30,4,86.622544
S31,4,92.373365
S32,4,85.213344
S33,4,89.5602
S34,4,91.676494
S35,4,86.883877
S36,4,103.159821
S37,4,87.046397
S38,4,90.708977
S39,4,88.764173
S40,4,92.956976
S41,4,82.304418
S42,4,82.07084
S43,4,83.172256
S44,4,85.879887
S45,4,87.6571
S46,4,83.596179
S47,4,84.965831
S48,4,83.659916
S49,4,91.225191
S50,4,85.403307
S51,4,78.486563
S52,4,82.781952
S53,4,99.314026
S54,4,85.581107
S55,4,85.114848
S1,5,81.892384
S2,5,93.805548
S3,5,81.427342
S4,5,81.592559
S5,5,80.85392
S6,5,87.076532
S7,5,88.767032
S8,5,87.922085
S9,5,89.763809
S10,5,80.426871
S11,5,93.898477
S12,5,86.712088
S13,5,87.274546
S14,5,80.199467
S15,5,75.263682
S16,5,90.165155
S17,5,77.607276
S18,5,83.076505
S19,5,99.095998
S20,5,83.009841
S21,5,83.657578
S22,5,85.409361
S23,5,83.283834
S24,5,85.173961
S25,5,94.500409
S26,5,89.263048
S27,5,92.204776
S28,5,84.512631
S29,5,83.30021
S30,5,83.490311
S31,5,92.031287
S32,5,83.722997
S33,5,89.62467
S34,5,91.659321
S35,5,83.44107
S36,5,101.345273
S37,5,87.136948
S38,5,89.022997
S39,5,88.08119
S40,5,91.337907
S41,5,83.078577
S42,5,81.868412
S43,5,82.625727
S44,5,83.404946
S45,5,85.860817
S46,5,85.179404
S47,5,86.828427
S48,5,82.529055
S49,5,91.232097
S50,5,85.893331
S51,5,79.241639
S52,5,81.353216
S53,5,102.513786
S54,5,86.530558
S55,5,86.037333
