subject_number,time,gev
S1,1,0.116531
S2,1,0.067393
S3,1,0.04549
S4,1,0.097352
S5,1,0.091286
S6,1,0.043399
S7,1,0.152889
S8,1,0.063587
S9,1,0.04066
S10,1,0.070463
S11,1,0.024221
S12,1,0.065194
S13,1,0.086092
S14,1,0.068445
S15,1,0.069275
S16,1,0.054861
S17,1,0.052012
S18,1,0.139552
S19,1,0.054635
S20,1,0.061474
S21,1,0.038481
S22,1,0.081845
S23,1,0.061742
S24,1,0.137819
S25,1,0.105055
S26,1,0.055858
S27,1,0.121285
S28,1,0.152007
S29,1,0.096138
S30,1,0.105982
S31,1,0.098354
S32,1,0.069459
S33,1,0.054486
S34,1,0.049932
S35,1,0.126289
S36,1,0.017424
S37,1,0.055724
S38,1,0.041306
S39,1,0.020174
S40,1,0.092774
S41,1,0.053415
S42,1,0.063908
S43,1,0.083894
S44,1,0.071168
S45,1,0.065353
S46,1,0.055659
S47,1,0.065225
S48,1,0.112193
S49,1,0.139733
S50,1,0.102663
S51,1,0.09781
S52,1,0.121814
S53,1,0.082015
S54,1,0.098873
S55,1,0.077449
S1,2,0.101443
S2,2,0.060795
S3,2,0.042871
S4,2,0.086209
S5,2,0.094239
S6,2,0.04775
S7,2,0.138556
S8,2,0.063855
S9,2,0.046163
S10,2,0.079588
S11,2,0.012905
S12,2,0.056706
S13,2,0.086487
S14,2,0.082439
S15,2,0.083086
S16,2,0.041904
S17,2,0.046213
S18,2,0.131786
S19,2,0.055068
S20,2,0.082102
S21,2,0.031569
S22,2,0.084525
S23,2,0.060758
S24,2,0.144804
S25,2,0.09603
S26,2,0.082725
S27,2,0.098202
S28,2,0.116767
S29,2,0.078201
S30,2,0.09095
S31,2,0.091387
S32,2,0.058549
S33,2,0.097911
S34,2,0.064866
S35,2,0.120059
S36,2,0.012448
S37,2,0.062518
S38,2,0.036064
S39,2,0.021681
S40,2,0.090915
S41,2,0.054748
S42,2,0.054437
S43,2,0.071947
S44,2,0.076218
S45,2,0.075307
S46,2,0.060195
S47,2,0.068448
S48,2,0.1138
S49,2,0.135787
S50,2,0.098073
S51,2,0.08408
S52,2,0.124466
S53,2,0.122191
S54,2,0.09419
S55,2,0.087859
S1,3,0.098578
S2,3,0.056027
S3,3,0.04811
S4,3,0.099603
S5,3,0.097622
S6,3,0.075263
S7,3,0.153051
S8,3,0.076198
S9,3,0.04335
S10,3,0.08778
S11,3,0.015079
S12,3,0.065437
S13,3,0.087459
S14,3,0.085679
S15,3,0.092254
S16,3,0.04795
S17,3,0.061609
S18,3,0.133817
S19,3,0.065243
S20,3,0.08855
S21,3,0.050334
S22,3,0.08847
S23,3,0.064727
S24,3,0.142827
S25,3,0.102866
S26,3,0.113161
S27,3,0.097598
S28,3,0.139023
S29,3,0.090346
S30,3,0.09753
S31,3,0.097329
S32,3,0.061688
S33,3,0.10307
S34,3,0.085941
S35,3,0.178629
S36,3,0.016798
S37,3,0.055936
S38,3,0.039774
S39,3,0.02746
S40,3,0.109487
S41,3,0.057843
S42,3,0.061669
S43,3,0.070347
S44,3,0.06495
S45,3,0.074635
S46,3,0.073378
S47,3,0.070957
S48,3,0.117307
S49,3,0.16489
S50,3,0.126442
S51,3,0.08114
S52,3,0.144207
S53,3,0.134269
S54,3,0.107763
S55,3,0.099214
S1,4,0.101498
S2,4,0.057631
S3,4,0.043878
S4,4,0.103736
S5,4,0.100646
S6,4,0.078347
S7,4,0.15349
S8,4,0.076596
S9,4,0.049054
S10,4,0.102827
S11,4,0.015604
S12,4,0.065971
S13,4,0.083983
S14,4,0.083051
S15,4,0.094741
S16,4,0.050867
S17,4,0.062087
S18,4,0.121913
S19,4,0.070652
S20,4,0.103889
S21,4,0.052628
S22,4,0.08381
S23,4,0.061382
S24,4,0.131683
S25,4,0.11716
S26,4,0.148307
S27,4,0.09409
S28,4,0.145115
S29,4,0.091511
S30,4,0.094761
S31,4,0.103591
S32,4,0.061645
S33,4,0.099864
S34,4,0.091796
S35,4,0.190275
S36,4,0.018641
S37,4,0.062969
S38,4,0.045062
S39,4,0.027204
S40,4,0.107572
S41,4,0.05242
S42,4,0.067252
S43,4,0.072609
S44,4,0.06136
S45,4,0.070369
S46,4,0.074385
S47,4,0.068782
S48,4,0.11256
S49,4,0.15204
S50,4,0.107906
S51,4,0.073348
S52,4,0.148201
S53,4,0.131487
S54,4,0.11615
S55,4,0.105835
S1,5,0.101158
S2,5,0.065807
S3,5,0.047774
S4,5,0.104097
S5,5,0.098486
S6,5,0.076801
S7,5,0.147314
S8,5,0.080341
S9,5,0.056124
S10,5,0.106615
S11,5,0.01813
S12,5,0.076399
S13,5,0.086344
S14,5,0.087127
S15,5,0.100924
S16,5,0.055211
S17,5,0.061116
S18,5,0.119886
S19,5,0.07234
S20,5,0.103901
S21,5,0.067064
S22,5,0.084002
S23,5,0.064438
S24,5,0.142773
S25,5,0.122558
S26,5,0.155777
S27,5,0.092568
S28,5,0.152497
S29,5,0.097427
S30,5,0.099367
S31,5,0.109693
S32,5,0.06459
S33,5,0.100091
S34,5,0.110712
S35,5,0.179517
S36,5,0.023371
S37,5,0.065645
S38,5,0.051796
S39,5,0.029191
S40,5,0.111273
S41,5,0.054963
S42,5,0.074955
S43,5,0.076839
S44,5,0.064124
S45,5,0.071202
S46,5,0.082216
S47,5,0.072039
S48,5,0.113683
S49,5,0.152855
S50,5,0.112181
S51,5,0.077096
S52,5,0.148704
S53,5,0.116315
S54,5,0.123836
S55,5,0.104605
