subject_number,time,gev
S1,1,0.073599
S2,1,0.129988
S3,1,0.115048
S4,1,0.058041
S5,1,0.086662
S6,1,0.108263
S7,1,0.060259
S8,1,0.052009
S9,1,0.166554
S10,1,0.057469
S11,1,0.168979
S12,1,0.062697
S13,1,0.048619
S14,1,0.109049
S15,1,0.075527
S16,1,0.10584
S17,1,0.097038
S18,1,0.06507
S19,1,0.059476
S20,1,0.071441
S21,1,0.024782
S22,1,0.065779
S23,1,0.097995
S24,1,0.043447
S25,1,0.061181
S26,1,0.162509
S27,1,0.077771
S28,1,0.04548
S29,1,0.024547
S30,1,0.061064
S31,1,0.060147
S32,1,0.141564
S33,1,0.070874
S34,1,0.064858
S35,1,0.058524
S36,1,0.076438
S37,1,0.09156
S38,1,0.063187
S39,1,0.114617
S40,1,0.040553
S41,1,0.080679
S42,1,0.066774
S43,1,0.051681
S44,1,0.050915
S45,1,0.054683
S46,1,0.089549
S47,1,0.041586
S48,1,0.059792
S49,1,0.079737
S50,1,0.049909
S51,1,0.048506
S52,1,0.033983
S53,1,0.111371
S54,1,0.04623
S55,1,0.071744
S1,2,0.093874
S2,2,0.225045
S3,2,0.109512
S4,2,0.071321
S5,2,0.066483
S6,2,0.096341
S7,2,0.066494
S8,2,0.054861
S9,2,0.156861
S10,2,0.064052
S11,2,0.198492
S12,2,0.055722
S13,2,0.04262
S14,2,0.08838
S15,2,0.073843
S16,2,0.100198
S17,2,0.088693
S18,2,0.061383
S19,2,0.066044
S20,2,0.064998
S21,2,0.031833
S22,2,0.060578
S23,2,0.080246
S24,2,0.052696
S25,2,0.05397
S26,2,0.111255
S27,2,0.067205
S28,2,0.045658
S29,2,0.030011
S30,2,0.058859
S31,2,0.065731
S32,2,0.129108
S33,2,0.064549
S34,2,0.071352
S35,2,0.05461
S36,2,0.078806
S37,2,0.080141
S38,2,0.073149
S39,2,0.106702
S40,2,0.042682
S41,2,0.070476
S42,2,0.061902
S43,2,0.057357
S44,2,0.047069
S45,2,0.055924
S46,2,0.090056
S47,2,0.043523
S48,2,0.053922
S49,2,0.087416
S50,2,0.048242
S51,2,0.043152
S52,2,0.03556
S53,2,0.108777
S54,2,0.042017
S55,2,0.091213
S1,3,0.091916
S2,3,0.196451
S3,3,0.104334
S4,3,0.071031
S5,3,0.073129
S6,3,0.083445
S7,3,0.071059
S8,3,0.054895
S9,3,0.156831
S10,3,0.068934
S11,3,0.194989
S12,3,0.051561
S13,3,0.045065
S14,3,0.087619
S15,3,0.073105
S16,3,0.10483
S17,3,0.092479
S18,3,0.059561
S19,3,0.057736
S20,3,0.062233
S21,3,0.032044
S22,3,0.062212
S23,3,0.081824
S24,3,0.054308
S25,3,0.053083
S26,3,0.097672
S27,3,0.065227
S28,3,0.047078
S29,3,0.031172
S30,3,0.06511
S31,3,0.058494
S32,3,0.132309
S33,3,0.07258
S34,3,0.072115
S35,3,0.055439
S36,3,0.081118
S37,3,0.090526
S38,3,0.074113
S39,3,0.08878
S40,3,0.053292
S41,3,0.077908
S42,3,0.067709
S43,3,0.069428
S44,3,0.052806
S45,3,0.060673
S46,3,0.08613
S47,3,0.048727
S48,3,0.05181
S49,3,0.09808
S50,3,0.051391
S51,3,0.053895
S52,3,0.035604
S53,3,0.104945
S54,3,0.042875
S55,3,0.12074
S1,4,0.092608
S2,4,0.15858
S3,4,0.095447
S4,4,0.068882
S5,4,0.076492
S6,4,0.072584
S7,4,0.067034
S8,4,0.054873
S9,4,0.15185
S10,4,0.061282
S11,4,0.172503
S12,4,0.048572
S13,4,0.043881
S14,4,0.079502
S15,4,0.06754
S16,4,0.105958
S17,4,0.091135
S18,4,0.057603
S19,4,0.062114
S20,4,0.062866
S21,4,0.030256
S22,4,0.065546
S23,4,0.081147
S24,4,0.058854
S25,4,0.047678
S26,4,0.088733
S27,4,0.065
S28,4,0.044699
S29,4,0.029818
S30,4,0.062004
S31,4,0.060585
S32,4,0.12936
S33,4,0.072588
S34,4,0.081639
S35,4,0.05716
S36,4,0.083084
S37,4,0.079887
S38,4,0.075735
S39,4,0.08166
S40,4,0.051913
S41,4,0.084125
S42,4,0.063564
S43,4,0.066639
S44,4,0.061168
S45,4,0.066621
S46,4,0.085622
S47,4,0.052078
S48,4,0.050627
S49,4,0.106424
S50,4,0.05449
S51,4,0.050926
S52,4,0.034436
S53,4,0.100035
S54,4,0.044877
S55,4,0.115394
S1,5,0.08856
S2,5,0.144556
S3,5,0.094361
S4,5,0.071503
S5,5,0.079563
S6,5,0.073908
S7,5,0.067802
S8,5,0.05426
S9,5,0.146888
S10,5,0.062237
S11,5,0.160228
S12,5,0.050509
S13,5,0.04599
S14,5,0.076963
S15,5,0.063215
S16,5,0.105154
S17,5,0.101387
S18,5,0.057838
S19,5,0.068402
S20,5,0.064543
S21,5,0.029008
S22,5,0.069816
S23,5,0.079594
S24,5,0.055618
S25,5,0.04621
S26,5,0.092996
S27,5,0.063166
S28,5,0.041878
S29,5,0.031331
S30,5,0.067709
S31,5,0.059043
S32,5,0.122038
S33,5,0.068655
S34,5,0.079233
S35,5,0.066494
S36,5,0.082811
S37,5,0.079184
S38,5,0.078347
S39,5,0.073895
S40,5,0.049878
S41,5,0.08609
S42,5,0.061547
S43,5,0.063968
S44,5,0.061528
S45,5,0.064959
S46,5,0.085216
S47,5,0.052324
S48,5,0.052805
S49,5,0.103575
S50,5,0.052568
S51,5,0.048257
S52,5,0.035515
S53,5,0.107918
S54,5,0.0417
S55,5,0.109529
