subject_number,time,microstate,gev,duration,coverage,occurrence
S45,5,M4,0.095018,86.968983,18.055434,1.750517
S46,5,M4,0.049648,78.803835,12.935408,1.470902
S47,5,M4,0.143852,92.685269,25.326447,2.357669
S48,5,M4,0.104113,92.479085,21.560343,1.997292
S1,1,M5,0.063403,79.267679,13.375657,1.514156
S2,1,M5,0.052665,85.565132,12.019986,1.213419
S3,1,M5,0.075658,75.750427,15.621501,1.802212
S4,1,M5,0.074158,87.726839,15.00461,1.440535
S5,1,M5,0.084862,85.270899,17.178482,1.763449
S6,1,M5,0.117612,100.228054,20.918146,1.750397
S7,1,M5,0.119222,88.007622,21.245821,2.107865
S8,1,M5,0.052958,76.222778,14.402687,1.69711
S9,1,M5,0.076599,87.196228,17.630097,1.750652
S10,1,M5,0.087447,77.385989,19.300266,2.231661
S11,1,M5,0.080317,77.505739,16.273753,1.821689
S12,1,M5,0.086716,77.968521,16.252869,1.895125
S13,1,M5,0.059367,89.256665,14.703529,1.418698
S14,1,M5,0.079247,79.648867,16.913553,1.842435
S15,1,M5,0.102949,89.164895,19.271129,1.843449
S16,1,M5,0.112412,84.904024,21.970322,2.198406
S17,1,M5,0.068323,81.35116,16.592022,1.76697
S18,1,M5,0.111661,87.578124,21.369103,2.116986
S19,1,M5,0.074431,82.318052,16.224233,1.72401
S20,1,M5,0.064976,81.836335,14.975568,1.580914
S21,1,M5,0.045674,72.108935,12.143057,1.539754
S22,1,M5,0.083074,91.244083,15.692763,1.513658
S23,1,M5,0.112933,88.616928,20.341736,1.994634
S24,1,M5,0.092244,81.24285,17.438557,1.88237
S25,1,M5,0.097344,88.597351,18.798917,1.828688
S26,1,M5,0.078478,79.18213,16.708473,1.863852
S27,1,M5,0.100255,94.54991,20.480175,1.873409
S28,1,M5,0.039348,79.714054,10.2965,1.179661
S29,1,M5,0.05729,74.20069,14.101933,1.704745
S30,1,M5,0.080044,85.016049,15.682123,1.605618
S31,1,M5,0.093315,79.969682,17.996497,1.996497
S32,1,M5,0.077114,82.260733,15.600278,1.717557
S33,1,M5,0.129604,84.852354,20.804724,2.180033
S34,1,M5,0.083945,79.061199,16.643149,1.887258
S35,1,M5,0.102306,83.167513,20.215577,2.103616
S36,1,M5,0.090303,84.207803,19.162113,1.985428
S37,1,M5,0.084977,79.641341,17.155708,1.909759
S38,1,M5,0.065621,77.907929,14.897248,1.706606
S39,1,M5,0.14093,92.23691,24.283917,2.31293
S40,1,M5,0.101637,81.956815,19.974635,2.113718
S41,1,M5,0.090871,80.960776,18.250157,2.001114
S42,1,M5,0.082211,90.489293,16.104415,1.533414
S43,1,M5,0.086586,81.634075,17.59437,1.937158
S44,1,M5,0.073559,71.745101,14.892998,1.837968
S45,1,M5,0.099477,91.266378,17.085536,1.647715
S46,1,M5,0.091241,79.952917,17.287441,1.978938
S47,1,M5,0.081114,81.583325,17.300093,1.86795
S48,1,M5,0.087213,93.003878,18.324761,1.74504
S1,2,M5,0.069828,81.279808,15.208447,1.665756
S2,2,M5,0.060466,85.802891,13.324534,1.346723
S3,2,M5,0.085222,80.814088,16.503556,1.795395
S4,2,M5,0.078668,89.540734,15.803971,1.539845
S5,2,M5,0.084213,79.629955,17.323345,1.926817
S6,2,M5,0.096285,91.441247,18.419538,1.70851
S7,2,M5,0.103137,84.000831,20.045684,2.063147
S8,2,M5,0.073899,79.555861,14.96714,1.678327
S9,2,M5,0.05398,89.098689,14.746641,1.445749
S10,2,M5,0.088064,81.469137,17.388211,1.853794
S11,2,M5,0.081362,79.993648,16.703794,1.823441
S12,2,M5,0.103842,82.585491,17.761953,1.935908
S13,2,M5,0.069588,83.392651,15.240642,1.578283
S14,2,M5,0.075962,80.447187,15.943358,1.696687
S15,2,M5,0.095786,86.307847,18.421714,1.831042
S16,2,M5,0.123799,87.086229,21.512599,2.131769
S17,2,M5,0.067169,87.644662,16.098571,1.605996
S18,2,M5,0.09863,83.933242,18.871909,1.941591
S19,2,M5,0.080454,88.425978,17.521972,1.741025
S20,2,M5,0.073332,87.526889,15.96703,1.586491
S21,2,M5,0.040486,71.630084,10.40795,1.316248
