subject_number,time,FromM1_ToM2,FromM1_ToM3,FromM1_ToM4,FromM1_ToM5,FromM2_ToM1,FromM2_ToM3,FromM2_ToM4,FromM2_ToM5,FromM3_ToM1,FromM3_ToM2,FromM3_ToM4,FromM3_ToM5,FromM4_ToM1,FromM4_ToM2,FromM4_ToM3,FromM4_ToM5,FromM5_ToM1,FromM5_ToM2,FromM5_ToM3,FromM5_ToM4
S43,2,1.194398174,1.086476741,1.056649017,0.849863651,0.898435719,1.268937227,0.750477557,0.864936969,1.074942257,1.000865136,0.88207162,0.93805058,0.795178968,0.855815224,1.273886667,1.101176733,0.981154897,0.906592724,1.119446022,1.047041632
S44,2,1.077415859,1.057214074,1.031499585,0.94001562,0.69793727,1.007290368,1.065950746,1.007721077,1.195651013,1.024323125,0.8288677,1.010543646,0.966758914,0.984916525,1.116207421,0.907876506,0.967420321,0.76749053,1.250377661,1.158195031
S45,2,1.192713419,0.996113333,0.951469347,0.820947798,0.845903027,1.250473561,0.725361957,1.060029152,1.144891922,0.990406377,0.854008355,1.004676206,1.057235397,0.730816193,1.130288995,0.996470382,0.955236741,0.818873691,1.027155279,1.593397453
S46,2,0.930017076,1.216367405,0.965022288,0.8556572,1.033428556,0.946714248,1.017606126,1.028911275,1.078749479,1.10671078,0.655047296,1.164927792,0.658771969,1.094018707,1.185574126,0.980059541,1.032124887,0.791395468,1.134245426,1.086900845
S47,2,1.090983611,1.035055819,0.882978094,1.177903248,1.208113903,1.074267484,0.969768409,0.713635666,0.973979226,0.908044161,1.11768561,0.932432235,1.012851791,1.002919513,1.014445867,1.121745759,0.833864725,0.858892243,1.095167946,1.151936503
S48,2,1.135064413,1.061036709,1.117319128,0.795004031,1.121228389,1.013986923,0.615268614,0.976823698,0.942210032,1.185100385,0.910497927,1.016387234,1.017726471,0.62346605,1.112628982,1.327057951,0.928428644,0.744247138,1.020371427,1.41519393
S1,3,0.993501155,1.068242917,0.987132163,0.939252884,0.959225195,1.151898519,0.7666677,1.061596386,1.000623249,1.07639849,1.118554787,0.900383794,0.885095741,0.915527118,1.066889712,1.142755274,0.969184344,0.966054732,1.049041731,1.050418981
S2,3,1.090057784,1.117168715,0.839488277,0.831760079,1.020952034,1.159611803,0.932697075,0.755277198,1.054363605,0.975627889,0.98544891,1.068947377,0.978452298,0.959039206,1.155830783,1.172016981,0.664989345,1.02281439,0.876498646,1.441550906
S3,3,0.812257102,1.295535326,0.826269275,0.902696606,1.02361705,1.210514265,0.649707956,1.085946147,1.069157144,1.005333238,1.069593757,0.920702326,0.838656948,0.912016433,1.073095627,1.128300843,0.879373926,1.054374962,1.04417131,1.085034053
S4,3,1.110438875,1.09838763,0.818107001,0.730606616,0.9498641,1.144293916,0.925349455,0.75989248,0.869963433,1.006338953,0.949583094,1.113036899,0.946829062,1.143158306,0.940595803,1.270140604,0.96109345,1.097627369,0.97209831,1.220219144
S5,3,1.138739305,1.055258102,0.827076746,0.947460449,0.981891253,1.086745204,0.860207198,1.1447186,1.028780592,0.973739325,1.114232627,0.963222725,1.039100437,0.723897288,1.198399096,0.931211471,0.847721734,1.101084041,1.144108129,0.885759076
S6,3,1.092217926,0.964352191,0.874807337,1.008249447,0.829640659,1.291653039,1.020804229,0.877999086,1.122045582,1.154560088,0.897637383,0.87633728,0.890340087,0.951825225,1.011553041,1.165975698,0.712369225,0.748904359,1.151349433,1.406161531
S7,3,0.999871653,1.080218668,0.863288736,0.936916425,0.719114071,1.336103379,0.986592024,1.082987744,1.048765208,0.915106682,1.081472876,0.954897105,0.980193978,0.768131577,1.037315183,1.166577134,0.938517883,0.948899093,1.123297304,1.014031923
S8,3,1.088822132,1.053765304,0.971825129,0.92165901,1.108391795,1.176803328,0.753575723,0.861765267,1.104158621,1.095532918,0.775869713,0.982844889,0.813688103,0.874217972,1.228375421,1.156118592,0.873607886,0.860683322,1.060709456,1.256967416
S9,3,1.237728427,1.148388124,0.645921512,0.828789612,0.926340613,1.220105251,0.675093224,0.935742498,0.981955842,1.031408305,0.993491574,0.914776046,1.01325976,0.782099235,1.165100899,1.374275197,1.063698027,0.900486977,0.903389032,1.476811144
S10,3,1.02058843,1.079985711,0.976800131,0.897021007,1.119936789,1.008964196,0.771285795,1.033006478,1.09028997,0.934563305,0.974742196,1.034527859,0.968224425,0.895871152,1.09495031,1.103526789,0.961459581,0.984662974,1.057603167,1.064583277
S11,3,1.069804267,1.296343088,0.813701536,0.824996005,1.023565383,1.19337158,0.691054672,0.933437359,1.159011431,0.884250807,0.988423421,1.018629227,0.982459416,0.907237073,0.983465658,1.132661868,0.745684513,0.907982099,1.040108225,1.339161773
S12,3,1.050615347,1.093706732,0.815365152,1.036250106,1.116132659,1.097419426,1.040002184,0.75021439,0.958443399,1.085714532,1.043019931,0.962983291,0.966722529,0.89917577,1.039205143,1.221920398,0.923558425,0.965831446,1.105843703,0.972680723
S13,3,0.912494065,1.107155834,1.173015974,0.877601043,0.994810129,1.142482835,0.937782643,0.705885091,1.100324226,1.022508313,0.851902758,1.080586793,0.896263074,0.834744874,1.319018725,0.963572643,0.80219521,0.97207284,1.009081294,1.170928109
S14,3,1.028456812,1.09401795,0.989954857,0.918669816,0.862815768,1.266659864,0.719941172,1.041327714,1.074028606,1.0193344,0.840410184,0.981969856,0.852580569,0.947994253,1.322578557,0.80770309,0.961113199,1.000778168,0.840900664,1.501164883
S15,3,0.767523582,1.103573415,1.009364196,0.879926292,0.858203138,1.237300232,0.929169974,0.934630604,1.006207154,1.024620713,1.008342242,0.97669808,0.961703584,0.909369742,1.085225931,1.152375553,0.759469212,1.046882967,1.147638142,1.142289625
S16,3,1.160134498,1.043945203,0.839431468,0.95965865,0.911706231,1.24987924,0.799287256,0.938191132,1.022115266,0.948604395,1.114832301,1.033932136,0.89726125,0.951696816,1.113358418,1.08245341,0.896221438,0.932150429,0.976106788,1.17543595
S17,3,1.029443973,1.140053305,0.70578471,0.949672895,0.791747828,1.330082022,0.882054258,0.990743461,1.173424676,1.061752157,0.948441015,0.884381827,0.958143731,0.619094907,1.277620638,0.909556974,0.917084212,0.727377447,1.176881183,1.098508659
S18,3,1.023889355,1.149696244,0.871393595,0.829209666,0.990798513,1.188332097,1.000472723,0.697437112,0.981390708,1.043887186,0.804164645,1.257175324,0.884680883,1.148051023,1.039663235,1.057479834,1.003139981,0.788621964,1.056535604,1.262710217
