subject_number,time,m5_m3
S1,1,1.18446093
S2,1,1.144731292
S3,1,1.198945541
S4,1,0.793576207
S5,1,0.821465589
S6,1,1.433839803
S7,1,1.206040629
S8,1,1.139151667
S9,1,1.045133907
S10,1,1.153592829
S11,1,0.696083371
S12,1,1.462222172
S13,1,1.28665908
S14,1,1.270437482
S15,1,1.121251091
S16,1,0.919946305
S17,1,0.999271221
S18,1,1.181127222
S19,1,0.8456955
S20,1,0.955219875
S21,1,1.144046403
S22,1,1.366883823
S23,1,0.908757214
S24,1,0.944169175
S25,1,1.337762343
S26,1,1.124156005
S27,1,1.055781173
S28,1,0.876226577
S29,1,1.250243739
S30,1,0.863765736
S31,1,1.125985454
S32,1,1.046899152
S33,1,1.160428312
S34,1,1.32396352
S35,1,0.922051855
S36,1,1.25224555
S37,1,1.06953023
S38,1,0.914567924
S39,1,1.339546277
S40,1,1.156277809
S41,1,1.117649578
S42,1,1.08743603
S43,1,1.086779452
S44,1,1.10709718
S45,1,1.071658251
S46,1,1.10819399
S47,1,1.068872963
S48,1,1.175325071
S49,1,0.952048809
S50,1,1.034516742
S51,1,0.927627222
S52,1,1.229117217
S53,1,1.24935983
S54,1,1.104725046
S55,1,1.198910669
S1,2,1.145695204
S2,2,0.893756175
S3,2,0.980132783
S4,2,0.972040855
S5,2,0.983034848
S6,2,1.294215582
S7,2,1.135787325
S8,2,1.182652232
S9,2,1.114123564
S10,2,1.186877294
S11,2,0.882713751
S12,2,1.240925583
S13,2,1.052618686
S14,2,1.173676977
S15,2,1.264852345
S16,2,0.862484958
S17,2,0.947302165
S18,2,1.028826225
S19,2,0.8110033
S20,2,0.963671122
S21,2,1.159337966
S22,2,1.162764262
S23,2,0.931809341
S24,2,1.031067021
S25,2,1.253875138
S26,2,0.903216556
S27,2,0.975296917
S28,2,1.022231583
S29,2,1.212690533
S30,2,1.026354119
S31,2,1.083134157
S32,2,1.148465994
S33,2,1.117207503
S34,2,1.165512415
S35,2,0.988572068
S36,2,1.144877361
S37,2,0.946399466
S38,2,1.126059866
S39,2,1.102884744
S40,2,1.138468846
S41,2,1.070406451
S42,2,1.053013661
S43,2,1.064588198
S44,2,1.154260756
S45,2,1.150151348
S46,2,1.151839028
S47,2,1.028359178
S48,2,1.308341883
S49,2,0.872903871
S50,2,0.991812048
S51,2,1.046365886
S52,2,1.179910949
S53,2,1.079494019
S54,2,1.098660693
S55,2,1.246176583
S1,3,1.105308019
S2,3,1.008163215
S3,3,1.109716861
S4,3,1.021092263
S5,3,1.062383582
S6,3,1.259907102
S7,3,1.079194059
S8,3,1.112278852
S9,3,1.138431695
S10,3,1.126640406
S11,3,0.856415119
S12,3,1.220935502
S13,3,1.097482892
S14,3,1.143725701
S15,3,1.233000346
S16,3,1.122848998
S17,3,0.861590679
S18,3,1.024252939
S19,3,0.961310946
S20,3,1.02233346
S21,3,1.197723275
S22,3,1.112861571
S23,3,1.012540132
S24,3,1.022304845
S25,3,1.22259464
S26,3,1.009995541
S27,3,1.092619202
S28,3,0.9640625
S29,3,1.201184071
S30,3,0.975304976
S31,3,1.139238543
S32,3,1.223112793
S33,3,1.12506818
S34,3,1.207797851
S35,3,1.010466763
S36,3,1.121656519
S37,3,1.134453333
S38,3,1.250621678
S39,3,1.094669467
S40,3,1.102882886
S41,3,1.031679477
S42,3,1.116082207
S43,3,1.138412812
S44,3,1.197990949
S45,3,1.089010675
S46,3,1.016730263
S47,3,0.982645483
S48,3,1.18856995
S49,3,1.009690986
S50,3,1.002967053
S51,3,1.03215326
S52,3,1.17160979
S53,3,1.049037881
S54,3,1.175327009
S55,3,1.136023926
S1,4,1.088823517
S2,4,1.05906382
S3,4,1.128971498
S4,4,1.079261395
S5,4,1.053639935
S6,4,1.214433529
