subject_number,time,m4_m2
S1,1,0.803472437
S2,1,1.033746477
S3,1,1.201812094
S4,1,0.492506961
S5,1,1.254560778
S6,1,0.871256903
S7,1,0.813173517
S8,1,0.748819113
S9,1,0.96323406
S10,1,0.842145458
S11,1,0.626246521
S12,1,0.926665575
S13,1,0.600114633
S14,1,1.115382874
S15,1,1.049630634
S16,1,0.767352354
S17,1,0.835514019
S18,1,1.097387081
S19,1,0.778478871
S20,1,0.734223016
S21,1,0.8871776
S22,1,1.051680841
S23,1,0.934343434
S24,1,0.702357771
S25,1,1.073133918
S26,1,0.778481908
S27,1,1.083838992
S28,1,0.743638238
S29,1,0.935334223
S30,1,0.814636846
S31,1,0.64080793
S32,1,0.680491778
S33,1,0.907071216
S34,1,0.973491818
S35,1,0.990473615
S36,1,0.915964792
S37,1,1.00931135
S38,1,0.727553827
S39,1,0.867858716
S40,1,0.924731711
S41,1,1.09615216
S42,1,0.756123853
S43,1,0.795869887
S44,1,0.832381414
S45,1,0.5626376
S46,1,0.864373569
S47,1,0.954227849
S48,1,0.910499467
S49,1,1.054816148
S50,1,0.908730638
S51,1,0.517125174
S52,1,0.738046965
S53,1,0.950657475
S54,1,0.479365446
S55,1,0.680853333
S1,2,0.72382574
S2,2,0.981870476
S3,2,0.980385471
S4,2,0.617329353
S5,2,1.111451957
S6,2,1.033816139
S7,2,0.803173044
S8,2,0.785403123
S9,2,0.934377766
S10,2,1.109132052
S11,2,0.585728798
S12,2,0.797853347
S13,2,0.72450623
S14,2,0.991925734
S15,2,1.075545007
S16,2,0.711179043
S17,2,0.754936288
S18,2,1.051430142
S19,2,0.850063259
S20,2,0.727383973
S21,2,0.906680231
S22,2,0.954951228
S23,2,1.011179284
S24,2,0.636350762
S25,2,1.067258429
S26,2,0.962982082
S27,2,0.833136946
S28,2,0.734045184
S29,2,0.873279821
S30,2,0.925695022
S31,2,0.755931807
S32,2,0.959095888
S33,2,0.912960203
S34,2,1.085667486
S35,2,0.884092139
S36,2,0.722761365
S37,2,0.871842331
S38,2,0.753310873
S39,2,1.104299219
S40,2,0.904610265
S41,2,1.017884512
S42,2,0.670660255
S43,2,0.771227662
S44,2,0.996074183
S45,2,0.863449091
S46,2,0.923224639
S47,2,1.020108275
S48,2,0.850772104
S49,2,0.937971494
S50,2,0.980180936
S51,2,0.736803223
S52,2,0.800481565
S53,2,0.896759611
S54,2,0.607945233
S55,2,0.802232381
S1,3,0.78154142
S2,3,1.08565511
S3,3,0.957398047
S4,3,0.737728444
S5,3,1.236682364
S6,3,0.790257639
S7,3,0.871816907
S8,3,0.784538364
S9,3,0.960137592
S10,3,0.981793174
S11,3,0.672267105
S12,3,0.843941744
S13,3,0.749995226
S14,3,0.943600447
