subject_number,time,m3_m5
S1,1,0.902060077
S2,1,0.926747142
S3,1,1.211268633
S4,1,0.92888891
S5,1,1.356190555
S6,1,1.035217366
S7,1,0.938644115
S8,1,0.883461485
S9,1,1.144427106
S10,1,0.959357373
S11,1,0.940914322
S12,1,1.049374121
S13,1,0.822528491
S14,1,0.863669828
S15,1,1.171905253
S16,1,1.154800175
S17,1,0.849670211
S18,1,0.817949532
S19,1,0.826137073
S20,1,1.131844606
S21,1,0.98951055
S22,1,0.794701987
S23,1,1.023239013
S24,1,1.13875451
S25,1,0.76916221
S26,1,0.719997782
S27,1,0.630759948
S28,1,1.023018946
S29,1,0.97001679
S30,1,0.673158534
S31,1,0.935663712
S32,1,0.850104091
S33,1,1.263278676
S34,1,1.123189982
S35,1,1.211539044
S36,1,0.958792955
S37,1,0.986146967
S38,1,1.120991838
S39,1,1.039316293
S40,1,0.964808845
S41,1,0.807246613
S42,1,1.030300455
S43,1,1.167156667
S44,1,1.299032308
S45,1,0.942609189
S46,1,1.365861683
S47,1,1.131710021
S48,1,1.048839135
S49,1,0.832110682
S50,1,1.165302564
S51,1,1.070286925
S52,1,0.858069429
S53,1,0.549935125
S54,1,0.771313833
S55,1,0.898315362
S1,2,0.952354103
S2,2,0.965597323
S3,2,1.225411042
S4,2,0.920189163
S5,2,1.233304797
S6,2,0.87395799
S7,2,0.913694308
S8,2,0.964285551
S9,2,0.973184248
S10,2,1.087717332
S11,2,0.937015045
S12,2,1.067456131
S13,2,0.905811075
S14,2,0.962497195
S15,2,1.211889378
S16,2,1.027284239
S17,2,0.855255855
S18,2,1.007487447
S19,2,0.897755025
S20,2,1.077137006
S21,2,0.882660015
S22,2,0.853347169
S23,2,1.057466393
S24,2,1.00361991
S25,2,0.70954048
S26,2,0.90076121
S27,2,0.793879445
S28,2,0.964921996
S29,2,1.058685403
S30,2,1.016124202
S31,2,0.855786067
S32,2,0.902884643
S33,2,1.194985457
S34,2,0.90827296
S35,2,1.054419953
S36,2,0.940148253
S37,2,0.878943587
S38,2,1.064856554
S39,2,1.147017379
S40,2,0.9754045
S41,2,0.872785426
S42,2,0.992657195
S43,2,1.141251886
S44,2,1.180416168
S45,2,1.064753978
S46,2,1.222333534
S47,2,1.340045738
S48,2,0.975222101
S49,2,0.813699814
S50,2,1.07721446
S51,2,1.096246912
