subject_number,time,m5_m4
S1,1,1.359819023
S2,1,1.519707615
S3,1,1.252056911
S4,1,1.206344898
S5,1,1.665481902
S6,1,0.838329791
S7,1,1.173448765
S8,1,1.015626069
S9,1,1.557457195
S10,1,0.898615123
S11,1,0.919702865
S12,1,0.609328433
S13,1,1
S14,1,0.901083011
S15,1,1.25
S16,1,1.71464873
S17,1,1.350736635
S18,1,1.091796985
S19,1,1.063639768
S20,1,1.089549229
S21,1,1.177212672
S22,1,0.806549491
S23,1,0.925705716
S24,1,1.072872914
S25,1,1.529567613
S26,1,1.151065887
S27,1,1.397641969
S28,1,1.419902462
S29,1,0.962032696
S30,1,1.2421802
S31,1,1.201145642
S32,1,1.610236245
S33,1,1.254773572
S34,1,1.425462856
S35,1,1.529750597
S36,1,1.251276861
S37,1,1.054431108
S38,1,1.27098483
S39,1,1.082576532
S40,1,1.010281476
S41,1,1.20000448
S42,1,1.068130718
S43,1,0.984375984
S44,1,0.939276001
S45,1,0.971558658
S46,1,1.012071218
S47,1,1.257597081
S48,1,1.035086649
S49,1,1.223684661
S50,1,1.065168225
S51,1,0.769899613
S52,1,1.127604202
S53,1,0.827178511
S54,1,1.100532312
S55,1,1.284881104
S1,2,1.22031802
S2,2,1.534474077
S3,2,1.20987676
S4,2,1.165218847
S5,2,1.442495262
S6,2,1.015417093
S7,2,1.253059283
S8,2,0.977393315
S9,2,1.349578626
S10,2,0.970017113
S11,2,1.252423727
S12,2,0.956711735
S13,2,1.028896125
S14,2,1.031623964
S15,2,1.03244729
S16,2,1.515336654
S17,2,1.723890437
S18,2,1.099977747
S19,2,1.215677632
S20,2,1.108008687
S21,2,1.322368966
S22,2,0.921919593
S23,2,1.247504686
S24,2,1.120754878
S25,2,1.283854989
S26,2,1.432236774
S27,2,1.392441447
S28,2,1.422654817
S29,2,1.03667974
S30,2,1.061925876
S31,2,1.165208116
S32,2,1.267960613
S33,2,1.232360932
S34,2,1.43837705
S35,2,1.178862043
S36,2,1.193875872
S37,2,1.158379427
S38,2,1.443286366
S39,2,0.945051201
S40,2,1.213805482
S41,2,1.09123862
S42,2,1.162922964
S43,2,1.194834449
S44,2,1.057252371
S45,2,1.008902158
S46,2,1.002244088
S47,2,1.219605178
S48,2,0.790095204
S49,2,1.327719907
S50,2,1.238545614
S51,2,1.109177558
S52,2,1.111447924
S53,2,1.276635349
S54,2,1.153716555
S55,2,1.445249775
S1,3,1.168289391
S2,3,1.651805299
S3,3,0.966890341
S4,3,1.214618433
S5,3,1.351132162
S6,3,1.039051639
S7,3,1.281626452
S8,3,1.063778185
S9,3,1.206874491
S10,3,1.036101437
S11,3,1.322793879
S12,3,0.97299312
S13,3,1.000959044
S14,3,0.990768664
S15,3,1.045891157
S16,3,1.323440167
S17,3,1.670546183
S18,3,1.192602462
S19,3,1.198832795
S20,3,1.193264663
S21,3,1.152242497
S22,3,1.027872618
S23,3,0.994774939
S24,3,1.192335327
S25,3,1.337866184
S26,3,1.441925153
S27,3,1.323921692
S28,3,1.239779374
S29,3,1.046212646
S30,3,1.211615613
S31,3,1.157222982
S32,3,1.279417733
S33,3,1.185131972
S34,3,1.304624225
S35,3,1.236781989
S36,3,1.446973507
S37,3,0.964500199
S38,3,1.219582203
S39,3,0.965616969
S40,3,1.294964206
S41,3,1.23853329
S42,3,1.179193832
S43,3,1.113563917
S44,3,1.135980059
S45,3,1.02764101
S46,3,0.952907374
S47,3,1.087659198
S48,3,1.032844065
S49,3,1.15917139
S50,3,1.288516551
S51,3,1.064573816
S52,3,1.085760846
S53,3,1.328144684
S54,3,0.936227944
S55,3,1.314028425
S1,4,1.15730146
S2,4,1.480385934
S3,4,0.956270146
S4,4,1.105816799
S5,4,1.354960874
S6,4,1.01449333
S7,4,1.189042288
S8,4,1.040647629
S9,4,1.358162554
S10,4,1.001560169
S11,4,1.408356947
S12,4,0.894892956
S13,4,1.026939002
S14,4,0.985397295
S15,4,1.04984822
S16,4,1.211844904
S17,4,1.481214053
S18,4,1.171841676
S19,4,1.18105496
S20,4,1.172128283
S21,4,1.146879451
S22,4,1.021075378
S23,4,1.049590827
S24,4,1.210591171
S25,4,1.379257005
S26,4,1.331690795
S27,4,1.223852242
S28,4,1.222136206
S29,4,1.060439585
S30,4,1.188175016
S31,4,1.225730032
S32,4,1.178211426
S33,4,1.234155962
S34,4,1.290546264
S35,4,1.253094223
S36,4,1.581732182
S37,4,0.992212532
S38,4,1.364246936
S39,4,0.928322895
S40,4,1.315477033
S41,4,1.223191351
S42,4,1.046916139
S43,4,1.195667386
S44,4,1.125447725
S45,4,1.073810074
S46,4,0.983463921
S47,4,1.214795116
S48,4,1.045438793
S49,4,1.087427946
S50,4,1.27577779
S51,4,1.000207885
S52,4,1.080452889
S53,4,1.404748045
S54,4,0.988505356
S55,4,1.372212892
S1,5,1.300013243
S2,5,1.413043698
S3,5,1.053107946
S4,5,1.201681909
S5,5,1.308627914
S6,5,0.956287861
S7,5,1.157087729
S8,5,1.012996871
S9,5,1.263263739
S10,5,1.008884454
S11,5,1.527939439
S12,5,1.009094057
S13,5,1.053154931
S14,5,0.987895979
S15,5,1.067855223
S16,5,1.280733374
S17,5,1.531521517
S18,5,1.202783521
S19,5,1.155001435
S20,5,1.081312922
S21,5,1.099655159
S22,5,0.973510177
S23,5,1.049522585
S24,5,1.208600089
S25,5,1.346916872
S26,5,1.418529377
S27,5,1.155289407
S28,5,1.271535936
S29,5,1.116024201
S30,5,1.210419575
S31,5,1.160689671
S32,5,1.251626517
S33,5,1.157846186
S34,5,1.2909564
S35,5,1.202551018
S36,5,1.589923185
S37,5,1.071095908
S38,5,1.437773177
S39,5,0.80038896
S40,5,1.241221264
S41,5,1.071791251
S42,5,1.111256258
S43,5,1.162173997
S44,5,1.15228129
S45,5,1.090295271
S46,5,0.902928229
S47,5,1.173803737
S48,5,1.064548066
