subject_number,time,m4_m5
S1,1,0.931871274
S2,1,0.856681185
S3,1,0.738953561
S4,1,0.963123644
S5,1,1.175702665
S6,1,0.672408069
S7,1,1.255741675
S8,1,1.112847163
S9,1,0.716826507
S10,1,0.945264568
S11,1,1.210744325
S12,1,1.292103124
S13,1,1.217867006
S14,1,1.38613767
S15,1,0.975568509
S16,1,0.787545945
S17,1,0.900494949
S18,1,1.30125162
S19,1,1.469063645
S20,1,0.762604324
S21,1,0.904019793
S22,1,1.385417602
S23,1,1.256175238
S24,1,1.303619126
S25,1,1.107201857
S26,1,1.184683807
S27,1,1.08824399
S28,1,0.957464147
S29,1,1.276559027
S30,1,1.178266151
S31,1,1.062793367
S32,1,1.368336297
S33,1,0.982371974
S34,1,1.003729683
S35,1,1.130952946
S36,1,1.529344441
S37,1,0.802509409
S38,1,0.921572437
S39,1,1.527432312
S40,1,0.838353544
S41,1,1.017858597
S42,1,0.784928571
S43,1,1.066964919
S44,1,1.267244314
S45,1,1.379010034
S46,1,0.807874826
S47,1,1.123718447
S48,1,0.924078449
S49,1,1.316490229
S50,1,0.931191882
S51,1,1.248284004
S52,1,0.956725498
S53,1,2.163397708
S54,1,1.081403793
S55,1,1.299805091
S1,2,1.1247838
S2,2,1.02084885
S3,2,1.012500432
S4,2,1.199634951
S5,2,1.291587691
S6,2,0.863977055
S7,2,1.265241583
S8,2,1.167800894
S9,2,0.959171544
S10,2,1.096811649
S11,2,1.44135274
S12,2,1.402649716
S13,2,1.148850157
S14,2,1.101619699
S15,2,0.917295003
S16,2,0.92506042
S17,2,1.20625922
S18,2,1.054423846
S19,2,1.400047307
S20,2,1.024787002
S21,2,0.872678916
S22,2,1.197225446
S23,2,1.008273353
S24,2,1.168820232
S25,2,1.087270304
S26,2,1.10482922
S27,2,1.285722902
S28,2,0.965615006
S29,2,1.358430334
S30,2,1.084745763
S31,2,1.24506383
S32,2,1.136677375
S33,2,1.168174328
S34,2,1.201587952
S35,2,0.944994678
S36,2,1.422185233
S37,2,1.050742187
S38,2,0.794266354
S39,2,1.01853089
S40,2,0.928010646
S41,2,1.130983866
S42,2,0.907756355
S43,2,1.013209366
S44,2,1.185590961
S45,2,1.276816922
S46,2,0.887069218
S47,2,0.964469961
S48,2,0.999806508
S49,2,1.279297679
S50,2,0.925914501
S51,2,1.163504965
S52,2,1.10553
S53,2,2.058729433
S54,2,1.285040461
S55,2,1.044770626
S1,3,1.061972016
S2,3,1.199110383
S3,3,0.979898667
S4,3,1.223077801
S5,3,1.145592794
S6,3,1.02959813
S7,3,1.252787604
S8,3,1.11429194
S9,3,1.19130585
S10,3,1.079578006
S11,3,1.433900846
S12,3,1.217475071
S13,3,1.151880787
S14,3,1.133316623
S15,3,0.977178395
S16,3,1.206990947
S17,3,0.980157841
S18,3,1.046202519
S19,3,1.145729325
S20,3,1.088556893
S21,3,0.972515951
S22,3,1.149277615
S23,3,1.082561514
S24,3,1.207837836
S25,3,1.022116967
S26,3,1.014607304
S27,3,1.211077058
S28,3,1.145264994
S29,3,1.293212096
S30,3,1.068091168
S31,3,1.180623302
S32,3,1.052331979
S33,3,0.989230896
S34,3,1.268470052
S35,3,1.2295344
S36,3,1.519589149
S37,3,1.037901375
S38,3,0.89781197
S39,3,1.074883652
S40,3,1.079763282
S41,3,1.043902415
S42,3,1.009420066
S43,3,1.057021787
S44,3,1.170534632
S45,3,1.099771071
S46,3,0.835900714
S47,3,0.928594452
S48,3,0.980352753
S49,3,1.243670751
S50,3,0.927515092
S51,3,1.086436044
S52,3,1.08410006
S53,3,1.822657785
S54,3,1.484442287
S55,3,1.114671548
S1,4,1.138304089
S2,4,1.161064198
S3,4,1.092196151
S4,4,1.122463354
S5,4,1.126879836
S6,4,0.959987295
S7,4,1.193297978
S8,4,1.126564109
S9,4,1.036767153
S10,4,1.067941662
S11,4,1.408465623
S12,4,1.240689667
S13,4,1.055322234
S14,4,1.181932264
S15,4,0.988409711
S16,4,1.066021169
S17,4,1.00114461
S18,4,1.069368105
S19,4,1.020088393
S20,4,1.091575275
S21,4,1.032791004
S22,4,1.152103919
S23,4,1.114502389
S24,4,1.012495369
S25,4,1.010875192
S26,4,1.111454385
S27,4,1.309787732
S28,4,1.18435503
S29,4,1.301060244
S30,4,0.987607849
S31,4,1.141504108
S32,4,1.262804687
S33,4,1.006681778
S34,4,1.438705874
S35,4,1.153276876
S36,4,1.649579873
S37,4,1.049473146
S38,4,1.014810776
S39,4,1.15948076
S40,4,1.028492333
S41,4,1.099769271
S42,4,1.146685165
S43,4,1.032224879
S44,4,1.202570615
S45,4,1.161648009
S46,4,0.902949387
S47,4,0.929899018
S48,4,1.020565778
S49,4,1.397059128
S50,4,0.958938187
S51,4,1.193798112
S52,4,1.157395529
S53,4,1.949436351
S54,4,1.468744331
S55,4,1.078816402
S1,5,1.074753981
S2,5,1.144655888
S3,5,1.046100715
S4,5,1.05873526
S5,5,1.1274444
S6,5,1.033649507
S7,5,1.185215737
S8,5,1.014863705
S9,5,1.089811518
S10,5,1.10705364
S11,5,1.240150874
S12,5,1.060991404
S13,5,1.010859436
S14,5,1.126071827
S15,5,1.024844604
S16,5,0.998757503
S17,5,0.931018836
S18,5,1.035000616
S19,5,1.151372436
S20,5,1.032247198
S21,5,0.975684457
S22,5,1.175420624
S23,5,1.064160823
S24,5,1.045811566
S25,5,1.083427216
S26,5,1.141380149
S27,5,1.323767423
S28,5,1.180922481
S29,5,1.228897542
S30,5,1.015192711
S31,5,1.16131262
S32,5,1.30194034
S33,5,1.056208492
S34,5,1.324405569
S35,5,1.091907624
S36,5,1.449265192
S37,5,1.033327489
S38,5,1.026847503
S39,5,1.152828118
S40,5,0.997301016
S41,5,1.092597916
S42,5,1.157934468
S43,5,1.039091007
S44,5,1.126558142
S45,5,1.16817512
S46,5,0.928005192
S47,5,0.929211182
S48,5,1.067206529
S49,5,1.299535529
