subject_number,time,m1_m3
S1,1,0.794613781
S2,1,1.178725607
S3,1,1.250254262
S4,1,1.318892129
S5,1,1.063070344
S6,1,0.956000883
S7,1,0.965810002
S8,1,1.325099055
S9,1,0.965489698
S10,1,1.29857012
S11,1,1.253497257
S12,1,1.053696848
S13,1,0.81586578
S14,1,1.152700958
S15,1,1.0526304
S16,1,1.017098497
S17,1,1.088038152
S18,1,1.11004524
S19,1,1.129624997
S20,1,1.104166876
S21,1,1.198554882
S22,1,0.983604228
S23,1,1.243267711
S24,1,1.330249369
S25,1,1.234822455
S26,1,1.133671283
S27,1,1.151760206
S28,1,1.230769738
S29,1,1.175176512
S30,1,1.34359911
S31,1,1.056829941
S32,1,1.148390812
S33,1,0.949636572
S34,1,0.894648174
S35,1,1.186593401
S36,1,1.08795199
S37,1,1.156710124
S38,1,1.297777826
S39,1,0.998090499
S40,1,1.256931301
S41,1,1.186521728
S42,1,1.352444297
S43,1,1.080114078
S44,1,1.028173482
S45,1,1.063550894
S46,1,1.113250919
S47,1,1.135030356
S48,1,1.265000457
S49,1,1.11872557
S50,1,1.300427544
S51,1,1.183009869
S52,1,0.922458787
S53,1,0.919294984
S54,1,1.1715249
S55,1,1.010492271
S1,2,1.048352532
S2,2,1.154742787
S3,2,1.311256151
S4,2,1.373421501
S5,2,1.088289444
S6,2,0.952435646
S7,2,1.127492695
S8,2,1.096076841
S9,2,0.994104786
S10,2,1.235369412
S11,2,1.310544921
S12,2,1.086466958
S13,2,1.147673122
S14,2,1.115467761
S15,2,1.049225131
S16,2,1.117622846
S17,2,1.194158946
S18,2,1.074862031
S19,2,1.20003939
S20,2,1.140294968
S21,2,1.305260459
S22,2,1.092889186
S23,2,1.230403425
S24,2,1.239144243
S25,2,1.297117204
S26,2,1.134247155
S27,2,1.342431068
S28,2,1.098567051
S29,2,1.231419205
S30,2,1.268623067
S31,2,0.921132231
S32,2,1.263646823
S33,2,1.299579091
S34,2,1.12274621
S35,2,1.118652002
S36,2,1.1461321
S37,2,1.249787273
S38,2,1.184433054
S39,2,1.048808553
S40,2,1.296375951
S41,2,1.10986402
S42,2,1.226043078
S43,2,1.157507723
S44,2,1.166556943
S45,2,1.072996818
S46,2,1.099440398
S47,2,0.929660626
S48,2,1.22448268
S49,2,1.137976266
S50,2,1.208241834
S51,2,1.208985778
S52,2,1.074633396
S53,2,0.993678737
S54,2,1.120524392
S55,2,1.07887942
S1,3,0.932949596
S2,3,1.170626282
S3,3,1.128769186
S4,3,1.400231898
S5,3,1.261909637
S6,3,1.046846131
S7,3,1.017079445
S8,3,1.139176383
S9,3,1.069674715
S10,3,1.109583418
S11,3,1.340219596
S12,3,1.061385335
S13,3,1.220803928
S14,3,1.127204896
S15,3,0.978855221
S16,3,1.128813582
S17,3,1.245379509
S18,3,1.106561081
S19,3,1.138816055
S20,3,1.135529986
S21,3,1.279586648
S22,3,1.021495571
S23,3,1.150711302
S24,3,1.234207375
S25,3,1.22693581
S26,3,1.078167543
S27,3,1.270574175
S28,3,1.228316821
S29,3,1.13253445
S30,3,1.250000802
S31,3,1.077940248
