subject_number,time,m2_m5
S1,1,0.762377301
S2,1,0.70035807
S3,1,0.69784005
S4,1,1.252524084
S5,1,0.652465939
S6,1,0.93713107
S7,1,0.925669618
S8,1,1.178719859
S9,1,0.849658745
S10,1,1.347809279
S11,1,1.094688975
S12,1,0.843301118
S13,1,0.756980019
S14,1,0.864533168
S15,1,0.969387432
S16,1,0.628544192
S17,1,1.471938411
S18,1,0.808081818
S19,1,0.676318818
S20,1,1.128577498
S21,1,0.984959458
S22,1,0.957694925
S23,1,0.963387833
S24,1,0.517044368
S25,1,0.997082167
S26,1,1.088423324
S27,1,1.352849859
S28,1,0.758316034
S29,1,0.898515655
S30,1,1.02736824
S31,1,0.897715659
S32,1,0.863692605
S33,1,0.627273874
S34,1,0.95582277
S35,1,0.664471863
S36,1,0.513024013
S37,1,1.011730954
S38,1,0.683927939
S39,1,0.885415693
S40,1,1.256171612
S41,1,1.146323092
S42,1,1.179207866
S43,1,0.853062349
S44,1,0.570469928
S45,1,0.782356787
S46,1,0.600820842
S47,1,0.715272793
S48,1,1.175637381
S49,1,0.85942654
S50,1,0.766229181
S51,1,1.179110946
S52,1,0.776784258
S53,1,0.531091269
S54,1,0.998342109
S55,1,0.99134557
S1,2,0.930345255
S2,2,0.819564647
S3,2,0.781688419
S4,2,1.033722938
S5,2,0.818334655
S6,2,1.036992337
S7,2,1.077148345
S8,2,0.95083976
S9,2,0.882045134
S10,2,1.063254672
S11,2,0.922834987
S12,2,0.839436571
S13,2,1.00212634
S14,2,0.936865908
S15,2,1.10242401
S16,2,0.599186831
S17,2,1.163145356
S18,2,0.763315597
S19,2,0.896867061
S20,2,1.115620109
S21,2,1.23056473
S22,2,1.008988314
S23,2,0.865212506
S24,2,0.896561886
S25,2,1.167400383
S26,2,0.835178481
S27,2,1.173389406
S28,2,0.921626852
S29,2,0.64565801
S30,2,0.848048786
S31,2,1.002571931
S32,2,0.855033908
S33,2,0.621610423
S34,2,0.904739409
S35,2,0.840216606
S36,2,0.697220957
S37,2,1.001433663
S38,2,0.570371719
S39,2,0.884466556
S40,2,1.033697732
S41,2,0.928480127
S42,2,1.079588886
S43,2,1.077649579
S44,2,0.574470574
S45,2,0.872895393
S46,2,0.732652451
S47,2,0.939075096
S48,2,1.114881239
S49,2,0.927223572
S50,2,0.922372159
S51,2,1.034036157
S52,2,0.900437928
S53,2,0.662701951
S54,2,0.888579959
S55,2,0.85972088
S1,3,0.810163082
S2,3,0.75037227
S3,3,0.844809393
S4,3,0.974562964
S5,3,0.889786596
S6,3,1.028275347
S7,3,0.919395238
S8,3,0.927738838
S9,3,0.869501607
S10,3,0.999125904
S11,3,0.992574776
S12,3,0.797286207
S13,3,1.018049763
S14,3,0.813672146
S15,3,1.069767656
S16,3,0.608058308
S17,3,1.036643732
S18,3,0.849206673
S19,3,0.93469338
S20,3,1.101031125
S21,3,1.08967858
S22,3,0.903927568
S23,3,0.823492112
S24,3,0.809370146
