subject_number,time,m3_m1
S1,1,1.128836962
S2,1,1.091629939
S3,1,0.828887233
S4,1,1.078014941
S5,1,0.932383603
S6,1,0.955587213
S7,1,0.919871323
S8,1,1.059029201
S9,1,1.117267678
S10,1,1.101481507
S11,1,0.822037551
S12,1,1.060816561
S13,1,1.360547964
S14,1,1.084819898
S15,1,0.950329448
S16,1,0.900704841
S17,1,1.182063059
S18,1,1.024506778
S19,1,1.324669216
S20,1,0.85517248
S21,1,1.070463506
S22,1,1.245792314
S23,1,1.095140737
S24,1,0.861539297
S25,1,1.165635081
S26,1,1.155553578
S27,1,1.081298598
S28,1,0.911764966
S29,1,1.015627173
S30,1,0.943495425
S31,1,0.799210948
S32,1,1.04980252
S33,1,1.123595814
S34,1,1.215684387
S35,1,0.910111337
S36,1,1.279323728
S37,1,1.02272612
S38,1,1.004226247
S39,1,1.147859032
S40,1,1.088397641
S41,1,1.115491588
S42,1,0.976079166
S43,1,1.021813772
S44,1,1.02649
S45,1,1.144598417
S46,1,0.830800635
S47,1,1.013706167
S48,1,0.973224147
S49,1,0.702203107
S50,1,1.06342896
S51,1,0.867797908
S52,1,1.051093333
S53,1,1.126682647
S54,1,0.664001439
S55,1,0.946148021
S1,2,1.148404218
S2,2,0.927616354
S3,2,0.752193916
S4,2,1.064828077
S5,2,0.822462943
S6,2,1.039301409
S7,2,1.02930838
S8,2,1.11999857
S9,2,1.084571498
S10,2,1.007078258
S11,2,0.848657264
S12,2,1.134912475
S13,2,1.275854561
S14,2,0.985660488
S15,2,0.829651295
S16,2,0.875290651
S17,2,1.031563329
S18,2,1.000465572
S19,2,1.254969927
S20,2,0.905441058
S21,2,1.136987852
S22,2,1.177420638
S23,2,1.038208558
S24,2,1.038649982
S25,2,1.296099364
S26,2,1.137528108
S27,2,0.97490819
S28,2,1.107649383
S29,2,1.012784027
S30,2,0.93609627
S31,2,1.10810691
S32,2,1.032955157
S33,2,1.111908604
S34,2,1.299244858
S35,2,1.041885115
S36,2,1.176264272
S37,2,1.026242298
S38,2,1.006625132
S39,2,1.090008477
S40,2,1.134266813
S41,2,1.174657175
S42,2,1.074524272
S43,2,1.048681651
S44,2,0.830537684
S45,2,1.040191357
S46,2,0.862166046
S47,2,1.010049586
S48,2,1.013362555
S49,2,1.01595601
S50,2,1.159365595
S51,2,0.887359685
S52,2,1.12903
S53,2,1.154306699
S54,2,0.870527281
S55,2,0.907261596
S1,3,1.020615245
S2,3,0.952551132
S3,3,0.79289988
S4,3,1.13750017
S5,3,0.810237125
S6,3,0.96834393
S7,3,0.991824924
S8,3,1.034605656
S9,3,1.027111583
S10,3,1.055881198
S11,3,0.968826308
S12,3,1.047061519
S13,3,1.277115492
S14,3,0.885735754
S15,3,0.849211297
S16,3,0.856282453
S17,3,1.023898324
S18,3,0.922093737
S19,3,1.222978029
S20,3,1.017131024
S21,3,1.104875577
S22,3,1.186107112
S23,3,0.991883101
S24,3,1.044565591
S25,3,1.187609087
S26,3,1.121588471
S27,3,1.051118012
S28,3,1.047165831
S29,3,0.988645407
S30,3,0.990471664
S31,3,1.024109833
S32,3,1.061381117
S33,3,1.008034035
S34,3,1.093085792
S35,3,0.972414561
S36,3,1.147647801
S37,3,1.036054267
S38,3,1.075049575
S39,3,1.021648981
S40,3,1.189482826
S41,3,1.151004459
S42,3,1.044576287
S43,3,0.994124979
S44,3,0.931937356
S45,3,1.025468679
S46,3,0.901791095
S47,3,0.945869867
S48,3,0.987154048
S49,3,1.013266448
S50,3,1.095887362
S51,3,0.948125293
S52,3,1.040073859
S53,3,1.163433952
S54,3,0.911468256
S55,3,0.83713081
S1,4,1.000966668
S2,4,1.037089531
S3,4,0.818832042
S4,4,1.065446732
S5,4,0.917485758
S6,4,0.951912094
S7,4,0.996910762
S8,4,1.099740943
S9,4,1.005633117
S10,4,1.050816553
S11,4,0.972548989
S12,4,1.051124153
S13,4,1.158111299
S14,4,0.918178042
S15,4,0.819773624
S16,4,0.887213097
S17,4,1.029504077
S18,4,1.004578061
S19,4,1.203634771
S20,4,0.967207261
S21,4,1.036733495
S22,4,1.153633547
S23,4,0.968920768
S24,4,0.966760616
S25,4,1.120499864
S26,4,1.065520168
S27,4,0.997193007
S28,4,1.091069902
S29,4,0.991868123
S30,4,1.008460395
S31,4,0.984381094
S32,4,1.036900704
S33,4,1.053003556
S34,4,1.114551066
S35,4,0.952221531
S36,4,1.134654481
S37,4,1.015010522
S38,4,1.07133804
S39,4,1.098396212
S40,4,1.178836014
S41,4,1.126561649
S42,4,1.041760566
S43,4,0.98444933
S44,4,0.911834794
S45,4,0.986338911
S46,4,0.92131117
S47,4,0.991963058
S48,4,0.974164663
S49,4,0.960207174
S50,4,1.096531463
S51,4,0.936388779
S52,4,0.954989473
S53,4,1.11607936
S54,4,0.934153762
S55,4,0.926128653
S1,5,0.970824544
S2,5,1.019360039
S3,5,0.917969898
S4,5,1.006798331
S5,5,0.900803284
S6,5,1.009158455
S7,5,1.016686296
S8,5,1.076156517
S9,5,1.013627182
S10,5,1.020837316
S11,5,0.998854235
S12,5,1.02113934
S13,5,1.237974216
S14,5,0.927228026
S15,5,0.850704317
S16,5,0.988581194
S17,5,1.004444961
S18,5,0.957351734
S19,5,1.129084044
