subject_number,time,m4_m1
S1,1,0.937386147
S2,1,0.726552397
S3,1,1.183037785
S4,1,0.749240831
S5,1,0.734812512
S6,1,1.323799943
S7,1,1.074356192
S8,1,0.892929602
S9,1,0.743552264
S10,1,0.661683937
S11,1,1.418845624
S12,1,0.988164414
S13,1,0.860523518
S14,1,0.714286397
S15,1,0.922193361
S16,1,0.859966904
S17,1,0.598849012
S18,1,0.791022154
S19,1,0.523461324
S20,1,1.052654813
S21,1,0.917081741
S22,1,0.717210218
S23,1,0.822222222
S24,1,0.252129483
S25,1,0.894894603
S26,1,0.946098731
S27,1,0.916415187
S28,1,0.930331168
S29,1,0.662321494
S30,1,1.065450311
S31,1,1.281610254
S32,1,0.84895355
S33,1,0.830604815
S34,1,0.814792106
S35,1,0.634351306
S36,1,0.753456351
S37,1,0.922734543
S38,1,0.691177162
S39,1,0.933491522
S40,1,1.008799362
S41,1,0.880735238
S42,1,0.809715789
S43,1,0.85357066
S44,1,0.68222278
S45,1,0.857351837
S46,1,1.499406637
S47,1,0.630885351
S48,1,0.709052775
S49,1,0.666573629
S50,1,1.040455311
S51,1,0.674748322
S52,1,0.87352997
S53,1,0.603949076
S54,1,1.249021749
S55,1,0.963898299
S1,2,0.820980225
S2,2,0.861380493
S3,2,1.036277123
S4,2,0.844175731
S5,2,0.876809571
S6,2,1.076879898
S7,2,1.045545257
S8,2,0.904251374
S9,2,0.993587315
S10,2,0.757168753
S11,2,1.081019813
S12,2,0.932653061
S13,2,0.889759944
S14,2,0.909557933
S15,2,0.848001771
S16,2,0.848099225
S17,2,0.882986776
S18,2,0.905091871
S19,2,0.862599361
S20,2,0.987394191
S21,2,0.856453311
S22,2,0.882086964
S23,2,0.824247446
S24,2,0.52130042
S25,2,0.840675803
S26,2,0.781583573
S27,2,0.900350021
S28,2,0.979368984
S29,2,0.71117138
S30,2,0.90862806
S31,2,0.844464052
S32,2,0.793941149
S33,2,0.806298818
S34,2,0.763921658
S35,2,0.778810322
S36,2,0.649201873
S37,2,1.025723556
S38,2,0.667403549
S39,2,0.874239377
S40,2,0.917902803
S41,2,0.885332505
S42,2,0.722515163
S43,2,0.86667001
S44,2,0.961144929
S45,2,0.896062435
S46,2,1.165072071
S47,2,0.74631592
S48,2,0.814500401
S49,2,0.810523311
S50,2,0.759872427
S51,2,0.928366619
S52,2,0.636411191
S53,2,0.774002135
S54,2,1.04450817
S55,2,1.161031799
S1,3,0.955215732
S2,3,0.880331579
S3,3,0.990749316
S4,3,0.836838515
S5,3,0.797206239
S6,3,0.927311243
S7,3,0.95014715
S8,3,1.028169597
S9,3,0.744196431
S10,3,0.782299129
S11,3,0.929717102
S12,3,1.012333961
S13,3,0.928122613
S14,3,0.849885024
S15,3,0.922589448
