subject_number,time,m3_m4
S1,1,0.99636452
S2,1,0.928723963
S3,1,0.751305801
S4,1,1.141394469
S5,1,0.776985567
S6,1,1.119827017
S7,1,1.138886426
S8,1,1.144413763
S9,1,0.681115533
S10,1,1.017809902
S11,1,1.177849111
S12,1,1.246999701
S13,1,0.991041959
S14,1,1.019049349
S15,1,0.843207585
S16,1,0.755289412
S17,1,1.084061823
S18,1,1.129772
S19,1,0.886330041
S20,1,0.966523205
S21,1,0.958591998
S22,1,0.957900912
S23,1,0.995581279
S24,1,1.144609998
S25,1,0.97471112
S26,1,1.021276596
S27,1,1.120784729
S28,1,1.179542458
S29,1,1.105429735
S30,1,1.089876407
S31,1,1.249344334
S32,1,0.851383221
S33,1,0.926181848
S34,1,0.885711641
S35,1,0.820751753
S36,1,0.828048461
S37,1,1.007440544
S38,1,0.858607362
S39,1,0.509058172
S40,1,0.944060086
S41,1,1.013234117
S42,1,0.877455422
S43,1,0.92926934
S44,1,0.948385696
S45,1,0.968507386
S46,1,0.767792402
S47,1,1.012936156
S48,1,1.19855318
S49,1,1.323592766
S50,1,0.842478255
S51,1,1.226023211
S52,1,1.203162495
S53,1,0.969620418
S54,1,1.249884044
S55,1,0.895822086
S1,2,1.057354974
S2,2,0.939689873
S3,2,0.941634644
S4,2,1.093611159
S5,2,0.880810011
S6,2,1.047913661
S7,2,1.030083434
S8,2,1.055554942
S9,2,0.903126834
S10,2,0.919089494
S11,2,1.074013997
S12,2,1.041735175
S13,2,1.009276626
S14,2,1.018518908
S15,2,0.926537994
S16,2,0.833907951
S17,2,0.959552752
S18,2,1.002803806
S19,2,0.937365245
S20,2,1.025041531
S21,2,0.953060995
S22,2,0.892909232
S23,2,0.797680677
S24,2,1.138203989
S25,2,1.009812659
S26,2,0.873690725
S27,2,1.051255749
S28,2,1.028671496
S29,2,0.981354716
S30,2,1.03930916
S31,2,1.195553476
S32,2,0.857640093
S33,2,0.89973442
S34,2,0.901876816
S35,2,0.956174584
S36,2,0.874558625
S37,2,0.918906439
S38,2,0.786375016
S39,2,0.837890625
S40,2,0.935760329
S41,2,1.01637935
S42,2,0.97116643
S43,2,0.771569232
S44,2,0.94182241
S45,2,0.914007998
S46,2,0.811209296
S47,2,0.896524929
S48,2,1.227295912
S49,2,1.150286246
S50,2,0.945338996
S51,2,1.094182241
S52,2,1.180993176
S53,2,0.934295093
S54,2,1.022822252
S55,2,0.919042408
S1,3,1.114329716
S2,3,0.883813478
S3,3,1.065485723
S4,3,0.977702665
S5,3,0.964055804
S6,3,1.019832816
S7,3,0.977281917
S8,3,1.076971737
S9,3,0.862770479
S10,3,1.074255359
S11,3,0.988348041
S12,3,0.996909582
S13,3,0.959987405
S14,3,1.096382063
S15,3,0.900634133
S16,3,0.90923463
S17,3,0.945477238
S18,3,1.010516252
S19,3,0.886008293
S20,3,1.057382465
S21,3,1.068743189
S22,3,0.881699097
S23,3,0.849921491
S24,3,1.142839224
S25,3,0.951897009
S26,3,0.84861339
S27,3,1.040190053
S28,3,1.065450626
S29,3,1.093447513
S30,3,1.049522466
S31,3,1.121856534
S32,3,0.865910499
S33,3,0.846925092
S34,3,1.085129595
S35,3,0.962877237
S36,3,0.911531399
S37,3,0.955641647
S38,3,0.848024465
S39,3,0.85144
S40,3,0.948600464
S41,3,1.021810174
S42,3,0.904797733
S43,3,0.857894549
S44,3,0.89835486
S45,3,0.9795
S46,3,0.862788335
S47,3,0.95646583
S48,3,1.10755802
S49,3,1.131345602
S50,3,0.905726485
S51,3,1.101677102
S52,3,1.14122477
S53,3,0.883830073
S54,3,1.047372167
S55,3,0.940493803
S1,4,1.117076639
S2,4,0.947809014
S3,4,1.077008007
S4,4,0.986952191
S5,4,0.916792163
S6,4,1.039909012
S7,4,1.035631555
S8,4,1.061454456
S9,4,0.864590655
S10,4,1.032038722
S11,4,0.906070091
S12,4,0.940408466
S13,4,0.989867323
S14,4,1.047295547
S15,4,0.96818048
S16,4,0.900028013
S17,4,0.879520966
S18,4,0.927581073
S19,4,0.912788076
S20,4,1.089899954
S21,4,1.054715996
S22,4,0.940662927
S23,4,0.830906993
S24,4,1.139279576
S25,4,0.961912199
S26,4,0.880563613
S27,4,1.080375171
S28,4,1.101366896
S29,4,1.062112098
S30,4,0.990188829
S31,4,1.028703769
S32,4,0.897716434
S33,4,0.885344873
S34,4,1.036258
S35,4,1.036183705
S36,4,0.864022582
S37,4,0.98764603
S38,4,0.837647329
S39,4,0.892478771
S40,4,0.957361342
S41,4,0.994021109
S42,4,0.867125005
S43,4,0.854509473
S44,4,0.849832128
S45,4,1.033823277
S46,4,0.876835664
S47,4,0.953427291
S48,4,1.141610213
S49,4,1.109680098
S50,4,0.935188007
S51,4,1.131516186
S52,4,1.186343532
S53,4,0.854954138
S54,4,1.021614087
S55,4,0.892090674
S1,5,1.086306531
S2,5,0.987478782
S3,5,1.007007141
S4,5,0.972290372
S5,5,0.916160852
S6,5,1.065227945
S7,5,1.029398047
S8,5,1.07826044
S9,5,0.844111061
S10,5,1.117864473
S11,5,0.931487124
S12,5,0.957410192
S13,5,0.99032741
S14,5,1.051499584
S15,5,0.917725953
S16,5,0.863970729
S17,5,0.905539522
S18,5,0.927897969
S19,5,0.964020498
S20,5,1.090378822
S21,5,1.095195777
S22,5,0.971906664
S23,5,0.891955328
S24,5,1.107067818
S25,5,0.9919605
S26,5,0.862024628
S27,5,1.061853988
S28,5,1.142444308
S29,5,1.027997096
S30,5,0.968722178
S31,5,1.042081156
S32,5,0.918285763
S33,5,0.922574331
S34,5,1.034174729
S35,5,0.98047201
S36,5,0.925488834
S37,5,1.043539918
S38,5,0.846410543
S39,5,0.957675429
S40,5,0.972929177
S41,5,1.037371204
S42,5,0.964773285
S43,5,0.908984569
S44,5,0.865010615
S45,5,1.04586555
S46,5,0.95346799
S47,5,0.914611165
S48,5,1.078520199
S49,5,1.072002123
S50,5,0.949518741
S51,5,1.096352741
S52,5,1.141157568
S53,5,0.87260144
S54,5,0.98966131
S55,5,0.942347644
