subject_number,time,m2_m3
S1,1,1.135163988
S2,1,0.927218106
S3,1,1.13356305
S4,1,1.256300851
S5,1,1.334830693
S6,1,1.148025769
S7,1,1.238764613
S8,1,1.016077461
S9,1,1.129715556
S10,1,1.166202336
S11,1,1.158622159
S12,1,0.964857835
S13,1,1.183484065
S14,1,1.068571785
S15,1,1.325336508
S16,1,0.936651127
S17,1,1.230119199
S18,1,1.250002557
S19,1,1.293842272
S20,1,0.983308285
S21,1,1.453624518
S22,1,1.102604342
S23,1,1.283048584
S24,1,1.075187816
S25,1,0.761902781
S26,1,1.122520277
S27,1,0.941563469
S28,1,1.358279226
S29,1,1.336268012
S30,1,1.224677306
S31,1,1.159252799
S32,1,1.112531897
S33,1,1.255829468
S34,1,1.062598301
S35,1,1.063155237
S36,1,1.272399965
S37,1,1.154488556
S38,1,1.295322789
S39,1,1.073232063
S40,1,1.085237753
S41,1,1.106794391
S42,1,0.879075953
S43,1,1.11517849
S44,1,1.214335861
S45,1,1.416366898
S46,1,1.393462411
S47,1,0.798676655
S48,1,1.044800575
S49,1,1.029440888
S50,1,1.030275949
S51,1,1.00147307
S52,1,1.224710503
S53,1,1.317903463
S54,1,1.0165966
S55,1,0.962184662
S1,2,1.154571077
S2,2,1.055879878
S3,2,1.168468056
S4,2,1.219911718
S5,2,1.235703361
S6,2,1.388076692
S7,2,1.16679835
S8,2,1.291119228
S9,2,1.223020562
S10,2,1.16011466
S11,2,1.130814701
S12,2,0.926894899
S13,2,1.082499398
S14,2,1.071574958
S15,2,1.070590198
S16,2,1.130578356
S17,2,1.294350235
S18,2,1.372943182
S19,2,1.239273485
S20,2,1.083013867
S21,2,1.281130214
S22,2,1.180248679
S23,2,1.247238472
S24,2,1.045219581
S25,2,0.852737179
S26,2,1.239851364
S27,2,0.826435291
S28,2,1.262568567
S29,2,1.286847302
S30,2,1.098781171
S31,2,1.163631186
S32,2,1.211695795
S33,2,1.089895526
S34,2,1.208324519
S35,2,1.011107284
S36,2,1.161820754
S37,2,1.138392044
S38,2,1.284714206
S39,2,1.180433934
S40,2,1.054702766
S41,2,1.118334705
S42,2,1.017336091
S43,2,1.044826224
S44,2,1.321077341
S45,2,1.197726763
S46,2,1.208752118
S47,2,1.013445981
S48,2,0.813842633
S49,2,1.007904986
S50,2,0.991456471
S51,2,1.084361211
S52,2,1.099727216
S53,2,1.258716051
S54,2,1.03611915
S55,2,1.097850963
S1,3,1.2221193
S2,3,1.15670049
S3,3,1.148506283
S4,3,1.137130802
S5,3,1.131947291
S6,3,1.250689113
S7,3,1.229932976
S8,3,1.176129554
S9,3,1.112328257
S10,3,1.131017742
S11,3,1.11032573
S12,3,1.000747345
S13,3,1.178340898
S14,3,1.06907642
S15,3,1.068138341
S16,3,1.053359684
S17,3,1.336745145
S18,3,1.32547689
S19,3,1.133152402
S20,3,1.12519841
S21,3,1.27607284
S22,3,1.15162322
S23,3,1.222571418
S24,3,1.167983248
S25,3,0.94476474
S26,3,1.220655274
S27,3,0.965420909
S28,3,1.258764403
S29,3,1.462660356
S30,3,1.15768512
S31,3,1.041021158
S32,3,1.213415063
S33,3,1.091218679
S34,3,1.141473605
S35,3,1.096911952
S36,3,1.124515869
S37,3,1.136001376
S38,3,1.266531475
S39,3,1.252870019
S40,3,1.094643668
S41,3,1.201243066
S42,3,1.074065822
S43,3,1.189775597
S44,3,1.170236965
S45,3,1.175152587
S46,3,1.135000544
S47,3,0.993316747
S48,3,0.8297748
S49,3,0.995657728
S50,3,1.030467464
S51,3,1.200824544
S52,3,0.901725411
S53,3,1.281932791
S54,3,1.069111111
S55,3,1.128584875
S1,4,1.186653711
S2,4,1.155817872
S3,4,1.182340626
S4,4,1.156081624
S5,4,1.223338423
S6,4,1.215120345
S7,4,1.18533505
S8,4,1.224314619
S9,4,1.15322009
S10,4,1.144962909
S11,4,1.144884067
S12,4,1.006577492
S13,4,1.109287836
S14,4,1.097044777
S15,4,1.128929585
S16,4,1.008528222
S17,4,1.303915114
S18,4,1.21228698
S19,4,1.116211718
S20,4,1.153501861
S21,4,1.364032732
S22,4,1.106978728
S23,4,1.202370952
S24,4,1.114488165
S25,4,0.905270962
S26,4,1.191035423
S27,4,1.026231095
S28,4,1.225204326
S29,4,1.394313372
S30,4,1.142655557
S31,4,0.9946425
S32,4,1.188159321
S33,4,1.074513102
S34,4,1.164669157
S35,4,1.088839012
S36,4,1.207465018
S37,4,1.138024448
S38,4,1.246766956
S39,4,1.203443035
S40,4,1.156182821
S41,4,1.204178124
S42,4,1.098162851
S43,4,1.262999361
S44,4,1.246609149
S45,4,1.198971936
S46,4,1.107488513
S47,4,0.991369431
S48,4,0.96625216
S49,4,0.986437869
S50,4,1.121616227
S51,4,1.166368243
S52,4,0.936630464
S53,4,1.216713185
S54,4,1.139568809
S55,4,1.138119561
S1,5,1.213336894
S2,5,1.164417797
S3,5,1.149837428
S4,5,1.160152618
S5,5,1.138108597
S6,5,1.254659921
S7,5,1.149754215
S8,5,1.199495013
S9,5,1.132322449
S10,5,1.154196624
S11,5,1.184820683
S12,5,0.977109887
S13,5,1.170609058
S14,5,1.155146068
S15,5,1.192567418
S16,5,1.068289955
S17,5,1.281576374
S18,5,1.177870198
S19,5,1.072025189
S20,5,1.170660393
S21,5,1.310655655
S22,5,1.092067276
S23,5,1.2102606
S24,5,1.169060378
S25,5,0.897471294
S26,5,1.204396573
S27,5,1.015597669
S28,5,1.321610225
S29,5,1.404810257
S30,5,1.145503073
S31,5,0.998141082
S32,5,1.184457373
S33,5,1.02148489
S34,5,1.112307017
S35,5,1.108244986
S36,5,1.227618703
S37,5,1.173965176
S38,5,1.251788697
S39,5,1.205262713
S40,5,1.145771947
S41,5,1.166352608
S42,5,1.166498903
S43,5,1.221618275
S44,5,1.288224997
S45,5,1.200532941
S46,5,1.152125367
S47,5,1.036191789
S48,5,1.01583715
S49,5,0.995475784
S50,5,1.142463922
S51,5,1.19988327
S52,5,0.979759971
S53,5,1.17676744
S54,5,1.102582309
S55,5,1.149193216
