subject_number,time,m5_m2
S1,1,0.840339918
S2,1,1.000559961
S3,1,0.834704607
S4,1,0.997979095
S5,1,1.107858167
S6,1,0.981462625
S7,1,0.704655877
S8,1,0.94849089
S9,1,0.689501273
S10,1,0.997160088
S11,1,1.34027662
S12,1,0.948276621
S13,1,0.857143657
S14,1,1.071287079
S15,1,0.814160049
S16,1,0.701754667
S17,1,0.895192824
S18,1,1.039391029
S19,1,1.247726193
S20,1,1.12833722
S21,1,0.673914821
S22,1,0.955446577
S23,1,1.178173394
S24,1,0.861083885
S25,1,0.470037539
S26,1,0.808971494
S27,1,0.911282564
S28,1,0.878379459
S29,1,0.663541659
S30,1,0.873686197
S31,1,0.687497181
S32,1,0.893053884
S33,1,1.085350346
S34,1,0.848612751
S35,1,0.753038657
S36,1,0.457984961
S37,1,1.068958065
S38,1,0.974734872
S39,1,0.833227353
S40,1,1.016840936
S41,1,0.807691811
S42,1,0.934207241
S43,1,1.218040893
S44,1,0.718117714
S45,1,0.873202665
S46,1,0.682379494
S47,1,0.831347129
S48,1,1.023456849
S49,1,0.788136962
S50,1,0.961606067
S51,1,1.041379388
S52,1,1.030953279
S53,1,0.582088582
S54,1,0.864316415
S55,1,0.575139085
S1,2,1.010862653
S2,2,0.859852256
S3,2,0.913238649
S4,2,0.990821026
S5,2,0.941496643
S6,2,0.965077984
S7,2,0.846592641
S8,2,0.901355144
S9,2,0.787710442
S10,2,0.774379294
S11,2,1.098511413
S12,2,1.057437142
S13,2,1.056220503
S14,2,0.904258839
S15,2,0.619749873
S16,2,0.773244639
S17,2,0.7919245
S18,2,1.065197332
S19,2,1.078271973
S20,2,0.982512922
S21,2,0.556784728
S22,2,1.070372143
S23,2,1.011393298
S24,2,1.018163602
S25,2,0.684869715
S26,2,0.62930957
S27,2,0.987803494
S28,2,0.804755467
S29,2,0.658320087
S30,2,0.746422807
S31,2,0.826285567
S32,2,0.818355407
S33,2,1.1000011
S34,2,0.934476494
S35,2,0.909372788
S36,2,0.928943976
S37,2,1.073197804
S38,2,0.697284576
S39,2,1.015258727
S40,2,0.901915456
S41,2,1.019066057
S42,2,1.034452476
S43,2,0.949810158
S44,2,0.704836052
S45,2,0.839222795
S46,2,0.704112249
S47,2,0.821408418
S48,2,1.059445351
S49,2,0.871497669
S50,2,0.865799088
S51,2,0.978263298
S52,2,1.014250689
S53,2,0.646059485
S54,2,0.674257419
S55,2,0.593340741
S1,3,1.027311004
S2,3,0.770954265
S3,3,0.939514285
S4,3,1.022900143
S5,3,0.861031224
S6,3,0.860856106
S7,3,0.783210924
S8,3,1.016602622
S9,3,0.795985194
S10,3,0.907827538
S11,3,1.128087039
S12,3,1.08454712
S13,3,1.128194197
S14,3,0.931147322
S15,3,0.771607282
S16,3,0.770033003
S17,3,0.867192323
S18,3,0.941529066
S19,3,0.925599585
S20,3,0.976910836
S21,3,0.664221877
S22,3,1.001414249
S23,3,0.965338615
S24,3,1.017346746
S25,3,0.837975435
S26,3,0.598534784
S27,3,0.907536118
S28,3,0.804743904
S29,3,0.741371087
S30,3,0.861821663
S31,3,0.706698803
S32,3,0.779663665
S33,3,0.963690728
S34,3,0.887448934
S35,3,0.851462751
S36,3,0.765522246
S37,3,0.966036242
S38,3,0.537621202
S39,3,0.98156083
S40,3,0.774817887
S41,3,0.966104363
S42,3,0.891098274
S43,3,0.869564818
S44,3,0.803785293
S45,3,0.845480634
S46,3,0.918880947
S47,3,0.910201549
S48,3,0.98631636
S49,3,0.922952526
S50,3,0.794707924
S51,3,0.976809837
S52,3,0.940114859
S53,3,0.664628682
S54,3,0.82264229
S55,3,0.750966495
S1,4,0.974287758
S2,4,0.802788696
S3,4,0.974126012
S4,4,0.850609772
S5,4,0.828803089
S6,4,0.939122434
S7,4,0.748104712
S8,4,1.000780036
S9,4,0.824917847
S10,4,0.948288736
S11,4,1.085310637
S12,4,0.941909783
S13,4,0.973780738
S14,4,0.997885103
S15,4,0.868337428
S16,4,0.779548979
S17,4,0.874842793
S18,4,0.852743743
S19,4,0.972631067
S20,4,0.909411674
S21,4,0.637644502
S22,4,1.083589678
S23,4,0.981141456
S24,4,0.997611826
S25,4,0.843970885
S26,4,0.761392445
S27,4,0.934102384
S28,4,0.848539001
S29,4,0.679767362
S30,4,0.879111903
S31,4,0.643115855
S32,4,0.852778074
S33,4,0.959473123
S34,4,0.898940638
S35,4,0.783472447
S36,4,0.659905383
S37,4,0.986277084
S38,4,0.643080909
S39,4,1.046358624
S40,4,0.795553719
S41,4,0.947125613
S42,4,0.972721852
S43,4,0.837624153
S44,4,0.767350036
S45,4,0.798809799
S46,4,0.943006076
S47,4,0.875307891
S48,4,0.972105624
S49,4,0.947148424
S50,4,0.783475673
S51,4,0.921656779
S52,4,0.842827833
S53,4,0.665108834
S54,4,0.710445507
S55,4,0.730462135
S1,5,0.906446949
S2,5,0.799122386
S3,5,0.987770125
S4,5,0.811704312
S5,5,0.887535339
S6,5,1.046573986
S7,5,0.77366328
S8,5,0.916000382
S9,5,0.823016864
S10,5,1.010237932
S11,5,0.962300871
S12,5,0.999527017
S13,5,0.96082141
S14,5,0.97283285
S15,5,0.844789706
S16,5,0.861640691
S17,5,0.96569167
S18,5,0.747929168
S19,5,0.951828969
S20,5,0.945115501
S21,5,0.602552176
S22,5,1.095935342
S23,5,0.92548632
S24,5,0.926211295
S25,5,0.898067616
S26,5,0.675904478
S27,5,0.961082569
S28,5,0.83472122
S29,5,0.743085278
S30,5,0.934357215
S31,5,0.704982721
S32,5,0.889322032
S33,5,0.918187057
S34,5,0.903491552
S35,5,0.860489666
S36,5,0.758808102
S37,5,0.958324113
S38,5,0.65805554
S39,5,1.065284072
S40,5,0.884890091
S41,5,0.988828093
S42,5,1.019182891
S43,5,0.873238887
S44,5,0.787794887
S45,5,0.762639873
S46,5,1.086712502
S47,5,0.917963815
S48,5,0.886007437
S49,5,0.944318828
S50,5,0.844235398
S51,5,0.952053512
S52,5,0.919319851
S53,5,0.767605889
S54,5,0.623779302
S55,5,0.761899749
