subject_number,time,m1_m2
S1,1,1.272062494
S2,1,1.018151246
S3,1,0.942131942
S4,1,0.829301973
S5,1,1.163249621
S6,1,1.437887161
S7,1,1.302214796
S8,1,0.620616932
S9,1,1.375824365
S10,1,0.561237213
S11,1,1.064513577
S12,1,1.366671056
S13,1,1.217467833
S14,1,0.873627606
S15,1,1.132744004
S16,1,1.014585161
S17,1,0.942219701
S18,1,0.542687894
S19,1,0.901860066
S20,1,0.991250226
S21,1,1.15192541
S22,1,1.134930562
S23,1,1.120536978
S24,1,0.909892623
S25,1,1.20380261
S26,1,0.998961578
S27,1,1.309969269
S28,1,0.864861756
S29,1,0.993301177
S30,1,0.492834862
S31,1,1.258288039
S32,1,0.904276174
S33,1,1.119124452
S34,1,1.378454126
S35,1,1.087875854
S36,1,1.19675034
S37,1,1.038809265
S38,1,0.829894649
S39,1,1.126052109
S40,1,0.859715432
S41,1,0.875263986
S42,1,1.149591824
S43,1,1.000385273
S44,1,1.218570356
S45,1,1.001267133
S46,1,1.475715513
S47,1,1.222343137
S48,1,1.208148321
S49,1,1.049775096
S50,1,0.817390756
S51,1,1.259838654
S52,1,1.35403924
S53,1,1.155282192
S54,1,0.971414857
S55,1,1.030097611
S1,2,1.003817636
S2,2,1.212479692
S3,2,0.996840135
S4,2,0.734919823
S5,2,1.228968226
S6,2,1.198082565
S7,2,1.163080087
S8,2,0.834278531
S9,2,1.184807771
S10,2,0.947908277
S11,2,1.093544061
S12,2,1.192802306
S13,2,1.074823391
S14,2,1.004391046
S15,2,1.156489968
S16,2,0.908461314
S17,2,0.819649839
S18,2,0.563385315
S19,2,1.07146351
S20,2,1.161361935
S21,2,1.06629993
S22,2,0.956281115
S23,2,0.886534305
S24,2,0.963047404
S25,2,1.09923656
S26,2,0.906846562
S27,2,0.91319628
S28,2,1.087044325
S29,2,1.011523547
S30,2,0.66921305
S31,2,1.463382966
S32,2,0.870320221
S33,2,0.845292175
S34,2,1.167507635
S35,2,0.962638232
S36,2,1.04636492
S37,2,0.925660546
S38,2,1.022277471
S39,2,1.101252281
S40,2,0.871401344
S41,2,0.840233078
S42,2,1.168556272
S43,2,0.914375757
S44,2,0.982545499
S45,2,1.058460265
S46,2,1.291929416
S47,2,1.344784306
S48,2,1.185691785
S49,2,1.04451567
S50,2,1.103865835
S51,2,1.16119403
S52,2,1.339943415
S53,2,1.227162162
S54,2,0.96946065
S55,2,1.064547447
S1,3,1.10863079
S2,3,1.061643575
S3,3,0.990826862
S4,3,0.684791742
S5,3,1.073881129
S6,3,1.136766154
S7,3,1.230925223
S8,3,0.881096611
S9,3,1.123293759
S10,3,1.031023497
S11,3,1.126413203
S12,3,1.156051537
S13,3,0.950672759
S14,3,1.016403165
S15,3,1.069434395
S16,3,0.979318252
S17,3,0.869585634
S18,3,0.723657549
S19,3,1.085831009
S20,3,1.185148292
S21,3,1.018891351
S22,3,1.085550527
S23,3,0.99439729
S24,3,1.082010161
S25,3,1.051662368
S26,3,0.973349035
S27,3,1.028825532
S28,3,0.948161695
S29,3,1.249044859
S30,3,0.740073874
S31,3,1.259123848
S32,3,0.956553258
S33,3,0.906873721
S34,3,1.299632326
S35,3,1.001147529
S36,3,1.02782467
S37,3,0.960568091
S38,3,0.955071122
S39,3,1.05020761
S40,3,0.997398284
S41,3,0.948876298
S42,3,1.080948407
S43,3,0.990577161
S44,3,0.945468945
S45,3,0.965685704
S46,3,1.073004384
S47,3,0.994152706
S48,3,1.077805332
S49,3,1.087103356
S50,3,0.904603159
S51,3,1.013571929
S52,3,1.289849522
S53,3,1.201759353
S54,3,0.936537438
S55,3,1.282562206
S1,4,1.110852535
S2,4,1.055874345
S3,4,0.966144297
S4,4,0.695018531
S5,4,1.133273159
S6,4,1.147655089
S7,4,1.236328545
S8,4,0.84918925
S9,4,1.107372286
S10,4,1.091515145
S11,4,1.059465028
S12,4,1.208627743
S13,4,1.017242128
S14,4,1.084218891
S15,4,0.996277608
S16,4,1.029432015
S17,4,0.848875758
S18,4,0.765445155
S19,4,0.909271256
