subject_number,even_60s_norm_FromM4_ToM3,even_60s_norm_FromM4_ToM1,even_60s_norm_FromM4_ToM5,even_60s_norm_FromM4_ToM2,even_60s_norm_FromM3_ToM4,even_60s_norm_FromM3_ToM1,even_60s_norm_FromM3_ToM5,even_60s_norm_FromM3_ToM2,even_60s_norm_FromM1_ToM4,even_60s_norm_FromM1_ToM3,even_60s_norm_FromM1_ToM5,even_60s_norm_FromM1_ToM2,even_60s_norm_FromM4_ToM4,even_60s_norm_FromM4_ToM3,even_60s_norm_FromM4_ToM1,even_60s_norm_FromM4_ToM2,even_60s_norm_FromM2_ToM4,even_60s_norm_FromM2_ToM3,even_60s_norm_FromM2_ToM1,even_60s_norm_FromM2_ToM5,odd_60s_norm_FromM4_ToM3,odd_60s_norm_FromM4_ToM1,odd_60s_norm_FromM4_ToM5,odd_60s_norm_FromM4_ToM2,odd_60s_norm_FromM3_ToM4,odd_60s_norm_FromM3_ToM1,odd_60s_norm_FromM3_ToM5,odd_60s_norm_FromM3_ToM2,odd_60s_norm_FromM1_ToM4,odd_60s_norm_FromM1_ToM3,odd_60s_norm_FromM1_ToM5,odd_60s_norm_FromM1_ToM2,odd_60s_norm_FromM4_ToM4,odd_60s_norm_FromM4_ToM3,odd_60s_norm_FromM4_ToM1,odd_60s_norm_FromM4_ToM2,odd_60s_norm_FromM2_ToM4,odd_60s_norm_FromM2_ToM3,odd_60s_norm_FromM2_ToM1,odd_60s_norm_FromM2_ToM5
S11,0.741537207,1.221440501,1.217167927,0.814979751,1.039467779,0.958704144,1.31957941,0.965218357,0.789475,1.241563432,0.45853197,1.22807,1.080533545,1.274473812,0.872007264,0.840417327,0.911154654,0.967224055,1.286802106,0.833496738,1.267760073,0.896995497,1.128091699,0.809210892,1.057655445,1.493960062,0.745569643,0.686350839,0.829568437,1.124531063,1.238884371,1.196306065,1.460407651,0.989831905,0.373522784,0.842407073,0.848274178,1.221747457,0.854274931,0.767398843
S12,1.024381343,0.951367287,1.15995482,1.056392758,0.997312241,1.134199313,0.867330059,1.020776567,0.852995517,1.09227614,1.067077318,0.989473345,0.973628152,1.026739128,0.792569613,1.129410506,1.192613618,1.197774634,0.876439385,0.753500957,1.132188337,0.772574903,1.263946889,0.924065376,0.859215205,1.132255276,1.002796677,1.17607244,0.840536314,0.937087241,0.876766144,0.951782197,1.250785047,1.261649381,0.886093396,0.79487921,1.19403,1.053851671,1.1438702,0.778435249
S13,1.227892675,0.960156434,1.134183015,0.801945683,1.066921874,0.935895631,1.1932734,0.893356826,1.092861004,1.089743757,0.758929767,1.103895125,1.28499689,0.906089581,0.917857842,0.876137519,0.690003441,1.253207914,1.095236374,0.431250514,1.416907858,0.97479479,0.816493459,0.893557435,0.703024221,0.957454829,1.218579891,1.501463438,1.218865764,1.322403656,0.886446136,0.617346211,1.208084996,0.823873403,0.897432756,1.009616268,1.096154689,0.734193254,1.066326115,0.626373112
S14,1.44268839,1.360243611,0.528987006,0.991846809,0.749625,1.02627381,0.778255208,1.212285156,1.22567485,1.121212121,1.027780861,0.660714286,1.83876662,0.892518652,0.863092772,0.660804749,0.837636926,0.97301101,0.611605832,1.516280211,1.553007228,0.698069585,1.087372382,0.799606959,1.08158103,1.126093334,0.9567844,0.85434101,0.791870544,0.877029357,0.90064468,0.946124764,1.206307215,1.122271756,0.822077112,1.008911941,0.996043485,1.201225708,0.848483591,1.076924734
S15,0.771929273,1.340716446,1.4152057,0.849124866,0.973683288,0.999310631,0.703218592,1.241447441,0.843491719,0.9812046,1.399121302,0.515128183,1.193958384,1.414138714,0.477582494,1.020837289,1.135966048,1.345455891,0.681579629,0.599537637,1.22811793,0.724624645,1.079831086,0.978045451,0.791249109,0.807266359,1.002486429,1.173402998,1.033834882,1.019273226,0.993292173,0.711822305,1.37605502,0.940625554,0.540761731,1.179045116,1.106560107,1.047333414,1.304567821,0.891032261
S16,1.362034609,1.077816256,0.401731142,1.088022989,0.868882671,0.815902753,1.216437671,0.967623286,1.278360366,0.763780349,1.239028333,0.985591244,1.410933333,0.852357422,0.867209497,0.90909438,0.543291527,1.328455458,1.113078293,1.140906519,1.65995693,0.654764655,1.15025772,0.519653762,1.072435162,1.24732352,0.795966265,1.099930495,0.778427621,0.844207613,1.251791423,0.951410227,0.938220319,0.925008813,0.788108534,1.250965251,1.05593454,1.022130162,0.967620015,1.035175517
S17,1.431820432,0.872727796,1.178572607,0.307695953,0.625,1.31818,0.982144611,0.70512712,0.836366459,1.045453761,0.903570912,1.415387609,1.431819614,1.07386471,0.73636222,0.923075432,1.126197507,1.689293203,0.643540822,0.505639405,1.158915127,0.958331736,1.192593365,0.613334143,1.167961982,1.204457851,0.759174346,0.735815114,0.845073333,1.100557303,0.826293333,1.216902747,0.824076066,1.310853563,0.74166645,1.186664958,0.436665332,1.096745104,1.091667303,1.280886839
S18,0.969439645,0.769228462,1.34798323,0.913149156,1.081848502,1.157834126,1.162428305,0.805345217,0.44021519,1.286481488,0.652175217,1.420054,0.501982885,0.935200909,1.222222222,1.165898824,1.536290323,1.178523462,0.62342216,0.780337942,0.969528296,0.750650251,1.369165824,1.146824011,0.600905325,1.20454644,1.314483653,0.97125853,0.315024979,1.127768452,0.918829594,1.143433811,1.644311949,0.896772449,1.007147435,0.839287323,1.130947663,1.164001807,0.940401515,0.725696589
S19,1.142780164,0.882291018,1.179965502,0.360118465,1.150056437,0.944256021,0.927256925,1.106819078,0.78125,1.25,1.196808511,0.744047619,0.86170272,1.240851861,0.517019118,1.107897477,0.984127968,1.259682758,1.180953562,0.753799152,1.105350127,0.483315059,1.597030562,1.330856073,1.266934601,0.884505607,0.86352832,0.797102697,0.502307688,1.144141252,0.74618171,1.044654394,1.43477713,1.114130305,0.562930499,0.813799521,0.391301217,1.634058008,1.125854524,0.5812869
S20,1.016154658,1.097793245,1.376239856,0.571489068,1.04565899,1.021344922,1.024320712,1.010215726,0.772212593,1.155144703,0.860467575,1.225071225,0.926740188,1.060941713,0.840533067,1.225178172,0.739242589,1.241232041,0.957825436,0.756484136,0.837119906,0.873516059,1.030299596,0.934460605,1.182862518,1.131435048,0.863511583,1.067979452,0.541010288,1.37055115,0.976589436,1.328617193,1.053613437,1.492619035,0.629876191,0.673823352,1.056024783,0.782241328,1.010110662,1.059034814
