subject_number,even_120s_norm_FromM4_ToM3,even_120s_norm_FromM4_ToM1,even_120s_norm_FromM4_ToM5,even_120s_norm_FromM4_ToM2,even_120s_norm_FromM3_ToM4,even_120s_norm_FromM3_ToM1,even_120s_norm_FromM3_ToM5,even_120s_norm_FromM3_ToM2,even_120s_norm_FromM1_ToM4,even_120s_norm_FromM1_ToM3,even_120s_norm_FromM1_ToM5,even_120s_norm_FromM1_ToM2,even_120s_norm_FromM5_ToM4,even_120s_norm_FromM5_ToM3,even_120s_norm_FromM5_ToM1,even_120s_norm_FromM5_ToM2,even_120s_norm_FromM2_ToM4,even_120s_norm_FromM2_ToM3,even_120s_norm_FromM2_ToM1,even_120s_norm_FromM2_ToM5,odd_120s_norm_FromM4_ToM3,odd_120s_norm_FromM4_ToM1,odd_120s_norm_FromM4_ToM5,odd_120s_norm_FromM4_ToM2,odd_120s_norm_FromM3_ToM4,odd_120s_norm_FromM3_ToM1,odd_120s_norm_FromM3_ToM5,odd_120s_norm_FromM3_ToM2,odd_120s_norm_FromM1_ToM4,odd_120s_norm_FromM1_ToM3,odd_120s_norm_FromM1_ToM5,odd_120s_norm_FromM1_ToM2,odd_120s_norm_FromM5_ToM4,odd_120s_norm_FromM5_ToM3,odd_120s_norm_FromM5_ToM1,odd_120s_norm_FromM5_ToM2,odd_120s_norm_FromM2_ToM4,odd_120s_norm_FromM2_ToM3,odd_120s_norm_FromM2_ToM1,odd_120s_norm_FromM2_ToM5
S27,1.463340154,0.84751839,1.017021812,0.544835317,0.887392985,0.997402034,1.281789359,0.817745469,1.025434947,1.05126061,0.8057019,1.159717293,1.218169011,1.013555941,0.559066043,1.257898391,0.919170862,1.047017808,1.293651818,0.551504576,0.948450851,1.199898489,1.091450476,0.859928494,0.797012112,0.757524558,1.2215085,1.336351038,1.219694864,1.222382931,0.771693221,0.734942957,1.177442583,1.01727462,0.643485609,1.00510319,0.614976682,1.275170653,1.120303862,0.926406051
S28,1.075930158,0.75599974,1.270084105,0.633348584,0.767577348,1.122655577,1.163068848,1.053384097,0.791805094,1.292169967,0.817142857,0.977965808,1.339539868,1.156627621,0.914285714,0.476594854,0.912420263,1.240836242,0.973064441,0.392341263,0.945069157,0.942753144,1.923870518,0.768833423,0.651849652,1.19064247,0.852794683,1.11861492,0.828262898,1.05692625,0.60832614,1.2376387,0.694918451,1.496412876,0.840364258,0.700904262,1.325722236,1.107678201,0.890671124,0.765050424
S29,0.990021476,1.110338587,1.152767343,1.264575396,0.999777291,1.066718368,0.746173898,1.138524245,0.703479311,1.257354006,0.878425861,0.805943225,1.06815008,1.128124887,0.958900721,0.943182914,0.80186159,1.242099789,0.844626417,0.80991481,1.02227102,0.913124211,0.974569733,0.971159965,1.018365584,1.029980988,1.003924901,1.059865798,0.923997665,1.231716477,0.766913544,0.987694341,0.814324738,0.968214282,0.97017538,1.070624806,0.792897733,1.032323101,1.193380822,1.032323634
S30,1.572845705,0.567148422,0.876712912,0.955257232,0.800360315,1.09384815,1.025390042,1.102926264,0.861209073,1.152383152,0.900953883,0.992576291,0.890445043,1.307555362,0.571227826,0.733053308,1.034147995,1.067549893,0.995124709,0.781355646,1.440118363,0.555500843,1.19765588,0.676871841,0.869817217,1.050983844,0.881182012,1.145435653,1.080144986,1.243917836,0.8046,0.938697079,1.285267157,0.969452705,1.021687185,0.823023894,0.637925874,1.285635188,0.856435427,0.997896431
S31,0.825892046,1.270602578,1.263129543,0.999403024,0.805278022,0.952250594,1.144300928,1.047702542,0.452381793,1.156083404,0.869279052,1.064423328,1.247545901,1.069326999,1.02363157,0.838685669,1.10744063,1.30432287,0.883429701,0.72961214,1.532626951,0.781317929,0.626985427,0.828306453,0.997728171,1.065526053,1.232278829,0.897043923,0.740969426,1.075785211,0.840455567,1.199153863,0.942211917,1.168457164,0.852335859,0.889480077,0.830749263,1.033018868,1.113336772,0.879461535
S32,0.82615616,0.956601553,1.270516289,1.151112262,1.035170287,1.126230036,0.928250497,0.880214841,0.645059118,1.512122688,0.722449652,0.972710287,1.198770635,1.140336724,0.738378465,0.825240408,0.917547511,0.9509078,1.121441646,1.128368395,1.177541851,0.76911339,1.118172545,0.886020147,0.831416891,1.108556227,1.055264135,0.931190723,1.244521505,1.223925287,0.578701923,0.987653333,0.736608788,1.209241161,0.996761338,0.913392917,0.993403407,1.184445588,0.987035291,0.888331403
S33,1.224876699,1.001851421,1.165417214,0.596343235,0.80981531,1.217721623,0.890796531,1.102251824,0.652981701,1.099259589,1.00994932,1.117332402,1.591842167,0.881095635,0.953793117,0.779543747,0.911814668,1.204104288,0.88648601,0.866225166,1.070323844,1.019876255,1.160876356,0.834266918,1.079353983,1.137495592,0.800393346,1.063405006,0.950203122,1.144332684,1.096083632,0.800939182,0.862213939,1.087811118,0.879487137,1.123188908,0.668532174,1.063904445,0.876767651,1.224796259
S34,1.14733388,1.066146742,1.345259429,0.604226374,0.80106281,0.924590289,0.884190328,1.213470206,0.623053333,1.480289288,0.50432189,1.07080816,1.197265416,1.129905711,0.780902159,0.958024266,0.884829224,0.96683019,1.209408418,1.098741423,1.175981034,0.799134575,1.030385321,1.035604816,0.847827419,1.086758593,1.06583645,0.847828012,0.651153037,1.162046406,0.852426353,1.209519671,1.11632859,1.245757774,0.710388519,0.938652211,0.754289358,1.16549009,1.284930186,0.881938326
S35,1.156915671,0.894803434,1.193070006,0.640185982,0.953134377,0.831252041,1.157470668,1.143088718,0.642326764,1.032102517,1.048624875,1.285633814,1.206201393,1.205955525,0.824860447,0.643793176,0.72590862,1.40709781,0.859180398,0.526701996,1.26419853,0.734046829,1.212387895,0.665718923,1.056241903,0.90534812,1.09087073,1.097979741,0.973000334,1.182464001,0.85236935,0.93159371,0.830602667,1.165757037,0.888418065,0.920825397,0.789010245,1.011549147,1.115965937,1.02979301
S36,0.837359166,1.165397935,1.317013081,0.62036121,0.921740844,1.056359845,1.200645571,1.034146171,0.807933229,0.865215003,0.82474,1.553940071,1.356028039,1.145898215,0.617342709,0.669416511,0.702543423,1.149051693,1.332659451,0.690264485,1.458782346,1.05414868,0.760052139,0.927772714,0.898816778,0.764849611,1.290741844,1.032733418,1.094129941,1.078357727,0.963158282,0.587850818,0.997215727,1.083763008,1.268266816,0.727138896,0.847621663,1.180999092,0.431197958,0.91887907
