subject_number,even_240s_norm_FromM4_ToM3,even_240s_norm_FromM4_ToM1,even_240s_norm_FromM4_ToM5,even_240s_norm_FromM4_ToM2,even_240s_norm_FromM3_ToM4,even_240s_norm_FromM3_ToM1,even_240s_norm_FromM3_ToM5,even_240s_norm_FromM3_ToM2,even_240s_norm_FromM1_ToM4,even_240s_norm_FromM1_ToM3,even_240s_norm_FromM1_ToM5,even_240s_norm_FromM1_ToM2,even_240s_norm_FromM5_ToM4,even_240s_norm_FromM5_ToM3,even_240s_norm_FromM5_ToM1,even_240s_norm_FromM5_ToM2,even_240s_norm_FromM2_ToM4,even_240s_norm_FromM2_ToM3,even_240s_norm_FromM2_ToM1,even_240s_norm_FromM2_ToM5,odd_240s_norm_FromM4_ToM3,odd_240s_norm_FromM4_ToM1,odd_240s_norm_FromM4_ToM5,odd_240s_norm_FromM4_ToM2,odd_240s_norm_FromM3_ToM4,odd_240s_norm_FromM3_ToM1,odd_240s_norm_FromM3_ToM5,odd_240s_norm_FromM3_ToM2,odd_240s_norm_FromM1_ToM4,odd_240s_norm_FromM1_ToM3,odd_240s_norm_FromM1_ToM5,odd_240s_norm_FromM1_ToM2,odd_240s_norm_FromM5_ToM4,odd_240s_norm_FromM5_ToM3,odd_240s_norm_FromM5_ToM1,odd_240s_norm_FromM5_ToM2,odd_240s_norm_FromM2_ToM4,odd_240s_norm_FromM2_ToM3,odd_240s_norm_FromM2_ToM1,odd_240s_norm_FromM2_ToM5
S29,0.964973106,1.125145206,1.071644132,1.13081356,1.149971255,0.906733342,0.988312472,1.079796867,0.670735642,1.369711564,0.725673864,0.991978741,0.766482218,1.120076288,0.897204062,0.969507895,0.883594078,1.116723553,0.946131261,0.788590112,1.175830972,0.868427223,0.977411389,1.04298254,0.991666622,1.117209595,0.944444145,1.032388918,0.796939898,1.080379414,0.893535447,1.020739463,1.256668196,1.047224252,0.81734381,0.966665293,0.813675941,1.183984644,0.998122862,0.957262684
S30,1.162457708,0.783180144,1.640947977,0.762750385,0.970168248,1.053802867,0.752716761,1.225293461,0.878830662,1.091282997,0.953376095,0.928501592,1.338720246,1.285290297,0.695103616,0.652794977,0.762479029,1.178247572,1.105594746,0.751585846,1.251568256,1.010526417,0.803828884,0.834687697,0.82604917,0.998775123,1.040391707,1.121967225,0.933331933,1.220183068,0.738889712,0.956973063,1.091985677,1.075295526,0.946393308,0.942864763,0.696304136,1.305203372,0.958674089,0.701578729
S31,1.005871099,1.014022084,1.20438,0.8577592,1.086439023,1.116021091,1.00340592,0.920033923,0.679893709,1.081546655,1.031200437,0.986219696,0.744189445,1.031363708,1.038382781,1.032504007,0.973233973,1.487633013,0.686027737,0.790123164,1.079251827,0.933407876,1.114662525,0.853460206,0.803685472,0.986408217,1.137915466,1.031969935,0.585068637,1.164797098,0.920418305,1.044420415,1.053225591,1.093101678,1.097834937,0.830737778,1.11959939,1.15210464,1.011605134,0.80536326
S32,1.064369817,0.925408225,1.006766007,0.982892708,0.908856984,1.074100574,1.029612919,0.986090661,1.123712027,1.246834715,0.869478835,0.750100565,1.083781787,1.145734864,0.691775303,1.082778735,0.965388126,0.980811628,1.126286965,1.058218585,1.239117609,0.854829444,0.943455983,1.012054608,1.030960492,1.112186577,0.851665243,0.882471277,0.693009162,1.171461619,0.97924824,1.167846285,1.341708965,1.071378153,0.938711394,0.654623719,0.939737952,1.069113903,1.066172684,1.026903452
S33,1.144954389,0.951542689,1.236367702,0.694981548,0.902078705,1.143517487,0.962329376,1.023554679,1.089902441,1.229613339,0.669471349,1.040650595,1.152488149,0.945187149,0.761557731,1.173116999,0.649831693,1.192353147,0.941385063,1.003530918,1.180475797,0.87287455,0.997700624,0.920605443,1.044462698,1.19774838,0.778202694,1.070574824,0.708721923,1.143138612,1.211706695,0.898122997,1.397222888,0.957599772,0.829658947,0.908196163,0.679453159,1.236931255,0.945594685,0.966462739
S34,1.28834595,0.731487495,1.105942819,0.828254351,1.038985276,1.072322509,0.884169735,0.944043606,0.794489718,1.205166756,0.755208333,1.250451837,1.081938825,1.132005231,1.056289681,0.828420136,0.808645438,1.113598696,1.06221296,0.955935661,0.998308866,0.814039522,1.134149263,1.067303507,0.827947132,1.052342915,1.021133964,1.075291549,0.757724808,1.344493912,0.694581769,0.929981602,1.277223292,1.143281146,0.73529738,0.846497307,0.932292736,1.163011787,1.10976833,0.92206808
S35,1.173893811,0.833333333,1.092668667,0.950169402,0.937640631,0.970015997,1.104536038,1.039490224,0.932422478,1.196737493,0.866223113,0.97194114,1.252473878,1.115719647,0.695597914,0.734376027,0.679354101,1.228977852,1.173823652,0.857509086,1.365874705,0.735250565,0.942453102,0.777751375,0.985600725,0.892708423,1.062921694,1.136517078,0.859093226,1.033815092,1.079275252,0.994629213,1.074884889,1.130486226,0.901309073,0.787095848,0.805437436,1.24440405,0.865002602,0.845627811
S36,1.253249692,0.81776542,1.043324927,0.78134473,0.956590676,1.064910419,1.089878661,0.997507454,0.982391951,0.955386156,1.140412067,0.985957275,0.992305071,1.138097011,0.70297125,1.025496153,0.980166875,1.228090413,0.861155912,0.729000928,1.223332916,0.935822306,0.87979141,1.046961452,0.875373044,0.955012897,1.287562334,0.916274989,1.000299961,1.117987128,0.791026745,0.819211144,1.151879211,1.047665616,1.036030607,0.856858971,0.92192797,1.186533444,0.63104915,1.045283233
S37,1.063677049,0.844998282,1.283283351,0.923411521,1.042173755,1.071989379,0.899851792,0.952287554,0.730961117,0.906759866,1.207395364,0.924088244,1.252568144,1.030905905,1.081402003,0.778222686,0.623457526,1.45013073,0.853340043,0.915135424,1.26689687,0.642647397,1.14490855,0.775246149,0.831197839,1.088042588,1.075290201,1.143501131,0.965773005,1.137762166,0.880977432,0.835142809,1.044814481,1.213542348,0.901757197,0.810824449,1.145711341,1.083601921,1.101849548,0.656930762
S38,1.151553525,0.843644448,0.791599101,1.197456471,1.032662727,1.050033325,1.003981601,0.893370957,0.927618759,0.986773687,0.987453911,1.094312256,1.072029482,1.100963044,0.871561696,0.970833454,0.981466993,1.210387403,0.973255536,0.924487823,1.13501013,1.01706272,0.80780453,1.001186917,0.885001579,0.918240621,1.147763838,1.072883173,1.106641964,1.2338548,0.787422067,0.841954485,0.864916175,1.095045726,1.214947664,0.964170813,1.052074738,1.127895815,0.839679564,0.921914981
S39,1.05344823,0.915760637,1.032505366,1.038673363,0.910741048,0.86275857,1.265358248,1.012982226,1.005082249,1.091609297,0.825931373,1.175992133,1.236378463,1.081986649,0.814225059,0.66302957,0.809490579,1.085520126,1.12351775,0.975634327,1.242213179,0.772427387,1.019887812,1.019887772,0.940572793,1.061305081,1.131906574,0.918846838,0.916749182,1.072400092,0.900944584,0.982842595,1.054976714,1.050605508,0.867996176,0.940988241,0.984723866,0.843463722,1.008605938,1.166322407
S40,1.303705939,0.747685361,1.044754111,0.752864166,1.167165532,0.933905694,0.958755514,1.011754883,0.647297819,1.126510224,0.980618386,1.225053329,1.060828384,1.063493333,1.178979157,0.768848506,0.884339342,1.022148572,0.952589875,1.059423544,1.185926717,0.820816116,0.910214655,0.880168813,1.140389379,0.982231714,0.998436762,1.016298779,0.735368075,1.146093803,0.939101505,1.197963382,0.982534484,1.078877715,1.00511764,0.935983629,0.797328584,1.129690586,1.023565115,1.086905452
S41,1.216998151,0.973922146,1.048293875,0.781728793,0.893369128,0.933674967,1.008086326,1.218419842,1.286396875,1.090945246,0.72027432,0.905150986,1.218859431,1.061204813,0.861881674,0.836451553,0.772657157,1.201448164,0.876641143,1.023426514,1.087448284,0.826471578,1.027176058,1.008389618,0.837427483,1.043949712,0.959765625,1.168638801,1.120419054,1.241104751,0.998745477,0.645129803,1.38204506,0.96336742,0.889118428,0.879583377,0.810252891,1.208033359,1.011615491,0.963013133
S42,0.980921546,0.980170234,1.176104452,1.04668369,0.977256508,0.835930633,0.937989638,1.1464353,0.904155976,1.034228501,1.158949812,0.972941254,1.378853968,1.069878376,0.896015549,0.777733406,0.832235553,1.192148478,1.212361299,0.719678606,0.92862982,0.880047187,1.258438755,0.992876516,1.087964071,0.883306451,1.038675066,1.019723945,0.915823607,1.029373075,0.964341077,0.994560556,1.074561383,1.197544993,0.900635718,0.991904615,0.974718473,1.270216347,1.055506463,0.638615367
S43,1.26414443,0.630140737,1.156993183,1.009541976,1.119966518,0.972542973,0.855807976,1.012762857,0.718747585,1.234019448,0.919295606,1.062831175,0.94333103,1.155569631,1.056181445,0.848533981,0.689754423,1.222222222,1.037784418,0.867493335,0.995313006,0.817458893,1.412953015,0.828484067,0.993844306,0.941955241,0.874495504,1.139300998,0.970665749,1.071267194,0.839629634,1.076946607,0.952975584,1.14372599,1.115745291,0.912145536,0.899210915,1.309934437,0.857408323,0.857593364
S44,1.006935989,0.964607329,1.205757841,0.973231606,0.871450726,1.100225246,0.948944217,1.087215923,0.604549824,1.225582098,1.06398546,0.985097579,1.366806546,0.995786083,0.969413117,0.85880316,0.966498255,1.192901418,0.767119051,0.869406134,1.121162777,1.172086348,0.889809211,0.846508278,0.926910584,1.102393656,0.981155285,1.044369612,1.029919655,1.113462187,0.95517664,0.82547545,1.33678466,1.07878599,0.82234515,0.959399002,0.806022674,1.146211968,0.852107229,1.009759608
S45,1.175126247,0.863641881,1.219889215,0.755247221,0.916720232,1.249007351,1.008193992,0.887450046,0.914075648,1.12147427,0.715138058,1.215108796,1.518950863,0.97689544,0.796979945,0.797316197,0.889448449,1.148060163,0.984039327,0.869834533,0.963887822,1.106863688,1.076332151,0.732915863,0.900440006,1.013158763,0.878521989,1.16000174,0.778268671,1.084542381,0.860567127,1.187304313,1.633426983,1.069565054,1.072575661,0.622094578,0.674758917,1.222487584,0.961128781,1.161369484
S46,1.259089362,0.896006392,0.886205932,0.858878619,0.858039389,1.018628148,1.030492155,1.089507247,0.725362931,1.248572172,0.914164628,1.159821003,1.266577032,1.062131259,0.754188969,0.851250135,0.958188095,0.9585888,1.141112638,1.051006908,1.122043207,0.762782738,0.840721441,1.159435817,0.704917302,1.101756511,1.177215955,1.031823841,0.936835806,1.191294623,0.836203541,0.881232895,1.003115929,1.056907884,1.047002352,1.021970275,1.116776306,1.176669086,0.89537396,0.833309263
S47,0.883443384,1.01668663,1.219238569,0.910214969,1.168646335,1.083688807,1.092251859,0.862785022,0.790509153,1.042153688,0.864955842,1.201559983,1.184385054,1.086603352,0.645060349,1.073832972,0.965878847,1.122847375,1.143911709,0.818662728,1.041281916,0.953199167,1.140846427,0.984802113,1.181200992,0.925444718,0.737556583,1.136462954,0.72465693,1.123812925,1.05579496,1.148346551,1.047423182,1.15567973,1.077198313,0.776026888,1.11601154,0.95772395,0.878894646,0.971371716
S48,1.031088575,0.702176355,1.380369149,0.959641301,0.978587129,1.206576416,0.855270329,1.023433523,1.046061622,1.087075202,0.822815637,1.001874193,1.455585038,0.950256768,0.737726213,0.841268241,0.723929299,1.17026425,0.903742949,1.107232801,1.168482968,0.971109563,1.20714207,0.800720502,0.801867136,0.865483089,1.043301114,1.252368158,1.056400125,0.914131647,0.920114495,1.114792234,1.42649921,1.146529135,0.884141417,0.624862814,0.882988901,1.063145185,1.122232784,0.811806453
