subject_number,even_300s_norm_FromM4_ToM3,even_300s_norm_FromM4_ToM1,even_300s_norm_FromM4_ToM5,even_300s_norm_FromM4_ToM2,even_300s_norm_FromM3_ToM4,even_300s_norm_FromM3_ToM1,even_300s_norm_FromM3_ToM5,even_300s_norm_FromM3_ToM2,even_300s_norm_FromM1_ToM4,even_300s_norm_FromM1_ToM3,even_300s_norm_FromM1_ToM5,even_300s_norm_FromM1_ToM2,even_300s_norm_FromM5_ToM4,even_300s_norm_FromM5_ToM3,even_300s_norm_FromM5_ToM1,even_300s_norm_FromM5_ToM2,even_300s_norm_FromM2_ToM4,even_300s_norm_FromM2_ToM3,even_300s_norm_FromM2_ToM1,even_300s_norm_FromM2_ToM5,odd_300s_norm_FromM4_ToM3,odd_300s_norm_FromM4_ToM1,odd_300s_norm_FromM4_ToM5,odd_300s_norm_FromM4_ToM2,odd_300s_norm_FromM3_ToM4,odd_300s_norm_FromM3_ToM1,odd_300s_norm_FromM3_ToM5,odd_300s_norm_FromM3_ToM2,odd_300s_norm_FromM1_ToM4,odd_300s_norm_FromM1_ToM3,odd_300s_norm_FromM1_ToM5,odd_300s_norm_FromM1_ToM2,odd_300s_norm_FromM5_ToM4,odd_300s_norm_FromM5_ToM3,odd_300s_norm_FromM5_ToM1,odd_300s_norm_FromM5_ToM2,odd_300s_norm_FromM2_ToM4,odd_300s_norm_FromM2_ToM3,odd_300s_norm_FromM2_ToM1,odd_300s_norm_FromM2_ToM5
S32,1.140630691,0.888564723,1.151839116,0.811385861,1.042776343,1.094468015,1.006926673,0.895189391,0.891783409,1.237649618,0.662494292,1.086627444,1.122463027,1.13496907,0.944433774,0.837044725,0.694251066,1.112520566,1.078571222,1.017683451,1.130755779,0.817778936,0.930735303,1.071801881,0.94313995,1.160407071,0.939925183,0.898331454,0.808297736,1.232727647,1.053492522,0.907966969,1.293197169,1.052307692,0.814129681,0.962426753,1.120819327,1.03707028,1.008241895,0.931000723
S33,1.36693047,0.781002523,1.003307016,0.784865952,1.00198754,1.213094328,0.858608005,0.997804308,0.883951669,1.138632069,0.880385871,1.056318121,1.245460973,1.02861796,0.770190973,1.041823398,0.545843521,1.183452027,1.005634243,0.99273276,1.103998977,0.998580993,1.097905745,0.770570787,0.858184354,1.148687723,0.864623351,1.111397522,0.857565425,1.208628318,0.993018882,0.896644018,1.486805439,0.949141983,0.758480356,1.001500263,0.735231033,1.242443066,0.881162888,1.039699729
S34,1.292008288,0.784277879,0.956388676,0.903283753,0.959378776,1.112613318,0.966107861,1.056227743,0.793996945,1.238144894,0.784303612,0.933931824,1.212105462,1.045127994,0.79302265,0.998003563,0.67766554,1.153868008,1.028749644,1.044318165,1.126946913,0.616480255,1.29652,1.003859461,0.946460268,1.069816766,0.923654765,0.981055977,0.780724911,1.319493596,0.709750438,1.103315484,1.20048,1.060654062,0.995852285,0.926642683,0.868640452,1.143035807,1.058595354,0.868640452
S35,1.285462576,0.790912902,1.089406576,0.689792071,1.033131923,0.910945106,1.066116078,1.121617384,0.837695,1.156197805,0.86714344,0.950297369,1.124888687,1.099618169,0.932374337,0.777810153,0.715154808,1.195597503,0.961225834,0.892153562,1.134438933,0.914428914,1.14992735,0.890858306,0.960326686,0.855887434,1.126118813,1.019423533,0.789226276,1.095424853,1.02158211,1.14741343,1.099448065,1.202886245,0.672808141,0.747935947,0.836643927,1.240948503,1.241979222,0.70392026
S36,1.194830623,0.881118312,0.98642014,0.93791842,0.888430933,1.081494929,1.101960476,0.98124741,0.880884137,1.069968787,1.021887818,1.036919192,1.205908646,1.079841851,0.746548851,0.813404503,0.913288043,1.290443945,0.79302056,0.891697074,1.201060798,0.808669087,1.09782968,0.8275856,0.901220232,0.951394384,1.252055458,0.967024536,1.033167468,0.964239005,0.805818006,1.002302258,1.018033627,1.169802373,0.88126834,0.898406168,0.935963799,1.115011869,0.982040113,0.887354246
S37,1.160130708,0.716888439,1.101130691,0.989115906,0.979320464,1.091990696,1.030483629,1.004432413,0.79838888,1.059118814,1.079382423,0.875650443,1.052427612,1.121619546,1.089684134,0.778798802,1.137483292,1.203096774,0.768094756,0.734085443,1.174051447,0.658329201,1.203394763,0.83270686,0.90819209,1.078174252,1.051123449,0.961709504,1.031801066,1.010065442,0.966954491,0.94262965,1.094075315,1.112777253,1.042346758,0.806222537,0.641285691,1.373721471,1.068045259,0.865245644
S38,1.215766463,0.855511722,0.839747235,1.071792798,0.931310583,0.955889673,1.075110828,1.112155914,0.939886816,1.188093413,0.925283372,0.810063691,1.036506869,0.985751227,1.067536896,0.979594052,1.027668244,1.173579635,0.888151787,0.871790792,1.07716421,0.980031892,0.786756079,1.121745366,0.943075664,1.014559177,1.077696343,0.943885109,1.010318101,1.134028665,0.866814498,1.069769485,0.98682548,1.130457119,0.930620872,0.943777247,1.019222037,1.160273519,0.914517662,0.973825018
S39,1.25125242,0.94598514,0.959708944,0.980008873,0.927071695,1.004453523,1.091813596,0.975538288,0.781801753,0.797759115,1.078991086,1.099889461,1.215797615,0.984220263,0.79036774,0.965646631,0.909207078,1.102533391,1.082474024,1.078568154,1.13028725,0.805298206,1.066279139,0.947410026,0.955008109,1.057418961,1.194938594,0.865160435,1.056095838,1.115009806,0.872082121,1.205185419,1.100052792,1.107567418,0.788170556,0.749718158,0.90873375,0.935167167,1.019772784,1.038194475
S40,1.124259278,0.916544295,0.897989532,0.878464636,0.972916492,0.962510732,1.044974716,1.146926588,0.820216945,1.168706343,0.867538555,1.050178541,1.07641973,1.178724643,1.155250937,0.75458004,0.996686394,0.979903957,0.906076204,1.087483966,1.181652294,0.690447091,1.203271632,0.814260462,1.08300013,1.039359864,0.958649534,1.048323361,0.939878126,1.05718338,0.816126616,1.174052841,0.985404173,1.060361016,1.004037058,0.881182427,0.827206826,1.150506772,0.985154487,1.051780093
S41,1.118694016,0.994440737,1.007596419,0.891449174,0.952682129,0.865031243,1.117233067,1.093910303,1.001388989,1.164540723,0.865714694,0.949073034,1.047804583,1.165209139,0.867771902,0.876568056,0.959137315,0.997992538,1.156373757,0.999956744,1.183639576,0.857116786,0.942476036,1.023590934,0.811886599,0.946872573,1.073972568,1.250101531,1.322862439,1.186950156,0.838392133,0.570129246,1.298476936,0.97143122,0.953355879,0.791712761,0.768840496,1.270776712,0.867573662,0.939232733
S42,0.951297393,0.850360928,1.35982805,0.988936146,0.890130338,1.036102149,1.02013823,1.123555591,0.885930505,1.154550761,0.827069441,1.033063772,1.299440552,1.085056653,0.902254357,0.802974533,0.930624525,1.27798273,0.917566082,0.716970598,0.999666737,0.87380433,1.120207859,1.058030567,1.015924706,0.893881419,1.057562476,1.053357767,0.850968879,1.083171196,1.022129095,0.986158755,1.293221814,1.10288,0.898398144,0.953152381,0.934457438,1.021639698,1.167925597,0.816420169
S43,1.099318747,0.997052113,1.068196506,0.906106397,0.961419611,0.930611496,0.888026451,1.114366115,1.105538875,1.031452108,1.040780535,0.955992575,0.833666713,1.24176189,0.888151159,0.950624304,0.893386043,1.163724338,1.043126453,0.983208424,1.195862305,0.648832836,1.340491425,0.909420595,0.982849604,1.055589569,0.93437215,0.983281773,0.737889463,1.142366807,0.812548531,1.182211452,0.867421625,1.288999057,0.920349438,0.878421006,0.848836432,1.222257115,0.859314693,0.945206259
S44,1.07717344,0.975570869,1.070695587,0.852260562,1.014135032,1.068766038,1.055241677,0.949958631,1.009415391,1.218332301,0.916999278,0.866796614,1.19217,1.022272835,0.958913559,1.032522951,0.746007131,1.103208385,0.912718616,0.954014723,1.069143536,0.930846695,0.994112655,1.061986566,0.917849369,1.091472218,0.981430718,1.0737071,0.789155383,1.00134878,1.171092528,0.996596049,1.289113794,1.075910666,1.013731151,0.72739482,1.028873976,1.196330936,0.776718926,0.869511308
S45,0.989805945,0.819660815,1.285857642,0.924425083,1.025685058,1.112199844,0.932693954,1.022129832,0.947085366,1.211470395,0.703233622,1.077071893,1.379222406,0.946753756,0.956676887,0.840965624,0.667402393,1.229025951,1.100882488,0.865413244,1.162805825,0.986116659,1.219793564,0.638126379,0.844525988,1.177117942,0.906322642,1.023404215,0.969582095,1.020868205,0.855624967,1.119029929,1.497246238,1.027381439,0.726149877,0.909481495,0.849382576,1.218212844,0.976710868,1.010907377
S46,1.218632439,0.918708868,0.772088872,0.913112949,0.846021454,0.913862743,1.119103978,1.097120512,0.85498813,1.172833642,0.82823174,1.082614478,1.274149255,1.109191551,0.893887903,0.905843189,0.83148549,1.084359486,1.10873486,0.987780287,1.241476979,0.867763971,0.983776796,0.899358091,0.794331813,1.056345579,1.053322268,1.058619284,0.89047437,1.20515449,0.943058682,0.992760592,1.128105054,0.973804077,0.988774803,1.016847473,0.958998757,1.019276749,1.02547758,1.012012713
S47,1.048539068,1.018929445,1.152727122,0.866351258,1.05408811,0.963049013,0.862701838,1.15701225,0.838734067,1.070872122,1.217816668,1.012064986,1.027086438,1.146763916,0.796367095,0.976187897,1.126298778,1.011302259,0.84963663,0.921990816,0.872660847,1.001298209,1.130635194,1.127352991,1.091170889,1.039986049,1.07110338,0.819378515,0.932495905,1.037009377,0.905327636,1.097497834,1.155513575,1.000998287,0.969149013,0.814474788,1.055746367,1.306101475,0.900410087,0.770991716
S48,1.073729685,0.84333191,1.251154465,0.663400113,1.012799315,1.091175735,0.8842381,1.01584801,1.050875952,1.136779909,0.982049881,0.980166472,1.385215663,1.065711919,0.643221047,1.03461866,0.824676418,1.159330357,0.929033505,0.892494518,1.082259674,0.877297829,1.282936533,0.935143101,0.934826483,0.898651331,1.014386381,1.176854749,0.973056535,1.001836471,0.599274761,1.212273451,1.324654982,0.997145788,0.939682272,0.783633553,0.729273821,1.075783077,0.958582933,1.156577309
