subject_number,m1_s2_corr,m1_s2_gev,m1_s2_gfp,m1_s2_duration,m1_s2_coverage,m1_s2_occurrence,m4_s2_corr,m4_s2_gev,m4_s2_gfp,m4_s2_duration,m4_s2_coverage,m4_s2_occurrence,m3_s2_corr,m3_s2_gev,m3_s2_gfp,m3_s2_duration,m3_s2_coverage,m3_s2_occurrence,m2_s2_corr,m2_s2_gev,m2_s2_gfp,m2_s2_duration,m2_s2_coverage,m2_s2_occurrence,m5_s2_corr,m5_s2_gev,m5_s2_gfp,m5_s2_duration,m5_s2_coverage,m5_s2_occurrence
S1,0.590932,0.04287,1.054569,79.997774,12.716015,1.443014,0.620875,0.089974,1.150327,90.298819,19.9993,1.932764,0.689947,0.240875,1.288156,110.657174,33.226055,2.562443,0.63099,0.088302,1.158605,86.225382,18.047296,1.827818,0.621934,0.068278,1.135843,91.623932,16.011334,1.539215
S2,0.619524,0.078215,1.425746,101.337442,18.25422,1.488882,0.633627,0.057658,1.340063,102.746062,17.552948,1.409592,0.707352,0.174775,1.553375,113.650262,27.243895,1.991049,0.687021,0.172375,1.729297,106.034766,22.391373,1.691511,0.629872,0.068942,1.56702,101.127644,14.557564,1.251013
S3,0.638366,0.043141,1.063266,80.97115,13.282659,1.45837,0.641547,0.044476,1.115302,78.955452,12.755878,1.440693,0.718651,0.293841,1.458984,106.049669,34.138236,2.722291,0.673555,0.100064,1.230017,87.965793,19.68181,1.909139,0.654555,0.10696,1.268372,88.689944,20.141418,1.962171
S4,0.635379,0.055661,1.159009,82.748987,15.16689,1.621788,0.663827,0.095148,1.344177,89.708304,17.286993,1.667089,0.726652,0.286724,1.467832,107.125586,35.991012,2.754322,0.640542,0.069271,1.230915,86.857972,16.264995,1.621788,0.64535,0.06049,1.206764,80.606584,15.29011,1.68521
S5,0.599847,0.047092,1.124625,81.828633,12.965331,1.428894,0.630902,0.102117,1.263785,96.947071,20.094758,1.814319,0.681529,0.193673,1.301923,110.58514,29.26224,2.237347,0.612447,0.074544,1.148711,91.969994,19.380311,1.898925,0.631389,0.078242,1.212343,96.660719,18.29736,1.635707
S6,0.636245,0.057305,1.157557,90.750719,16.876168,1.612489,0.617693,0.087102,1.394522,91.398392,17.87298,1.685784,0.700341,0.304841,1.542731,119.097048,37.27416,2.59281,0.639634,0.064876,1.174575,87.008421,18.140506,1.832374,0.59815,0.027159,1.132807,78.785133,9.836186,1.12691
S7,0.623622,0.072727,1.347178,92.435105,14.88409,1.372138,0.661636,0.128857,1.431478,111.411455,24.936809,1.904745,0.698093,0.174858,1.478099,111.631519,27.468044,2.04918,0.631435,0.068863,1.325597,91.478782,16.443995,1.579765,0.627566,0.067709,1.377121,91.449562,16.267061,1.516574
S8,0.64435,0.096823,1.222845,88.025029,21.372973,2.144144,0.638159,0.069701,1.24278,87.169119,15.218018,1.522523,0.713174,0.266896,1.430916,105.095261,33.196396,2.594595,0.625002,0.054868,1.169871,82.306164,14.61982,1.576577,0.631316,0.062285,1.197285,85.33646,15.592793,1.612613
S9,0.634137,0.078814,1.430003,86.246073,17.683412,1.779906,0.626647,0.04325,1.387579,84.217029,11.369714,1.165522,0.715542,0.190532,1.502387,107.706288,30.585472,2.385255,0.666753,0.16027,1.628605,93.647312,22.667149,1.969642,0.637447,0.076171,1.43561,93.97237,17.694254,1.64438
S10,0.606721,0.050183,1.125737,85.399194,12.918125,1.338348,0.64369,0.118034,1.309738,91.297281,20.416375,1.906928,0.680235,0.206574,1.324398,101.028259,30.391882,2.519244,0.604206,0.060032,1.133797,84.890198,15.601819,1.644507,0.631074,0.092789,1.208638,88.636328,20.671798,2.003149
